,大正１,大正２,大正３,大正４,大正５,大正６,大正７,大正８,大正９,大正10,大正11,大正12,大正13,大正14,昭和１,昭和２,昭和３,昭和４,昭和５,昭和６,昭和７,昭和８,昭和９,昭和10,昭和ｎ,昭和12,昭和13,昭和14,昭和15,昭和16,昭和17
皮膚・皮下結締組織及び骨・運動器の疾患,,■■・,,55,21,16,50,36,32,８,10,８,45,-,,●●●,,,・●●,,●●●,45,40,30,40,27,23,26,23,,26
奇形及び先天性弱質,188,157,32,45,121,110,194,205,140,-,-,４,-,｜　ｊ４０,281,274,75,115,150,58,84,５,34,75,305,381,102,112,90,,96
その他幼児に固有なる疾患,,,●■Ｓ,40,74,69,82,51,129,279,161,125,422,ｆ　４４０,159,195,206,169,140,594,437,-,128,133,-,-,36,28,33,,44
老衰,36,65,45,53,83,83,126,97,76,93,64,79,75,97,79,109,103,112,98,108,78,99,81,118,185,135,149,161,123,●●●,149
外因死,10,15,18,60,39,26,34,45,76,89,61,71,49,72,54,45,61,56,71,56,63,57,"1,517",91,70,100,68,115,90,,n2
自殺,17,21,23,17,18,15,23,17,29,41,33,24,39,51,44,55,36,27,29,55,63,45,24,28,36,26,37,22,20,●●●,15
変死（自殺を除く）,27,23,15,●看●,,,,●Ｉ●,,●●●,・●●,,,●●●,●●●,二●■,,,,,●●●,●・・,●■■,●・●,●●●,,●●・,●●●,,●●●,
以上列記外の疾患,197,228,558,-,-,-,-,-,-,-,-,-,-,640,537,798,960,"1,131","1,015",982,815,-,-,-,-,-,-,-,-,零●●,-
不明の診断及び原因不詳,10,６,７,５,-,４,５,１,６,21,９,24,15,３,１,８,５,８,１,-,４,２,704,３,７,９,81,89,82,●●●,121
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
