,第　　　　　　　一　　　　　　　期,,,,,,,,第　　　　二　　　　期,,,,第　　　二　　　期,,,,通　　　　　　　　年　　　　　　　　計,,,,,,,
14,"4,213",274,133,"4,620",87,-,87,144,378,"5,477",59,"5,914",-,-,-,59,"4,591","5,751",192,"10,534",87,-,87,203
昭和１,"3,025",55,９,"3,089",92,-,92,-,"3,370","2,105",321,"5,796",45,-,45,-,"6,395","2,160",330,"8,885",137,-,137,-
２,"4,685",37,253,"4,975",91,-,91,-,"1,466","3,085",n1,"4,662",-,-,-,-,"6,151","3,122",364,"9,637",91,-,91,-
３,"4,899",65,181,"5,145",118,-,118,-,"3,951","1,321",148,"5,420",１,-,１,-,"8,850","1,386",329,"10,565",119,-,119,-
４,"4,822",84,377,"5,283",97,-,97,45,"2,979","1,633",192,"4,804",-,-,-,-,"7,801","1,717",569,"10,087",97,-,97,45
５,"4,883",40,159,"5,082",132,-,132,-,"3,777","1,336",210,"5,323",-,-,-,-,"8,660","1,376",369,"10,405",132,-,132,-
６,"3,831",18,124,"3,973",44,-,44,-,"4,189",583,80,"4,852",４,-,４,-,"8,020",601,204,"8,825",48,-,48,-
７,"4,251",48,65,"4,364",125,-,125,-,"3,172","1,506",51,"4,729",２,１,３,-,"7,423","1,554",116,"9,093",127,１,128,-
８,"5,589",48,21,"5,658",121,-,121,-,"4,377","1,499",６,"5,882",９,-,９,-,"9,966","1,547",27,"11,540",130,-,130,-
９,"3,397",483,-,"3,880",148,３,151,207,"4,062","1,530",-,"5,592",-,-,-,27,"7,459","2,013",-,"9,472",148,３,151,234
10,"4,825",94,90,"5,009",110,-,110,157,"2,601","2,625",73,"5,299",-,-,-,147,"7,426","2,719",163,"10,308",110,-,110,304
11,"5,723",187,150,"6,060",220,-,220,273,"4,287","3,118",146,"7,551",４,-,４,108,"10,010","3,305",296,"13,611",224,-,224,381
12,"4,904",126,54,"5,084",114,１,115,234,644,"5,698",n4,"6,456",-,２,２,-,"5,548","5,824",168,"11,540",114,３,117,234
13,"5,009",52,118,"5,179",105,-,105,257,"1,133","3,197",104,"4,434",-,-,-,11,"6,142","3,249",222,"9,613",105,-,105,268
14,"4,896",157,113,"5,166",142,１,143,221,"2,429","4,741",235,"7,405",４,-,４,２,"7,325","4,898",348,"12,571",146,１,147,223
15,"5,233",109,93,"5,435",298,-,298,n6,"2,664","4,639",82,"7,385",５,２,７,-,"7,897","4,748",175,"12,820",303,２,305,116
16,●●椣,●●●,●●●,●●●,二二夸,●●●,嗇●●,●●●,●●●,争●１,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●慟●,●●●,●●●,●●●,●●●,●●●
17,"4,476",270,216,"4,962",263,-,263,"1,276",862,"5,069",31,"5,962",-,-,-,151,"5,338","5,339",247,"10,924",263,-,263,"1,427"
18,"5,239",623,130,"5,992",170,４,174,"1,239",919,"7,409",18,"8,346",-,-,-,217,"6,158","8,032",148,"14,338",170,４,174,"1,456"
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
