年,墳墓地,火葬場,学校寄宿舎敷地,鉄道及び軌道用地,用悪水路,溜池,井溝,溜池+井溝,溜池+井溝+用悪水路,水道用地,道庁支庁敷地,道路,道路+鉄道及び軌道用地,公園地,区，市役所敷地,市役所敷地+道庁支庁敷地,警察署敷地,議事堂公会堂敷地,病院敷地,隔離舎敷地,病院敷地+隔離舎敷地,官舎敷地,測候所敷地,検黴所敷地,その他,合計
10,11.5000,0.7000,-,0.8000,0.0200,0.2100,-,,,7.9800,0.8600,7.3500,,-,0.4800,,1.0300,-,1.1100,0.0300,,-,-,-,28.8000,"1,098.9700"
11,…,…,…,…,…,…,…,,,…,…,…,,…,…,,…,…,…,…,,…,…,…,…,
12,…,…,…,…,…,…,…,,,…,…,…,,…,…,,…,…,…,…,,…,…,…,…,
13,…,…,…,…,…,…,…,,,…,…,…,,…,…,,…,…,…,…,,…,…,…,…,
14,15.1116,0.5801,-,-,-,-,-,,,14.6903,,25.5429,,1.5633,,0.4314,-,0.8202,,,7.2203,-,-,-,14.4128,"1,101.7726"
昭和元,12.0502,0.6800,-,0.1029,0.0202,,,0.4223,,8.0401,,13.3314,,0.3405,,0.4803,-,0.1205,,,4.4426,-,-,-,1.7126,"1,062.7346"
2,12.0502,0.6800,-,1.0029,0.0202,,,0.4223,,6.8828,,14.5629,,0.3405,,0.4803,-,0.1205,,,4.4737,-,-,-,1.7620,"1,078.3248"
3,…,…,…,…,…,,,…,,…,,…,,…,,…,…,…,,,…,…,…,…,,"1,118.2340"
4,…,…,…,…,…,,,…,,…,,…,,…,,…,…,…,,,…,…,…,…,"1,128.2202",
5,11.9000,0.7000,-,,-,,,0.4000,,6.8000,,,18.3000,-,,2.0000,-,-,,,4.7000,-,-,-,38.6000,"1,135.7338"
6,…,…,…,,…,,,…,,…,,,…,…,,…,…,…,,,…,…,…,…,…,
7,…,…,…,,…,,,…,,…,,,…,…,,…,…,…,,,…,…,…,…,…,
8,…,…,…,,…,,,…,,…,,,…,…,,…,…,…,,,…,…,…,…,…,
9,…,…,…,,…,,,…,,…,,,…,…,,…,…,…,,,…,…,…,…,…,
10,…,…,…,,…,,,…,,…,,,…,…,,…,…,…,,,…,…,…,…,…,
11,14.1000,-,-,0.6000,,,,,0.2000,-,,,45.0000,-,,4.1000,-,-,,,6.4000,-,-,-,12.5000,"1,181.3000"
12,14.1000,-,-,0.6000,,,,,0.2000,-,,,45.5000,-,,4.4000,-,-,,,6.3000,-,-,-,15.0000,"1,233.9000"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
