,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,町　　名,町　域　面　積　（Ａ）,,道路面積（Ｂ）,,(B)÷(A)×100,,道　　路　　延　　長,
,蓬莱町,"29,462.74","32,046.00","9,033.80","8,826.00",30.66,27.54,"1,315.30","1,315.00"
,船場町,"19,510.65","18,593.00","13,634.70","4,487.00",69.88,24.13,675.10,573.00
,汐留町,"7,013.17","5,998.00","2,084.90","2,085.00",29.73,34.76,274.30,274.00
,恵比須町,"13,390.55","14,215.00","3,139.00","4,483.00",23.44,31.54,479.40,632.00
,地蔵町,"10,244.17","9,759.00","1,042.30","2,954.00",10.17,30.27,152.90,361.00
,豊川町,"17,320.04","21,360.00","3,563.20","4,002.00",20.57,18.74,713.50,772.00
,大森町,"131,439.94","77,461.00","13,119.70","10,697.00",9.98,13.81,"1,652.60","1,465.00"
,真砂町,"26,401.63","27,337.00","4,097.90","4,098.00",15.52,14.99,689.40,689.00
,宝　　町,"20,158.72","20,159.00","7,009.10","7,001.00",34.77,34.73,973.90,973.00
,若松町,"60,207.01","79,598.00","6,861.50","11,684.00",11.40,14.68,900.80,"1,474.00"
,西川町,"26,685.30","26,716.00","11,204.00","8,556.00",41.99,32.03,"1,776.00","1,461.00"
,鶴岡町,"27,770.72","25,175.00","2,326.10","2,326.00",8.38,9.24,307.50,448.00
,大縄町,"100,377.14","100,900.00","12,770.00","16,278.00",12.72,16.13,"2,086.30","2,680.00"
,音羽町,"14,770.56","17,143.00","3,357.70","4,055.00",22.73,23.65,636.70,698.00
,高砂町,"48,399.18","41,155.00","1,438.80","9,219.00",2.97,22.40,814.60,"1,017.00"
,海岸町,"79,615.34","113,721.00","3,442.40","11,128.00",4.32,9.79,519.20,"1,355.00"
,台場町,"10,978.97","10,608.00","3,095.72","3,090.00",28.20,29.13,455.40,455.00
,新浜町,"6,366.84","9,545.00","2,743.80","2,677.00",43.10,28.05,399.50,329.00
,帆影町,"3,720.79","∠1,310.00","1,814.70","1,788.00",48.77,41.48,123.90,244.00
,小舟町,"6,892.84","7,399.00","3,008.30","3,247.00",43.64,43.88,400.70,401.00
,仲　　町,"11,275.11","12,355.00","3,986.90","3,793.00",35.36,30.70,567.50,568.00
,東川町,"39,988.08","41,003.00","7,914.80","7,614.00",19.79,18.57,"1,068.50","1,169.00"
,栄　　町,"44,715.34","33,933.00","5,916.30","7,829.00",13.23,23.07,"1,305.00","1,305.00"
,旭　　町,"31,171.54","29,221.00","7,935.10","10,141.00",25.46,34.70,"1,216.20","1,494.00"
,東雲町,"40,615.34","39,874.00","8,672.20","7,944.00",21.35,19.92,"1,068.00",991.00
,松風町,"45,072.00","44,082.00","8,028.40","8,132.00",17.81,18.45,"1,027.30","1,027.00"
,新川町,"184,241.50","185,053.00","4,677.50","9,947.00",2.54,5.38,661.20,"1,524.00"
,亀田村,"2,347,050.00","2,347,050.00","56,308.25","108,370.00",2.40,4.62,"112,898.80","17,591.00"
,函館山,"1,485,494.54","1,485,495.00",,●●●,●●●,●●●,,●●●
,合　　計,"5,634,448.61","5,658,898.00","342,945.87","421,465.00",●●●,●●●,"156,411.00","64,815.00"
