,単位,昭　　和　　７,,昭　　和　　８,,昭　　和　　９,,昭　　和　　10,,昭　　和　　11,,昭　　和　　12,,昭　　和　　13,
その他硝子及び同製品,,●●●,"25,116",●●●,"24,489",●●●,"25,208",●●●,"21,552",-,-,-,-,-,-
鉱及び金属,小計,●●●,"114,011",●●●,"130,001",●●●,"139,263",●●●,"143,223",-,-,●●●,１,-,-
鉄（條及び竿）,百斤,803,"5,160",839,"8,414",869,"6,643",-,-,-,-,-,-,-,-
鉄（板）,百斤,722,"6,554",407,"5,846",408,"4,529","7,979","133,582",一,-,-,-,-,-
鉄（線）,百斤,448,"3,572",760,"10,641",742,"6,382",-,-,-,-,-,-,-,-
鉄（線索）,百斤,"1,558","51,846","1,454","51,129","1,309","41,484",-,-,-,-,-,-,-,-
鉄（筒及び管）,百斤,"1,699","17,990","1,562","26,052","1,665","22,872",-,-,-,-,-,一,-,-
その他鉄,百斤,"2,969","22,530","2,241","21,785","3,136","49,890",-,-,-,-,-,-,-,-
銅,百斤,19,473,９,451,９,481,８,443,-,-,-,-,-,-
眞鍮,百斤,ｎ,322,12,599,17,435,-,-,-,-,-,-,-,-
その他金属,,●●●,"5,564",●●●,"5,084",●●●,"6,547",●●●,"9,198",-,-,●●●,１,-,-
金属製品,小計,●●・,"932,733",●●●,"849,906",●●●,"274,994",●●●,"375,105",-,-,-,-,-,-
農具,,●■■,"3,396",●●●,"1,911",●●●,"4,070",●●●,"19,118",-,-,-,-,-,-
工匠具,,■●■,"29,305",●●●,"23,101",●●泰,"22,275",-,-,-,-,-,-,-,-
鉄釘類,百斤,"3,761","27,283","3,033","34,536","4,298","41,176","3,507","33,005",-,-,-,-,-,-
缶詰用空缶及び蓋,百斤,"18,235","742,367","8,967","573,633",718,"34,652","2,681","175,232",-,-,-,-,-,-
その他鉄製品,,●●●,"120,780",●●●,"190,163",●●●,"158,482",●■●,"132,602",-,-,-,-,-,-
銅及び眞鍮製品,,・●・,"4,980",●●●,"4,706",一,-,-,-,-,-,-,-,-,-
その他金属製品,,●●●,"4,622",乖●●,"21,856",●●●,"14,339",●・■,"15,148",-,-,-,-,-,-
時計学術器銃砲船車及び機械類,小計,●●●,"1,078,009",,"1,228,375",齒●■,"1,059,225",●■●,"1,440,743",●●●,"640,206",●●●,"375,080",●●●,"276,923"
時計,個,907,"4,209","1,017","4,365",894,"3,643",942,"4,431",-,-,-,-,-,-
医療器,,●●●,"7,113",●●●,"5,847",●●●,"4,502",-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
