,単位,明　　治　　31,,明　　治　　32,,明　　治　　33,,明　　治　　34,,明　　治　　35,,明　　治　　36,,明　　治　　37,,明　　治　　38,,明　　治　　39,,明　　治　　40,,明　　治　　41,,明　　治　　42,,明　　　治　　　43,,明　　　治　　　44,,大　　　正　　１,,大　　　正　　２,,大　　　正　　　３,,大　　　正　　４,,大　　　正　　５,,大　　　正　　　　６,,大　　　正　　　７,,大　　　正　　８,,大　　　正　　９,,以μ．,大　　正　　10,大　　　正　　　11,,大　　　正　　　　12,,大　　　正　　　13,
糖果諸類,,-,-,-,-,-,-,-,-,-,-,●●●,"3,630",-,-,-,-,●●●,"6,178",●●●,701,●●●,487,●●●,102,●●●,180,●●●,273,卿●●,141,-,-,●●●,220,●●●,20,-,一,-,-,-,-,-,一,-,-,,-,-,-,-,一,-,-
落花生豆,斤,-,-,●●■,240,-,-,-,-,-,-,"27,436","1,790",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,450",550,"3,992",218,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
酒類（清酒）,升,101,313,"1,685R","4,651","19,081","5,696","16,671","4,917","19,435","6,440","23,087","7,585",86,24,-,-,"1,215",497,628,297,936,640,-,-,35,27,76,50,-,-,●●●,20,-,~,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
/ﾀﾞ　（その他）,,111打,239,"2,479゛1","3,876",一,-,-,-,-,-,●●●,"7,898",-,-,-,-,-,-,●争●,46,●●●,36,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,,-,-,-,-,一,-,-
味噌,斤,-,-,"12,053""","3,126",-,-,-,-,-,-,"128,683","5,357",225,10,"1,700",69,-,-,"3,685",196,925,41,"1,770",88,"7,209",343,"6,790",346,"7,529",483,"9,540",574,"9,272",716,"3,360",230,"2,400",135,"6,360",390,"5,295",463,"8,538",718,"20,602","2,347",担,250,176,"2,067",392,"4,238",177,"2,130"
醤油,升,125s,"2,403","1,219石","2,574","23,002","5,751","5,040","1,164","14,911","3,504","16,706","3,599",16,３,650,226,"11,155","2,871","10,831","3,047","11,768","3,618","9,300","2,956","15,857","4,659","41,781","13,007","66,674","21,398","75,478","23,544","100,842","33,247","67,829","20,220","9,311","2,460","9,332","3,054","2,915","1,281","3,998","2,369",872,785,石,95,90,"7,096",65,"4,597",34,"2,669"
糖類,担,-,-,"3,248'f",357,-,-,-,-,-,-,209,"2,131",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,,-,-,-,-,一,-,-
索麺,斤,-,-,"514""",275,-,-,-,-,-,-,-,-,-,-,-,-,"22,147","1,971","13,931","1,309","1,825",160,125,15,360,30,779,89,94,９,-,-,600,60,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
鉱水,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,"3,862",●●●,"2,085",-,-,●●●,９,●●●,528,545,665,400,371,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,一,-,-
清涼飲料類,,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,一,-,-,-,-,泰●●,"1,044",●●●,194,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,一,-,-
缶詰食物,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,"5,268",■●●,"3,897",●●●,278,●●●,70,●●●,495,●●●,206,●●●,82,●●●,104,●●●,90,34,87,"6,960","38,700",・・●,"6,707",●●●,"7,198",●●●,"3,707",,●●●,,"100,389",●●●,"3,334",●●●,"4,310"
その他諸飲食物,,,,●●●,91,●●●,"17,223",-,-,-,-,●●●,"10,714",-,-,襴●●,"1,027",●●●,"17,706",●●●,"8,501",●●●,"1,973",●●●,"4,789",●●●,821,●●●,"2,421",●●●,"1,156",,"1,183",●●●,839,●●●,696,●●■,"3,395",●●●,"10,348",●●●,"37,972",●●●,"46,212",●●●,"10,339",,●●●,●●●,"85,289",●●●,"79,390",●●争,"64,007"
食塩,斤,"6,381,750","63,607","86,515s","143,364","32,698,054","301,017","18,566,682","153,675","28,414,280","238,400","27,596,904","324,347","37,500",356,"584,625","7,014","14,499,418","403,731","2,348,556","64,784",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
鉄製品,斤,-,-,"9,467""","12,307",-,-,●●●,"13,852",●●●,"13,990",●●●,"16,849",-,-,-,-,●●●,"1,648",■●●,"1,075",●●・,"1,240",●●・,"1,671",●●●,916,●●●,912,●●●,"1,173",,527,●●●,341,●●●,"1,936",●●●,"1,127",●●●,"10,653",●●●,"1,219",●●●,"24,640",●●●,"63,274",,●●●,●●●,"37,103",●●暑,"88,415",●●●,"96,175"
鉄及び鋼製品,斤,-,一,-,-,-,-,-,-,-,-,-,-,●●●,213,●・●,27,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
苧麻縄索,斤,-,-,-,-,-,-,"50,927","11,622","61,834","12,376","69,725","17,512",940,245,-,-,"42,629","13,634","23,873","8,140","20,099","6,688",223,72,"57,323","14,466",430,150,"5,464","1,673","1,367",352,"49,801","13,603","34,238","8,257","27,882","7,037",●●●,"22,356","23,466","10,370","31,952","15,115","7,773","4,173",担,144,422,"31,878",199,"7,425",287,"28,245"
縄索叺及び莚（藁製）,,●●●,"1,208",●●●,"84,786",,"73,495",●●●,"69,342",●●●,"71,787",●●●,"93,781",・●●,561,・●●,99,●●●,"1,448",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
藁製品,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●嗇●,649,●●●,47,●●●,42,-,-,●●●,36,●●●,16,●●●,18,・●●,51,●●●,125,●●●,"2,268",●●●,"5,241",●●●,866,●●●,"9,089",夸●●,"3,601",,●●●,,"4,235",●●●,"4,421",僵■■,"13,898"
竹製品,,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,・●●,265,●●●,194,●・●,84,●●●,145,●●●,５,●●●,299,,680,,曇●●,●●●,"1,268",●●●,190,●●●,39
小舟,艘,-,-,-,-,288,"21,018",80,"5,090",133,"9,552",151,"11,549",６,495,５,471,179,"27,507",35,"4,897",６,"1,080",２,360,１,"1,000",-,-,-,-,４,308,●●●,"1,040",●●●,630,-,-,-,-,１,180,●●暴,"74,415",●●●,"32,000",,●●●,●●●,"54,617",10,"14,025",11,"33,127"
木製品,,-,-,-,-,●●●,"8,429",●●●,"5,059",●●●,"11,030",●●●,"11,572",●●●,95,●●●,28,齒襴●,"6,165",●●●,"1,256",●●襴,639,齒●●,90,●●●,140,●・痼,245,●●●,324,●●●,452,●●●,"1,485",●●●,"1,087",●●●,177,●●●,"2,117",●●●,"1,806",●●●,"9,079",●●・,"10,530",,●●●,慟■●,"6,755",●●●,"3,500",,"5,016"
漁網,,-,-,-,-,-,-,●●・,"79,515",●●●,"74,403",●●●,"93,885","2,210斤","1,400","2,663",866,"108,135","68,348","28,461","17,776","32,399","18,319",740,519,"84,703","54,184","15,780","11,100","53,822","34,544","85,051","53,628","85,479","55,687","33,050","17,801","37,548","22,084","55,598","57,298","18,684","26,045","44,216","76,884",696,"1,410",担,39,168,"21,568","1,638","13,451",●●●,"8,739"
鉄製品（漁業用）,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,515,●●●,501,■●暑,255,●●●,522,-,-,-,-,-,-,-,-,-,-,-,一,-,-,,-,-,-,-,-,-,-
その他漁業用品,,-,-,-,-,-,-,-,-,-,-,●●●,"14,024",●●●,69,●●●,105,●●●,"13,301",●●●,"6,392",慟●●,"6,403",●●●,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
洋服,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●・●,"18,259",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
諸衣服及び付属品,,-,-,106“,"5,270",●●●,"4,366",-,-,-,-,●●●,"20,796",●●●,44,-,-,●●●,"21,717",●■●,"24,417",●●●,"10,126",●●●,264,●●●,825,●●●,"1,059",■●●,"1,133",●●襴,"1,816",●●ａ,"2,726",●●●,617,・●●,807,●●●,542,-,-,●●●,"25,858",●■●,"2,604",,●●●,●●●,"56,444",●●●,"26,572",●■●,"37,935"
薬材及び同製品,,-,-,-,-,-,-,-,-,-,-,●●●,983,-,-,-,-,●●●,"4,077",●●●,520,●●●,131,●●●,332,●●●,879,■●●,785,●●●,"7,180",●●●,"3,755",●僵●,483,,879,●●●,252,●●■,141,●■●,"1,079",●●●,"2,007",●●●,323,,●●●,●●●,"29,822",●●●,"33,402",●●●,"3,020"
金属及び同製品,,-,-,-,-,●●●,"13,851",-,-,-,-,●●●,"3,462",●●●,70,■●●,45,●●●,"4,103",●●●,"4,721",●●●,793,●●●,"1,456",●●・,"1,488",●●●,821,●●●,501,・●・,381,ａ●●,"1,617",●●●,"1,027",●●●,68,●●●,48,-,-,●●●,"1,071",-,-,,●●●,●●●,"3,239",●●●,"14,497",●■●,"2,715"
諸布帛材料及び製品,,-,-,-,-,●●●,"3,573",-,-,-,-,●●●,"20,999",-,-,●驫●,50,●●●,"30,678",●●●,"22,521",●■●,"7,658",●●●,491,●●●,"3,597",●●●,"1,931",●●●,"1,296",・●●,467,●●●,"5,568",■●●,"3,099",●●●,"2,092",●●■,"13,197",・・●,49,争●●,"68,652",●●●,"22,895",,●●●,●●嗇,"37,034",●●■,"58,101",●●●,"12,629"
打綿,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,"4,440","1,536","4,339","1,496","1,160",380,750,311,675,519,238,170,"3,568","2,194",担,５,16,"1,463",38,"2,761",16,"1,278"
油蟠類,,-,-,151,540,●●●,814,-,-,-,-,●●●,"1,605",-,-,-,-,●●●,"1,776",●●●,"1,480",●●●,105,・●●,102,●●●,237,●●●,412,●●●,275,●●●,411,●●●,771,・●●,843,●●●,730,●●●,"23,159",●●●,702,●●●,"4,893",●●●,"5,288",,●●●,Ｉ●●,"6,116",●暑●,"7,187",,"21,291"
洗濯曹達,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"31,103","1,500","33,183","1,259",-,-,"4,523","1,233",●●●,651,●●●,３,●●●,33,,・●●,●●●,301,-,-,９,100
紙類,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,"2,146",●●●,"7,488",●●二,"2,609",●●●,982,●●●,535,■●■,244,●■●,"1,537",●●●,543,■●襴,612,■■僵,637,●●●,949,●●●,753,●●●,"26,288",●●●,"1,049",●●●,50,,●●■,●●●,"3,585",,"4,412",●●●,"3,655"
燐寸（安全製）,ｸﾞﾛｽ,-,-,-,-,-,-,824,235,"4,736","1,559","15,872","5,021",-,-,-,-,"6,645","2,236","2,199",697,"1,528",411,583,175,750,238,"3,400","1,160",-,-,-,-,"3,333","1,100","1,866",756,453,280,"5,500","3,555","4,083","3,454","7,753","7,315","4,448","5,096",ｸﾞﾛｽ,"1,606",５,"4,518",●●●,"2,906",●●●,"2,005"
紙巻煙草,千本,-,-,-,-,-,-,-,-,-,-,166,350,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
刻煙草,斤,-,-,-,-,"4,260","2,360","7,028","3,150","6,467","4,221","9,049","5,380",18,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
煙草,,-,-,"610""","2,407",-,-,-,-,-,-,-,-,-,-,-,-,●●●,260,●●●,195,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
玻璃製品,,-,-,-,-,●●●,"2,476",-,-,-,-,-,-,-,-,-,-,●●●,"5,864",●●●,"5,070",●●●,748,・●●,194,●●●,289,●●●,"3,055",●●●,"2,445",●●●,673,暴●暑,"1,131",●●●,391,●●●,360,●・●,751,●●●,159,●●●,"1,033",●●●,233,,●●●,●●●,"8,733",●●●,"2,747",●●●,"1,598"
漆器,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●■●,893,●●●,69,●●●,27,-,-,-,-,-,-,-,-,-,-,●ａ●,534,凖●●,54,-,-,●●●,44,-,-,-,-,●●●,７,,●●●,●●●,486,●●●,35,●●●,173
磁器及び陶器,,-,-,-,-,●●●,"1,011",-,-,-,一,●●●,"2,854",-,-,●●●,９,●・●,"4,669",●●●,"1,597",●●●,"1,075",●●●,130,●●●,606,●●●,572,●●●,n2,,46,●●●,204,●●●,533,●●●,49,●●●,180,●●●,502,●●●,"1,905",,"3,662",,●●●,●●●,"11,238",●●●,"14,165",●●●,"1,550"
ランプ及び同部分品,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●ａ■,190,●●●,"1,287",●●●,681,●●●,"1,291",-,-,-,-,-,-,,-,-,-,-,-,-,-
諸機械及び器具類,,-,一,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,"2,163",●■●,"3,427",●●●,"2,138",-,-,●●●,415,●●●,56,●●●,57,●●●,"9,401",●●●,"1,431",●●●,"3,402",●●●,"62,488",,●●●,・●●,"83,905",●■●,"30,771",●●●,"34,212"
屏風,ケ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,268,"3,789",128,"2,052",64,"1,740",-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
磚瓦,個,-,-,-,-,-,-,-,-,-,-,"38,058",682,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,,-,-,-,-,-,-,-
汽船及び帆船,隻,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,２,"26,800",-,-,-,-,-,-,-,-,１,"3,000",１,"3,000",５,"15,619",●●●,"5,343",-,-,５,"26,700",２,"11,215",隻,５,５,"17,937",４,"11,565",２,"4,040"
農工匠具,,-,-,-,-,-,-,一,-,-,-,●●●,"1,605",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
本表に特掲せざる諸品,,●●・,"40,834",●●●,"134,560",●●■,"205,321",●●●,"104,155",●●●,"110,692",●●蜀,"37,437",●●●,"3,113",,19,●●●,"25,675",●●●,"21,595",●●●,"6,018",●●●,"5,483",●●●,"2,090",●●●,"2,830",●■●,"3,269",●●●,"4,796",●●●,"9,206",●●●,"2,668",●●●,"7,028",●●●,"34,406",●●●,"2,168",●●曇,"14,803",●●●,"6,827",,●●Ｉ,●●●,"6,213",●●●,"5,161",●●●,"14,060"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
