41,304,18,322,641,-,641,640,-,640,305,18,323,41,57,１,58,648,-,648,644,55,699,61,＊　２,63,-,-,-,-,-,-,-,-,-,364,15,379
42,303,13,316,853,366,"1,219",609,352,961,547,27,574,42,61,２,63,"1,038",97,"1,135",943,93,"1,036",156,６,162,-,-,-,-,-,-,１,-,１,704,33,737
43,547,27,574,"1,033",390,"1,423",783,378,"1,161",797,39,836,43,156,６,162,"1,026",100,"1,126","1,072",104,"1,176",110,２,112,-,-,-,５,-,５,-,１,１,912,42,954
44,797,39,836,972,203,"1,175","1,021",204,"1,225",748,38,786,44,110,２,112,"1,041",95,"1,136","1,033",72,"1,105",118,25,143,-,-,-,４,２,６,-,１,１,870,66,936
大正１,748,38,786,"1,260",334,"1,594","1,330",331,"1,661",678,41,719,大正１,28,24,52,"1,111",84,"1,195","1,070",102,"1,172",69,６,75,-,-,-,14,５,19,１,-,１,762,52,814
２,678,41,719,953,274,"1,227","1,005",286,"1,291",626,29,655,２,69,６,75,849,45,894,871,51,922,47,-,47,-,-,-,14,１,15,１,-,１,688,30,718
３,626,29,655,675,274,949,753,261,"1,014",548,42,590,３,47,-,47,491,39,530,506,38,544,32,１,33,-,-,-,４,２,６,-,１,１,584,46,630
４,548,42,590,922,382,"1,304",907,389,"1,396",563,35,598,４,32,１,33,618,36,654,610,37,647,40,-,40,-,-,-,16,-,16,-,１,１,619,36,655
５,563,35,598,804,410,"1,214",745,420,"1,165",622,25,647,５,40,-,40,647,57,704,646,53,699,41,４,45,-,-,-,４,２,６,１,-,１,668,32,700
６,662,25,687,817,139,956,717,139,856,722,25,747,６,41,４,45,659,57,716,640,58,698,60,３,63,-,-,-,３,１,４,１,-,１,786,29,815
７,722,25,747,"1,011",85,"1,096",976,76,"1,052",757,34,791,７,60,３,63,733,44,777,747,45,792,46,２,48,-,-,-,-,１,１,１,１,２,804,38,842
８,●●●,●●●,,●●●,●●●,●●●,●●・,●●・,●●●,789,12,801,８,●●●,●●●,●●●,●●●,●●・,●■僵,・●・,●●●,●●●,124,-,124,-,-,-,-,２,２,-,-,-,913,14,927
９,●●●,●●二,●●●,●●●,●●●,・●●,●●●,●●●,●●●,●●●,●●●,●●曾,９,●●●,●●●,●●■,●●●,●●●,●●●,●●●,●●●,●●●,・●●,●●●,,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,883,20,903
10,・●●,,,718,58,776,706,61,767,843,17,860,10,■●■,●■●,●●●,646,33,679,659,35,694,48,１,49,-,-,-,４,-,４,-,-,-,895,18,913
11,●昜●,●●●,●●●,●●●,●●●,●■●,●●●,●●●,●●●,●●■,●●●,●●●,11,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●■●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,975,60,"1,035"
12,●●●,●●●,●●●,●●●,●●●,●●●,●●●,襴●●,●●●,●●●,●●●,●●●,12,●瑤●,●●●,●・●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,二●●,●●●,●●●,●●●,●曾Ｉ,●●●,●●●,●●●,●●●,●●●,●●●,889,98,987
13,●●●,●●昜,・血・,●●●,●●●,●●●,●●●,●●●,●●●,,●●●,●●●,13,●●●,,●●●,●●●,,●●●,●●●,,●●●,・・●,●●●,昜●●,●●●,●●●,●曝●,暑●Ｉ,●●●,●●昜,●●●,●●●,●●●,753,85,838
14,●●●,●●●,●●●,●●●,●●●,●●●,ａ●●,●●●,,260,16,276,14,●争●,●●●,●●・,●●●,●●●,●●●,●●●,●●●,●●●,238,13,251,-,-,-,22,３,25,-,-,-,520,32,552
昭和１,二●●,●・●,●■●,●●●,●●●,●●●,●●●,,,259,15,274,昭和１,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●■,●●●,203,５,208,-,-,-,21,-,21,-,-,-,483,20,503
２,●●●,●●●,●●盞,●●●,●●●,●●●,奉●●,●●●,●●●,300,-,300,２,■●●,●■●,●●●,●●●,●●●,●襴●,,●●●,●■●,-,-,-,-,-,-,６,-,６,-,-,-,306,-,306
３,●●●,●●●,●●●,●●●,●●●,●●Ｉ,●●●,●●●,●●●,●・●,●●●,●●●,３,●●●,●●●,●■慟,●●●,●■●,●●●,・●・,●●■,●・●,●■●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●・,●●●,286,-,286
４,ｌ●●,●●●,●●●,●●●,●●●,慘●Ｉ,二●●,●●●,●●●,●●●,●●●,●●●,４,・●●,●●●,●●●,●●●,●●●,●●●,●■●,●●●,●●●,●■●,●●●,●●●,●●●,●●●,●●・,●●●,●●●,●●●,●●●,●●■,●●●,371,-,371
５,●●●,●●●,●●●,●●●,●●●,・●血,●●●,,●襴●,3n,-,311,５,●●●,二●二,●●●,,●●●,●●●,●●●,●●●,●●●,-,-,-,-,-,-,19,-,19,-,-,-,330,-,330
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
