,大正元,大正２,大正３,大正４,大正５,大正７,大正８,大正９,大正10,大正11.4-7,大正11.8-12.3,大正13,大正14,昭和元,昭和２,昭和３,昭和４,昭和５,昭和６,昭和７,昭和８,昭和９,昭和ｎ,昭和12,昭和13,昭和14,昭和15,昭和16,昭和17,昭和18,昭和19,昭和20,昭和21
財産ョリ成ズル収入昭和19ｮﾘ積立金収入,,,,,,,,,,,,,,,,,,,,,,,,,,"12,005.80","13,626.77",14.026.52,"12,443.59",7.502.41,"11,369.00","6,359.55","21,091.45"
特別資金収入,,,,,,,,,,,,,,,,,,,,,,,,,,"12,005.80","13,626.77",14.026.52,12.443.59,"7,502.41","11,369.00","6,359.55",21.091.45
雑収入,,,,,,,,,,,,,,,,,994.020,"1,217.590","2,580.050",952.460,"1,414.100","1,380.900","2,386.490","3,565.006","4,880.01","4,739.38","6,110.01",6.260.12,"7,461.84","9,676.91","12,325.06","99,477.00","31,327.47"
雑収入,"6,632.110","5,840.000","6,199.265","6,066.375","6,041.720","6,454.010","11,514.670","6,801.070","6,271.200","2,677.200","7,912.270","6,970.940","6,282.180","9,603.150","11,578.040","10,693.600",994.020,"1,217.590","2,580.050",952.460,"1,414.100","1,380.900","2,386.490","3,565.006","4,880.01","4,739.38","6,110.01","6,260.12","7,461.84","9,676.91","12,325.06","99,477.00","31,327.47"
一般会計より補充金,,"4,313.000",-,-,一,-,-,-,-,-,-,-,"44,000.000","3,800.000",0.000,0.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
一般会計より補充金,,"4,313.000",-,-,-,-,-,-,-,-,-,-,"44,000.000","3,800.000",-,-,ー,-,-,-,-,-,-,-,-,-,-,-,-,ー,-,-,-
繰越金,,"9,826.876","7,068.713","5,270.645","5,891.024",7.684.594,566.104,"6,069.604","74,686.314","47,840.664",-,242.454,0.000,"10,548.424",25.454,"10,534.354","･21,170.774","43,229.694","22,988.314",219.524,"20,400.324","55,568.844","38,610.234","42,946.154","102,924.34","99,565.47","131,705.11","127,894.03","134,855.86","183,948.34","326,986.83","367,823.14","509,483.56"
前年度より繰越金,,"9,826.876","7,068.713","5,270.645","5,891.024","7,684.594",566.104,"6,069.604","74,686.314","47,840.664",-,242.454,-,"10,548.424",25.454,"10,534.354","21,170.774","43,229.694","22,988.314",219.524,"20,400.324","55,568.8∠14","38,610.234","42,946.154","102,924.34","99,565.47","131,705.11","127,894.03","134,855.86","183,948.34","326,986.83","367,823.14","509,483.56"
火災保険金,,,,,,,,,,,,,,,,,,,,,,"31,610.000",-,-,-,-,-,-,-,-,-,-,-
区立病院引継金,,,,,,,,,,,"23,956.824",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
区立病院未収入金,,,,,,,,,,,"3,653.150",-,-,-,-,-,-,ー,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-
区債,,,,,,,,"60,000.000","140,000.000",-,-,-,-,-,-,-,-,-,-,-,-,"0,000",-,-,-,-,-,-,-,一,-,-,-
補助金,,,,,,,,,,,,,,,,,,,,,,,,,,,741.60,-,-,"6,770.00","36,353.64","9,531,00",-
繰入金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"221,983.33","23,400.00",22.720.00,"22,040.00","21,360.00"
歳入繰上金,,,,,,,,,,,,"19,673.716",-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-
合計,"99,878.850","107,796.876","97,272.108","98,519.350","111,991.674","144,913.524","186,601.224","240,416.764","396,548.964","116,298.764","185,552.494","278,966.600","331,346.620","305,210.564","320,390.494","338,318.044","358,472.844","369,638.124","311,056.564","274,652.614","340,301.744","480,413.144","388,422.224","448,357.950","540,889.31","602,380.88","664,386.00","708,322.84","982,839.16","953,712.82","1,264,204.74","1,416,301.81","3,742,640.96"
歳出の部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
経常費,"90,051.974","90,293.099","89,484.458","91,763.476","92,667.340","144,347.420","180,531.620","161,179.550","174,425.340","75,924.040","145,738.440","250,231.300","272,389.180","276,149.810","276,120.840","286,411.970","286,507.930","296,608.510","248,691.290","244,452.290","282,732.900","309,261.000","301,052.370","315,433.610","355,267.57","405,866.77","454,359.19","510,244.57","647,875.48","542,818.53","836,447.10","838,701.03","3,371,572.23"
病院費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"636,248.64","802,915.84","3,195,571.89"
給料,"20,947.856","21,717.636","23,543.246","23,846.096","24,645.880","27,143.950","38,686.400","44,759.050","51,756.820","25,984.610","59,152.950","77,574.450","89,383.470","107,194.670","96,983.400","97,758.630","115,487.270","且2,361.790","104,775.640","102,579.200","106,340.310","106,027.420","110,918.070","110,134.700","111,349.11","120,214.41","118,399.38","123,605.22","137,043.71","129,452.55","138,415.72","145,791.88","675,069.55"
雑給,"15,220.471","15,238.325","15,672.975","15,517.630","15,601.690","22,851.990","34,050.820","38,607.390","44,044.780","16,699.600","29,645.410","58,631.590","64,187.190","60,532.450","66,359.940","63,820.940","55,816.100","65,969.630","51,734.630","48,564､250","57,485.390","46,442.910","49,544.190","51,095.470","56,569.56","68,855.19","87,315.58","108,906.89","222,660.95","103,682.80","194,239.99","345,217.97","859,013.85"
需用費,"52,186.925","50,946.078","48,826.656","51,025.583","51,420.330","91,400.950","105,718.880","75,332.030","75,534.440","31,167.140","53,610.550","107,396.520","116,719.740","105,946.450","110,492.270","113,343.020","108,351.090","110,907.430","85,962.640","89,305.380","103,720.230","141,399.610","134,940.920","145,852.610","175,781.72","196,568.30","228,697.75","255,646.05","268,694.83","296,043.37","303,592.93","311,905.99","1,661,488.49"
厚生費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
修繕費,"1,696.722","2,391.060","1,441.581","1,374.167",999.440,"2,950.530","2,075.520","2,481.080","3,089.300","2,072.690","3,329.530","6,628.740","2,098.780","2,476.240","2,285.230","11,489.380","6,853.470","7,369.660","6,218.380","4,003.460","11,254.100","11,918.020","5,649.190","8,350.830","11,567.18","20,228.87","19,946.48","22,086.41","19,475.99","13,639.81",~,-,-
警防費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,747.91","5,485.66",-
防空費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,747.91","5,485.66",-
財産費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"185,972.85","29,024.53","139,761.34"
積立金積立費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"161,062.00",-,"36,168.00"
財産管理費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,910.85","29,024.53","103,593.34"
諸費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,477.70","1,275.00","36,239.00"
雑支出,,,,,,,,,,,,,,,,,,,,,"3,932.870","3,473.040",,,,,,,,,"4,477.70","1,275.00","36,239.00"
臨時費,0.000,"9,642.274","2,517.005",864.850,"5,622.230",0.000,0.000,"4,550.900","174,282.960","16,417.900","36,608.890","28,735.300","48,409.016","29,035.300","33,735.300","30,735.300","28,735.220","50,041.300","62,145.750","9,800.000","2,000,000","7,334.750","44,423.700","30,000.000","86,056.27",64.809.00,"82,132.78","63,222.41","151,015.34","83,907.46","59,934.50","68,117.22","23,590.90"
営繕費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,934.50","6,736.50","19,265.50"
新営費,,"7,904.374","2,517.005",864.850,"5,622.230",-,-,"4,400.000","167,870.210",-,-,-,㎜a,300.000,-,-,,15497.460,130.000,-,-,"6,334.750",-,-,"6,056.27",-,-,-,-,-,-,-,-
改修費,,,,,,,,,,,,,,,,,,,"5,900.000",-,-,-,"24,240.700",0.000,-,一,"37,960.53","9,259.65","9,837.10","7,633.59","5,425.40","6,736.50","19,265.50"
設備費,,,,,,,,,,,,,,,,,,,"28,271.910",-,-,-,-,-,-,-,-,-,-,-,"19,509.10",-,-
修繕費,,"1,737.900",-,-,-,-,-,-,-,"14,735.030","10,129.600",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-
公債費,,,,,,,,150.900,"6,412.750","1,682.870","18,015.990","28,735.300","28,735.300","28,735.300","28,735.300","28,735.300","28,735.220","7,843.840","7,843.840",-,-,0.000,-,-,-,-,-,-,-,-,-,-,-
積立金,,,,,,,,,,,,,,,"5,000.000","2,000.000",-,"2,000.000",-,"2,000,000","2,000,000","1,000.000","20,183.000","30,000.000","80,000.00","39,809.00","42,735.00","14,163.00","12,443.00","30,880.00",-,-,-
記念祝典費,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-
一般会計繰入金,,,,,,,,,,,,,,,,,,"20,000.000","20,000.000","7,800.000",-,-,-,-,-,-,-,-,"100,000.00",-,-,一,-
財産買入費昭和19ｮﾘ建物買入費,,,,,,,,,,,,,,,,,,"5,000.000",-,-,ー,-,-,-,-,"25,000.00",-,-,-,-,"35,D00.00","60,086.52",-
調査費,,,,,,,,,,,,,,,,,,,,,,,,,,,211.25,0.00,0.00,0.00,-,-,-
臨時家族手当費,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,226.00","2,402.00","7,461.00","8,880.00",-,-,-
臨時手当費,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,887.00","14,156.00","14,096.00",-,-,-
戦時勤勉手当費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,241.47","15,558.27",-,-,-
防空費,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,510.76",876.77,"6,859.60",-,-,-
厚生費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,294.20","4,325.40"
雑支出,,,,,,,,,,,,,"19,673.716",-,-,-,-,ー,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-
区立病院未払金支出額,,,,,,,,,,,"8,463.300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
合計,"90,051.974","99,935.373","92,001.463","92,628.326","98,289.570","144,347.420","180,531.620","165,730.450","348,708.300","92,341.940","182,347.330","278,966.600","320,798.196","305,185.110","309,856.140","317,147.270","315,243.150","346,649.810","310,837.040","254,252.290","284,732.900","316,595.750","345,476.070","345,433.610","441,323.84","470,675.77","536,491.97","573,466.98","798,890.82","626,725.99","896,381.60","906,818.25","3,395,163.13"
差引（歳入一歳出）,"9,826.876","7,861.503","5,270.645","5,891.024","13,702.104",566.104,"6,069.604","74,686.314","47,840.664","23,956.824","3,205.164",0.000,"10,548.424",25.454,"10,534.354","21,170.774","43,229.694","22,988.314",219.524,"20,400.324","55,568.844","163,817.394","42,946.154","102,924.340","99,565.47","131,705.11","127,894.03","134,855.86","183,948.34","326,986.83","367,823.14","509,483.56","347,477.83"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
