,"地　租　割
昭和２年より
地租付加税",地　租　割,"営　業　税
昭和15年より
営業税割",雑　種　税,船　舶　税,自動車税,電　柱　税,不動産取得税,漁業権税,狩猟者税,芸　妓　税,営業税付加税,営業収益税,営業収益税割,"売薬営業税
付　加　税","所　得　税
付　加　税

昭和21年より
道　民　税","戸　数　割
昭和２年より
家　屋　税
昭和21年より
家屋税付加税","段　別　割

昭和15年より
段　別　税","水　産　税

昭和21年より
漁　業　税","鉱　業　税
付　加　税

昭和16年より
鉱区税付加税","都市計画
特別税
営業税割","都市計画
特別税
地租割",特別地税,"雑　収　入
r2冫惱",合　　　　　　計
41　　　上半期,"2,720.31",-,"2,324.15","10,862.97",-,-,-,-,-,-,-,9.244.02,-,-,-,"1,205.07",9.646.64,165.79,"1,916.35",-,-,-,-,-,"38,085.29"
下半期,"2,946.44",-,"3,037.74","5,465.58",-,-,-,-,-,-,-,"9,939.77",-,-,-,"7,424.42","11,618.76",172.16,"1,468.99",-,-,-,-,-,"42,073.86"
42　　　上半期,"2,774.54",-,"2,291.70","10,164.32",-,-,-,-,-,-,-,"9,634.89",-,-,-,"1,011.31","9,905.04",166.88,"1,974.59",-,-,-,-,-,"37,923.27"
下半期,"3,905.27",-,"4,301.38","15,496.33",-,-,-,-,-,-,-,"12,338.06",-,-,-,"7,581.18",22.827.67,352.26,"4,592.68",-,-,-,-,-,"71,394.83"
43　　　上半期,"4,388.78",-,"2,806.60","11,077.83",-,-,-,-,-,-,-,"9,134.28",-,-,-,231.26,"9,601.20",182.19,"2,741.64",-,-,-,-,-,"40,163.77"
下半期,"4,878.99",-,"3,744.21","15,942.79",-,-,-,-,-,-,-,"10,431.53",-,-,-,"7,441.65","20,173.60",330.39,"2,859.82",-,-,-,-,-,"65,802.97"
44　　　上半期,"4,692.03",-,"3,331.29",13.669.72,-,-,-,-,-,-,-,"9,607.73",-,-,-,"1,430.85","20,124.82",277.08,"2,487.55",-,-,-,-,-,"55,621.06"
下半期,"7,591.67",-,"4,297.93","17,718.38",-,-,-,-,-,-,-,"10,411.07",-,-,-,"6,556.27","20,640.89",328.16,"2,192.77",-,-,-,-,-,"69,737.13"
大正元　　　上半期,"3,039.94",-,2.594.42,11.152.85,-,-,-,-,-,-,-,"10,553.66",-,-,-,"1,642.85","13,817.65",209.45,"2,364.46",一,-,-,-,-,"45,375.28"
下半期,"3,148.28",-,"4,262.46","16,716.87",-,-,-,-,-,-,-,"12,241.20",-,-,-,"8,199.49","18,429.74",204.55,"1,728.38",-,-,-,-,-,"64,930.97"
２　　　上半期,"3,054.54",-,"2,840.05",12.407.28,-,-,-,-,-,-,-,"11,225.88",-,-,-,"1,240.04","12,521.37",78.51,1.646.69,-,-,-,-,-,"45,014.36"
下半期,"3,087.56",-,"3,818.55","16,601.01",-,-,-,-,-,-,-,"11,653.05",-,-,-,"7,969.70","19,091.02",177.48,"1,260.17",16.75,-,-,-,-,"63,675.29"
３　　上半期,"3,011.76",-,"2,635.15",11.661.79,-,-,-,-,-,-,-,"10,056.86",-,-,-,"3,072.56",11.430.69,74.72,812.45,-,-,-,-,-,"42,755.97"
下半期,"3,105.93",-,"4,921.43",17.060.55,-,-,-,-,-,-,-,"11,478.16",-,-,-,"5,503.87","14,943.91",194.80,"1,550.37",79.77,-,-,-,-,"58,838.78"
４　　上半期,"3,022.68",-,"4,090.10",13.668.43,-,-,-,-,-,-,-,"7,154.79",-,-,2.91,"2,056.09","13,163.50",86.49,998.10,-,-,-,-,-,"44,243.08"
下半期,"3,079.68",-,"6,055.74","18,144.81",-,-,-,-,-,-,-,"7,366.44",-,-,3.64,"7,573.88","21,517.81",160.56,"1,333.50",70.93,-,-,-,-,"65,306.98"
５　　上半期,"3,067.81",-,4.266.45,"16,048.49",-,-,-,-,-,-,-,"7,385.92",-,-,2.97,"2,703.29","13,568.62",71.37,"1,174.56",0.15,-,-,-,-,"48,289.63"
下半期,"3,112.27",-,"6,311.73","18,837.38",-,-,-,-,-,-,-,"9,934.56",-,-,3.23,"11,379.66","23,234.84",160.74,"1,057.16",278.30,-,-,-,-,"74,309.87"
６　　上半期,"4,523.09",-,"9,438.22","12,590.31",-,-,-,-,-,-,-,"8,484.25",-,-,2.94,"20,040,52","16,384.75",85.11,"1,558.89",-,-,-,-,-,"73,108.08"
下半期,"4,597.77",-,"15,713.46","14,263.96",-,-,-,-,-,-,-,"9,375.15",-,-,3.30,"13,044.34","21,427.05",154.47,849.63,73.06,-,-,-,-,"79,502.19"
７　　上半期,"4,690.19",-,"12,041.18","15,222.82",-,-,-,-,-,-,-,"10,447.38",-,-,2.51,"9,392.14","19,633.37",87.04,739.30,0.00,-,-,-,-,"72,255.93"
下半期,"4,778.94",-,"25,209.82","14,771.09",-,-,-,-,-,-,-,"12,836.20",-,-,3.03,"30,967.50","18,008.54",109.17,59.20,8.79,-,-,-,-,"106,752.28"
８　　　上半期,"6,923.13",-,"15,135.61","19,565.23",-,-,-,-,-,-,-,"16,808.85",-,-,3.28,"17,320.63","18,927.89",172.23,853.68,"5,758.42",-,-,-,-,"101,468.95"
下半期,"8,730.82",-,"19,233.93","20,889.60",-,-,-,-,-,-,-,"21,154.22",-,-,3.42,"9,220.91","25,455.50",117.49,333.22,1.49,-,-,-,"15,726.40","120,867.00"
９　　上半期,"9,321.04",-,"19,467.21","32,162.88",-,-,-,-,-,-,-,"26,928.06",-,-,3.47,"11,088.47","23,841.54",157.68,706.60,-,-,-,-,"7,527.09","131,204.04"
下半期,"13,430.05",-,"23,925.47","33,452.87",-,-,-,-,-,-,-,"37,422.53",-,-,4.05,"7,102.75","34,537.32",187.46,"837,n",1､15,-,-,-,"10,868.46","161,769.22"
10　　上半期,"12,206.70",-,"13,678.29","35,709.47",-,-,-,-,-,-,-,"30,551.57",-,-,4.15,"6,320.69","23,820.67",130.36,"1,360.40",-,-,-,-,"5,429.67","129,211.97"
下半期,"12,866.85",-,"18,938.85","39,663.46",-,-,-,-,-,-,-,"35,628.37",-,-,3.33,"25,125.06","29,478.35",73.90,"1,181.89",-,-,-,-,"8,770.33","171,730.39"
11　　　上半期,"17,092.81",-,"9,738.80","36,907.97",-,-,-,-,-,-,-,"33,081.29",-,-,2.81,103.84,17.68,-,-,-,-,-,-,"2,672.99","99,618.19"
11.8-12,"20,593.21",-,"13,133.09","40,604.33",-,-,-,-,-,-,-,"30,401.27",-,-,1.26,"5,095.97","86,381.89",-,-,-,-,-,-,"4,937.01","201,148.03"
12.1-3,0.00,-,"8,008.43","11,692.66",-,-,-,-,-,-,-,"17,316.78",-,-,3.83,"8,045.45",15.87,-,-,-,-,-,-,"2,772.92","47,855.94"
12　　上半期,"32,754.83",-,"18,184.51","67,074.43",-,-,-,-,-,-,-,"68,380.95",-,-,4.35,"8,218.77","75,440.50",-,-,-,"3,726.76",-,-,"4,726.95","278,512.05"
下半期,0.00,-,"6,363.47","9,968.94",-,-,-,-,-,-,-,"10,261.25",-,-,0.00,"6,702.94","9,156.35",-,-,-,479.82,-,-,"2,171.40","45,104.17"
13,"36,345.51",-,"30,023.27","87,703.23",-,-,-,-,-,-,-,"101,942.45",-,-,-,"28,209.82","114,044.85",-,-,-,"5,712.67",-,-,"9,931.49","413,913.29"
14,"40,280.49",-,"28,772.11","82,797.64",-,-,-,-,-,-,-,"104,213.73",-,-,-,"26,839.19","98,720.96",-,-,-,"2,256.96",-,-,"12,251.33","396,132.41"
昭和元,"41,909.78",-,"27,014.79","96,831.91",-,-,-,-,-,-,-,"121,373.98",-,-,-,"25,419.42","126,730.91",-,-,-,"3,778.95",-,26.85,0.00,"443,086.59"
２,"45,921.47",-,"25,197.41","70,889.62",-,-,-,-,-,-,一,"88,606.82",-,-,-,"166,815.47","121,007.04",193.56,-,-,-,-,13.63,-,"518,645.02"
３,"47,006.61",-,"25,107.61","79,109.20",-,-,-,-,-,-,-,"77,817.13",-,-,-,"183,889.69","138,456.38",96.19,-,一,-,-,3.52,-,"551,486.33"
４,46.921.69,-,"25,355.13","84,070.18",-,-,-,-,-,-,-,"105,311.44",-,-,-,"202,864.49","136,108.50",94.72,-,-,"3,962.71","2,062.72",3.33,-,"606,754.91"
５,,,●●●,,●●●,,・●●,●●●,●●４,,●●●,●●●,●●●,●●●,●●●,●●●,●●●,,●●●,●●●,●●●,●●●,●●●,●●●,●●●
６,"44,276.51",-,"16,201.95","67,940.13",-,-,-,-,-,-,-,"150,355.32",-,-,-,"389,658.61","130,628.98",94.32,-,-,"6,670.37","1,970.34",5.98,-,"807,802.51"
７,●●●,●●●,●春●,,●４●,●●●,曾●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,喩●●,●●●,曾●●,●●■,・●●,●●●,●●●
８,"96,240.91",,"12,385.91","65,050.07",-,-,-,-,-,-,-,"53,402.52",-,-,-,"123,991.69","130,769.75",42.32,-,-,"5,438.44","2,695.33",6.40,-,"490,023.34"
9　10.1-5,"49,268.44","1,331.19","4,307.18","17,001.53",-,-,-,-,-,-,-,"22,008.78","2,370.86",-,-,"35,537.67","38,455.80",67.71,-,-,-,-,3.31,-,"170,352.47"
10　10.4-12,"107,417.73","3,085.77","14,030.84","69,572.76",-,-,-,-,-,-,-,"37,674.97","4,165.90",-,-,"76,986.94","83,130.23",579.00,-,-,-,-,6.92,-,"396,651.06"
10　11.1-5,0.00,0.00,"2,099.99","10,322.33",-,-,-,-,-,-,-,"1,538.33",173.57,-,-,"48,481.36","22,115.26",0.00,-,-,-,-,0.00,-,"84,730.84"
11　11.4-12,111.659.28,"2,855.90","13,021.81","75,639.03",-,-,-,-,-,-,-,"69,693.23","7,432.23",-,-,"94,892.62","137,223.58",596.12,-,-,-,-,7.37,-,"513,021.17"
11　12.1-5,△1.92,△0.04,2.948.47,"12,725.52",-,-,-,-,-,-,-,"1,614.47",171.66,-,-,"56,708.04","3,109.86",0.00,-,-,-,-,0.00,-,"77,276.06"
12　12.4-12,"121,948.65","2,846.35","13,076.24","89,073.38",-,-,-,-,-,-,-,"62,713.17","6,281.27",-,-,"121,113.19","135,549.89",611.87,-,-,-,-,5.85,-,"553,219.86"
12　13.1-5,64.92,1.57,"2,532.88","30,609.88",-,-,-,-,-,-,-,△180.99,△17.00,-,-,"93,406.90","4,587.19",-0.24,-,-,-,-,0.00,-,"131,005.11"
13　13.4-12,"121,938.30","2,719.21","13,039.98","80,226.44",-,一,-,-,-,-,-,"95,689.39","8,820.14",-,-,"155,016.14","156,832.15","1,355.51",-,-,-,-,5.12,-,"635,642.38"
13　14.1-5,469.03,3.64,"2,369.98","15,153.61",-,-,-,-,-,-,-,"1,738.97",154.94,-,-,"96,375.57",△49.49,0.00,-,0.00,-,-,0.00,-,"116,216.25"
14　14.4.12,"120,685.91","2,178.61","18,768.18","58,313.79",-,-,-,-,-,-,-,"103,332.66","7,583.76",-,-,"215,420.99",168.543.49,"1,352.57",-,948.81,-,-,241.98,-,"697,370.75"
15,"36,342.28","1,520.62","1,849.38",-,"8,300.77","4,407.50","11,470.25","33,671.44",448.80,135.02,"9,804.57","44,447.52",-,-,-,-,"61,655.28",244.46,-,-,-,-,-,-,"214,297.89"
16,"74,573.21","3,083.17","6,221.74",-,"8,213.13","8,507.50","11,442.22","67,618.27",557.46,131.00,"10,200.21","149,908.28",-,-,-,一,"144,054.48","1,034.36",-,239.84,-,-,-,-,"485,784.87"
17,,●●¶,,●■●,,●●●,●二●,●●●,●●●,Ｉ●●,蕃●●,●・●,,,,,,●●●,,●●●,●●●,●●■,●●●,●●●,●●●
18,"77,830.44","3,241.08","8,974.21",28.80,"6,707.23","6,030.00","11,449.27","79,573.49",867.00,-,"8,467.42","216,224.21",936.12,60.59,-,-,"117,086.15","8,164.28",-,146.16,-,-,-,-,"545,786.45"
19,"98,627.65","1,919.77","10,855.75",-,"5,001.70","5,307.50","11,468.55","108,359.73",897.00,240.00,"2,102.80","315,632.02",-,-,-,-,"139,977.65","9,322.60",-,400.86,-,-,-,-,"710,113.58"
20,●●●,●●●,・●●,,●●●,●●●,・●●,●●●,●●●,●●●,●■●,●●●,●●●,●●●,●蕃●,●●●,●●●,●●●,●●●,●●●,■●●,●●●,●申●,●●●,●●●
21,"318,715.45","2,002.21","5,654.93",-,"9,486.80","19,320.00",341.10,"187,750.60","4,782.00",259.90,"16,669.40","527,149.10",-,一,-,"2,073,513.00","490,110.00","24,070.60","29,310.40",689.45,-,-,-,"10,500.00","3,720,324.94"
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
