,大1 11.8-12.3,大正12,大正13,大正14,昭和元,昭和２,昭和３,昭和４,昭和５,昭和６,昭和７,昭和８,昭和９,昭和10,昭和11,昭和12
需用費,,,,,,,,,,,,,,,889.580,832.000
修繕費,,,,,,,,,,,,,,,11.500,109.570
墓地火葬場費,"7,104.940","12,966.330","10,391.540","10,337.170","13,132.560","12,647.500","13,235.610",-,-,-,-,-,-,-,-,-
墓地費,191.590,248.290,137.230,229.150,230.220,219.150,296.320,547.600,152.060,207.100,188.160,171.500,195.250,188.150,212.060,"1,618.660"
雑給,,,,,,,,547.600,152.060,207.100,176.540,167.000,181.200,179.000,204.100,524.000
需用費,,,,,,,,,,,11.620,4.500,14.050,9.150,7.960,235.000
修繕費,,,,,,,,,,,,,,,,859.660
火葬場費,"6,913､350","12,718.040","10,254.310","10,108.020","12,902.340","12,428.350","12,939.290","11,752.290","9,091.320","8,586.780","7,648.140","6,825.170","7,790.270","8,799.110","11,041.880","10,082.620"
雑給,,,,,,,,"3,027.150","3,058.520","3,270.610","2,839.460","2,787.430","2,734.300","2,804.930","2,783.320","2,816.930"
需用費,,,,,,,,"6,657.460","5,173.600","4,768.090","3,653.970","3,343.490","4,417.310","5,074.390","5,761.790","4,962.490"
修繕費,,,,,,,,"2,067.680",859.200,548.080,"1,154.710",694.250,638.660,919.790,"2,496.770","2,303.200"
水道費,"30,337.110","48,190.890",-,-,-,-,-,-,-,-,-,-,-,-,-,-
管理費,"20,178.860","31,790.630",-,-,-,-,-,-,-,-,-,-,-,-,-,-
保存費,"10,158.250","16,400.260",-,-,-,-,-,-,-,-,-,-,-,一,-,-
給水工事費,"24,455.260","50,447.090",-,-,-,-,-,-,-,-,-,-,-,-,-,-
給水工事費,"24,455.260","50,447.090",-,-,-,-,-,-,-,-,-,-,-,-,-,-
都市計画費,,,,"17,358.460","13,678.540","13,157.330","11,839.400","9,389.110","10,531.930","8,729.130","8,489.360","7,398.910","7,437.540","5,813.030",5771.370,"8,858.800"
都市計画費,,,,"17,358.460","13,678.540","13,157.330","11,839.400",-,-,-,-,-,-,-,-,-
給料,,,,,,,,"4,487.200","5,264.730","3,367.230","3,307.950","3,190.470","2,685.850","1,673.500","1,997.320","2,207.170"
雑給,,,,,,,,"4,348.950","4,445.600","4,570.200","4,464.050","3,915.450","4,168.010","3,588.940","3,115.480","5,988.090"
需用費,,,,,,,,552.960,821.600,791.700,717.360,292.990,583.680,550.590,658.570,663.540
港湾費,,,,,,,,,,,"20,689.630","14,093.310","15,116.550","18,474.150","19,162.480","19,002.200"
事務費,,,,,,,,,,,"1,116.080","1,025.550","1,116.550","1,040.830","1,132.840","1,136.060"
物揚場費,,,,,,,,,,,"5,899.640",3.419.960,"3,528.560","3,215.130","4,642.380","4,064.220"
事業費,,,,,,,,,,,"13,673.910","9,647,800","10,471.440","14,218.190","13,387.260","13,801.920"
維持費,,,,,,,,,,,,,,,,
統計費,,,,,"3,523.670","3,296.000","3,535.170","3,734.210","2,636.440","2,954.090","2,633.340","2,618.280","2,405.560","2,480.190","2,517.940","2,517.650"
統計費,,,,,"3,523.670","3,296.000","3,535.170",-,-,-,-,-,-,-,-,-
雑給,,,,,,,,300.000,130.000,150.000,150.000,150.000,150.000,150.000,140.000,130.000
需用費,,,,,,,,"1,350.000",435.800,777.220,458.750,240.000,330.630,267.400,299.440,308.350
諸費,,,,,,,,"2,084.210","2,070.640","2,026.870","2,024.590","2,228.280","1,924.930","2,062.790","2,078.500","2,079.300"
救助費,,,,,,,,"2,826.950","2,968.460","2,321.110",-,-,-,-,-,-
窮民救護費,,,,,,,,"1,218.310","1,225.960","1,431.450",-,-,-,-,-,-
育児費,,,,,,,,"1,608.640","1,742.500",889.660,-,-,-,-,-,-
社会事業費,,,,,,,,,,"2,054.670","15,624.540","15,528.510",-,-,-,一
社会事業費,,,,,,,,,,"2,054.670","15,624.540","15,528.510",-,-,-,-
社会事業費　昭和４ｮﾘ諸費,"3,267.270","5,209.120","4,997.960","7,310.730","7,697.520","11,335.960","13,593.140","3,498.690","3,060.280","2,393.340","2,496.150","4,724.320","21,592.440","27,992.410","31,495.910","39,559.200"
職業紹介所費,"2,028.740","2,642.770","2,535.910","3,753.640","3,787.330","4,304.520","4,685.620",-,-,-,-,-,"5,203.080","5,322.970","5,286.510","5,475.620"
救護費,,,,,,,,,,,,,"15,742.650","20,117.660","25,169.900","29,473.580"
公会堂費,,,,,,,,,,,,,605.250,"2,476.420",949.780,"1,255.470"
母子保護費,,,,,,,,,,,,,,,,"3,274.780"
市民館費,-,-,-,-,675.730,"2,574.570","2,709.030","1,965.690","2,299.780","2,301.120",2.160.810,"4,581.770",-,-,-,-
公設市場費,118.130,23.620,65.480,64.300,482.730,231.650,149.050,114.000,231.400,56.950,278.810,91.790,-,-,-,-
育児費,859.990,"1,354.560","1,477.010","1,645.790","1,607.930","1,458.000","1,660.510",-,-,-,-,-,-,-,-,-
雑費,246.190,786.390,563.900,"1,150.760",795.320,"2,144.920","1,217.720",333.690,146.920,-,-,-,-,一,-,-
修繕費,14.220,401.780,355.660,696.240,348.480,622.300,"1,387.870",-,-,-,-,-,-,-,-,-
事業普及費,,,,,,,,,,35.270,56.530,50.760,41.460,75.360,89.720,79.750
副業奨励費,,,,,,,"1,783.340","1,085.310",382.180,-,-,-,-,-,-,-
分担金,,,,,,,,,,,,,,,,
公園費,"2,916.420","6,951.940","8,419.780","7,645.150","8,783.000","7,528.820","7,006.090","5,969.420","5,298.920","5,722.770","3,896.430","3,490.650","3,580.190","3,646.670","3,682.910","3,965.780"
管理費,"2,344.520","4,086.290","8,419.780","7,645.150","8,783.000","7,528.820","7,006.090",-,-,-,-,-,-,-,-,-
給料,,,,,,,,1.368.000,"1,368.000","1,369.800",696.000,696.000,696.000,696.000,696.000,720.000
雑給,,,,,,,,"2,387.070","2,997.100","3,540.880","2,453.250","2,168.550","2,153.400","2,232.400","2,282.130","2,284.060"
需用費,,,,,,,,363.850,396.190,334.390,244.330,162.770,229.890,204.490,193.810,452.760
修繕費,571.900,"2,865.650",-,-,-,-,-,"1,850.500",537.630,477.700,502.850,463.330,500.900,513.780,510.970,508.960
職業紹介所費,,,,,,,,"5,544.220","5,547.750","6,006.800","5,175.220","4,919.220",-,-,-,-
給料,,,,,,,,"3,412.100","3,156.400",3.124.460,"3,013.200","2,934.000",-,-,-,-
雑給,,,,,,,,1.168.210,"1,387.120","1,859.950","1,437.600","1,377.120",-,-,-,-
需用費,,,,,,,,773.410,906.020,933.330,708.080,603.200,-,-,-,-
修繕費,,,,,,,,190.500,98.210,89.060,16.340,4.900,-,-,-,-
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
