,昭和39,昭和40,昭和41,昭和42,昭和43,,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54
国有提供施設等所在市町村助成交付金,"314,000","318,000","418,000","639,000","706,000",国有提供施設等所在市町村助成交付金,"928,000","1,173,000","1,735,000","2,343,000","3,236,000","4,886,000","6,035,000","7,773,000","10,686,000","12,747,000","14,761,000"
国有提供施設等所在市町村助成交付金,"314,000","318,000","418,000","639,000","706,000",国有提供施設等所在市町村助成交付金,"928,000","1,173,000","1,735,000",2.343.000,"3,236,000","4,886,000","6,035,000","7,773,000","10,686,000","12,747,000","14,761,000"
地方交付税,"638,305,000","756,642,000","834,015,000","1,034,418,000","1,277,156,000",地方交付税,"1,805,713,000","2,220,074.000","2,472,206,000","3,121,365,000","3,734,863,000","6,087,859,000","6,339,156,000","7,542,939,000","7,242,172,000","9,516,866,000","9,620,019,000"
地方交付税,"638,305,000","756,642,000","834,015,000","1,034,418,000","1,277,156,000",地方交付税,"1,805,713,000","2,220,074,000","2,472,206,000","3,121,365,000","3.734,863,000","6,087,859,000","6,339,156,000","7,542,939,000","7,242,172,000","9,516,866,000","9,620,019,000"
地方交付税,"638,305,000","756,642,000","834,015,000","1,034,418,000","1,277,156,000",地方交付税,"1,805,713,000","2,220,074,000","2,472,206,000","3,121,365,000","3,734,863,000","6,087,859,000","6,339,156,000","7,542,939,000","7,242,172,000","9,516,866,000","9,620,019,000"
交通安全対策特別交付金,,,,,"9,418,000",交通安全対策特別交付金,"n,338,000","8,848,000","14,443,000","30,481,000","35,707,000","43,552,000","∠19,356,000","45,753,000","59,512,000","67,203,000","62,965,000"
交通安全対策特別交付金,,,,,"9,418,000",交通安全対策特別交付金,"11,338,000","8,848,000","14,443,000","30,481,000","35,707,000","43,552.000","49,356,000","45,753,000","59,512,000","67,203,000","62,965,000"
交通安全対策特別交付金,,,,,"9,418,000",交通安全対策特別交付金,"11,338,000","8,848,000","14,443,000","30,481,000","35,707,000","43,552,000","49,356,000","45,753,000","59,512,000","67,203,000","62,965,000"
分担金及び負担金,"14,696,323","18,398,331","24,495,594","30,277,892","36,825,695",分担金及び負担金,"42,650,081","48,244,468","57,208,161","64,714,894","84.756,498","122,355.498","133,111,991","178,863,813","263,548,146","318,212,221","394,917,747"
負担金,"14,696,323","18,398,331","24,495,594","30,277,892","36,825,695",負担金,"42,650,081","48,244,468","57,208,161","64,714,894","84,756,498","122,355,498","133,111,991","178,863,813","263,548,146","318,212,221","394,917,747"
民生負担金,"13,939,495","17,665,435","23,352,085","29,133,439","35,741,112",民生負担金,"40,617,755","46,253,611","55,234,548","61,596,569","81,665,588","118,521,168","129,183,361","174,862,213","256,798,581","311,314,596","387,993,892"
教育費負担金,"756,828","732,896","1,143,509","1,144,453","1,084,583",教育費負担金,"2,032,326","1,990,857","1,973,613","3,118,325","3,090,910","3,834,330","3,928,630","4,001,600","6,749,565","6,897,625","6,923,855"
使用料及び手数料,"194,701,917","211,580,272","248,893,102","275,319,849","300,667,976",使用料及び手数料,"322,841,101","397,072,870","446,267,855","598,758,422","569,358,441","679,679,167","689,125,056","879,059,847","1,038,130,566","1,276,156,133","1,375,448,353"
使用料,"68,340,000","72,660,040","97,262,641","112,635,774","124,426,971",使用料,"140,399,161","208,525,239","253,711,520","401,848.112","352,696,929","424,756,269","508,790,413","682,820,229","820,756,761","1,035,162,690","1,096,682,358"
総務使用料,"130,400","138,350","160,250","258,050","325,900",総務使用料,"411,600","22,569,213","29,117,953","32,207,179","33,480,971","32,600,306","5,106,554","7,185,934","7,301,350","7,433,102","7,375,400"
民生使用料,"18,700","31,100","7,371,978","11,047,727","19,002,145",民生使用料,"20,677,973","25,076,262","21,812,700","16,372,593","2,376,617","4,503,989","5,604,115","6,690,227","6,825,845","8,645,173","10,890,053"
教育使用料,"16,311,661","19,413,644","25,762,517","26,018,511","23,823,603",教育使用料,"23,684,544","24,441,942","33,720,679","37,270,407","35,580,919","40,146,203","84,821,118","122,280,939","144,561.017","172,524,277","189,093,402"
土木使用料,"39,206,612","42,891,361","53,995,782","63,685,620","69,144,215",土木使用料,"83,224,384","124,651,611","156,940,648","303,908,745","270,016,041","334,359,693","397,865,417","519.327,443","628,712,517","811,851,693","853,606,678"
労働使用料,"1,177,650","1,318,200","1,235,100","1,353,400","1,467,300",労働使用料,"1,244,300","1,299,050","1,173,650","1,289,850","976,800","843,600","842,400","892,800","897,250","897,200",873.700
衛生使用料,"8,203,832","8,651,407","8,729,814","9,423,636",9.812.838,衛生使用料,"9,771,968","9,404,741","9,404,010","9,173,058","8,991,521","10,546,168","12,791,739","24,633,046","30,585,382","31,932,165","32,737,965"
農林水産使用料,"3,284,545","209,378",-,"838,430",836.770,農林水産使用料,"1,373,392","1.071,420","1,534,080","1,617,080","1,261,060","1,746,910","1,746,870","1,794,040","1,860,600","1,870,080","2,091,760"
商工使用料,"6,600","6,600","7,200","10,400","14,200",商工使用料,"11,000","11,000","7,800","9,200","13,000","9,400","12,200","15,800","12,800","9,000","13,400"
手数料,"126,361,917","138,920,232","151,630,461","162,684,075","176,241,005",手数料,"182,441.940","188,547,631","192,556,335","196,910,310","216,661,512","254,922,898","180,334,643","196,239,618","217,373,805","240,993,443","278,765,995"
総務手数料,"15,915,315","17,158,289","17,700,581","19,682,842","25,543,919",総務手数料,"27,224,955","27,282,036","29,061,220","29,615,865","32,139,810","34,384,813","36,062,455","55,871,129","59,853,565","64,225,920","65,525,190"
衛生手数料,"106,937,752","118,174,943","129,574,805","137,434,483","144,844,366",衛生手数料,"148,751,845","153,480,245","153.705,440","156,266,160","171,411,540","204,133,635","123,393,430","111.167,329","124,751,775","135,137,388","158,766,665"
土木手数料,"2,596,750","2,555,500","2,700,700","3,137,300","3,095,050",土木手数料,"3,396,200","4,279,500","5.546,400","6,772,520","8,560,600","11,254,200","15,899,950","19,954,920","20,023,880","30,003,800","37,197,700"
消防手数料,"196,950","280,950","547,275","501,550","439,600",消防手数料,"761,650","840,725","1,226,800","1,422,700","1,924,200","2,054,250","1,147,200","1,416,950","3,030,550","2,573,150","7,586,450"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
