,昭和23,昭和24,昭和25,昭和26,昭和27,昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35,昭和36,昭和37,昭和38
公金取扱費,"15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000"
公金取扱費,"15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000"
職員厚生費,"25,377","1,858,361","2,247,785","1,534,911","309,741","867,618","1,382,361","454,808","346,160","332,160","422,400","511,200","522,000","525,800","534,560","541,200"
職員厚生費,"25,377","1,858,361","2,247,785","1,534,911","309,741","867,618","1,382,361","454,808","346,160","332,160","422,400","511,200","522,000","525,800","534,560","541,200"
諸費昭和31ｮﾘ遅延利子,,,,"3,400",０,-,-,-,０,０,０,０,０,０,０,０
諸費昭和31ｮﾘ遅延利子,,,,"3,400",０,-,-,-,０,０,０,０,０,０,０,０
訴訟費,,,,,"60,000",-,-,-,-,-,-,-,-,-,-,-
訴訟費,,,,,"60,000",-,-,-,-,-,-,-,-,-,-,-
過年度支出金,,,,０,"1,677,588","663,602",-,-,"1,819,131",０,"45,792","13,664","18,595","3,700","7,633","2,088"
過年度支出金,,,,０,"1,677,588","663,602",-,-,"1,819,131",０,"45,792","13,664","18,595","3,700","7,633","2,088"
看護婦養成費,,,"7,589,123","2,067,380","2,763,480","3,093,163","3,418,508","3,479,209","3,675,456","2,384.236","2,010,443","1,564,701","1,519,447","1,702,177","1,981,376","1,988,453"
看護婦養成費,,,"7,589,123","2,067,380","2,763,480","3,093,163","3,418,508","3,479,209","3,675,456","2,384,236","2,010,443","1,564,701","1,519,447","1,702,177","1,981,376","1,988,453"
職員基本給他,,,"7,589,123","2,067,380","2,763,480","3,093,163","3,418,508","3,479,209","3,675,456","2,384,236","2,010,443","1,564,701","1,519,447","1,702,177","1,981,376","1,988,453"
公債費,,,,,,,,,"323,200","4.554,940","14,797.107","20,548,996","32,976,196","38,802,322","47,620,379","56,143,937"
元利償還金,,,,,,,,,,"3,235,400","13,109,607","18,436,996","30,952,996","37,686,322","44,193,179","52,563,737"
元金,,,,,,,,,,,"3,320,000","4,237,889","11,798,127","14,133,023","18,941,150","23,242,449"
利子,,,,,,,,,,"3,235,400","9,789,607","14,199,107","19,154.869","23,553,299","25,252,029","29,321,288"
利子,,,,,,,,,"323,200","1,319,540","1,687,500","2412,000","2,023,200","1,116,000","3,427,200","3,580,200"
一時借入金利子,,,,,,,,,"323,200","1,319,540","1,687,500","2,112,000","2,023,200","1,116,000","3,427,200","3,580,200"
給与特別措置費,"1,606,147",-,-,-,-,-,-,-,-,-,-,-,-,一,-,-
繰上充用金,,,,,,"1,000,338",-,-,-,-,-,-,-,-,-,-
歳出合計,"38.481,404","65,672,090","77,416,976","95,106,648","121,086,410","132,693,287","139,399,576","163,096,524","192,141,153","295,856,919","255,895,524","319,114,741","356,668,905","400,358,173","∠192,384,058","518,011,791"
差引（歳入一歳出）,"2,684,750","7,733,955","2,780,258","24,953",０,"6,875,185","14,819,820","102,136","8,674,140",０,０,０,０,０,０,"△24,716,400"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
