,明治30,明　治　31,明治32.4-32.9,明治32.10-33.3,明　治　33,明　治　34,明治35,明治36,明　治　37,明　治　38,明　治　39,明　治　40,明　治　41,明　治　42,明治43,明　治　44,大　正　元,大　正　２,大　正　３,大　正　４,大　正　５,大　正　６,大　正　７,大　正　８,大　正　９,大　正　10,大正11.4-7
俸給,"9,169.061","16,441.387","8,514.972","9,274.896","21,467.770","26,340.162","28,784.745","32,490.886","35,480.790","36,054.619","35,624.522","37,442.605","38,556.592","42,270.284","47,983.098","54,337.082","53,995.917","57,327.589","60,519.366","61,584.855","62,201.010","63,965.640","83,151.030","93,884.640","219,067.520","259,180.330","89,155.580"
雑給,"1,631.028","4,919.023","2,241.400","3,272.390","6,944.138","7,766.032","8,035.375","9,171.966","5,807.654","6,935.155","7,607.612","8,643.633","8,001.230","9,901.478","10,008.384","10,755.023","12,848.482","10,460.006","11,730.642",12>320.486,"13,239.710","20,175.260","33,876.360","89,601.620","36,117.880","29,655.220","11,907.430"
需用費,"2,591.663","4,898.942","2,817.377","2,734.600","5,910.719","7,496.543","7,401.674","8,894.506","9,257.004","9,366.471","8,806.879","12,919.720","17,253.914","19,652.356","19,578.375","17,767.752","18,514.954","19,176.498","19,207.103","19,108.796","20,206.910","25,503.860","23,339.310","31,767.810","40,945.630","44,347.630","13,927.300"
修繕費,"1∠18,710",281.111,188.953,558.845,421.780,454.775,450.034,506.173,528.330,503.995,575.838,1.838.551,"2,〔382.675",2.358.609,"2,197.390","2,031.186",1.704.364,"1,500.665","1,605.986","1,493.163","1,990.850","2,616.790","2,668.960","3,748.730","7,855.900","8,175.710","1,640.030"
学務委員費,81.667,100.000,50.000,10.445,216.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
特別夜学費,,,,,,,,,,,,,,,,,,,,,,468.660,589.940,786.370,"1,009.520","2,231.970",-
補助費,"3,341.325","2,265.100","1,104.998","1,125.002","2,823.996","2,823.996","2,715.996","2,682.664","4,519.800","4,647.400","4,475.000",3.939.000,"2,568.000",2.404.200,"2,698.600","2,647.200","2,443.900","1,912.000",1.865.200,"2,862.000","2,159.500","2,610.000","3,431.940","4,181.880","4,333.110","4,870.000","3,822.000"
教育補助費,"3,341.325","2,265.100","1,104.998","1,125.002","2,823.996","2,823.996","2,715.996","2,682.664","4,519.800","4,647.400","4,475.000",3.939.000,"2,568.000","2,404.200","2,598.600","2,547.200","2,343.900","1,812.000","1,765.200","1,932.000","1,459.500",1.560.000,"2,131.940","2,331.880","3,333.110","2,750.000","1,922.000"
衛生費補助費,,,,,,,,,,,,,,,100.000,100.000,100.000,100.000,100.000,100.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000
勧業補助費,,,,,,,,,,,,,,,,,,,,480.000,-,-,150.000,700.000,-,-,-
感化救済事業補助費,,,,,,,,,,,,,,,,,,,,350.000,500.000,550.000,650.000,650.000,500.000,"1,620.000","1,100.000"
在郷軍人会補助費,,,,,,,,,,,,,,,,,,,,,,300.000,"300,000",300.000,300.000,300.000,300.000
青年団補助費,,,,,,,,,,,,,,,,,,,,,,,,,,,300.000
実業学校費,,,,,,,,,,,,,,,,,,,,,,,,,,"24,018.570",-
工業学校費,,,,,,,,,,,,,,,,,,,,,,,,,,"11,510.200",-
工業補習学校費,,,,,,,,,,,,,,,,1.465.492,"1,993.081","2,762.184","2,842.126","3,101.956","3,781.960","3,763.570","4,741.480","6,826.810","12,458.520","12,508.370","4,367.950"
諸給,,,,,,,,,,,,,,,,"1,106.167","1,256.209","1,623.452","1,775.819","2,086.315","2,605.590","2,384.490","3,058.270","4,468.720","8,378.930",-,"3,720.720"
需用費,,,,,,,,,,,,,,,,359.325,659.765,947.705,"1,036.637",995.641,"1,156.470","1,369.380","1,668.210","2,343.420","4,051.580",-,647.230
修繕費,,,,,,,,,,,,,,,,,77.107,191.027,29.670,20.000,19.900,9.700,15.000,14.670,28.010,-,-
衛生費,780.540,"1,180.082",437.610,344.865,"4,032.562","1,614.357",10.342.873,"3,684.550","7,836.340","15,015.495","21,095.342","21,266.971","12,226.701",8.141.768,32760.962,"31,848.130","32,194.648","30,154.620","41,788.053","27,881.308","30,223.660","35,611.900","63,467.290","90,076.760","109,416.670","124,237.350","30,242.920"
伝染病予防費,780.540,"1,180.082",437.610,298.240,"2,453.287",897.840,"9,091.350","2,234.215","6,381.062","13,915.155","19,408.604","18,856.470","10,756.615","6,547.750","8,137.363","6,660.000","6,817.020",9.305.765,"20,546.883","7,589.417","9,545.490","11,040.850","19,858.480","36,893.010","41,660.150","32,736.890","3,090.140"
種痘費,,,,46.625,95.340,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
衛生会補助費,,,,,,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,-,-,-,-,-,-,-,-,-,-,-,-,-
市街便所費,,,,,615.325,616.517,551.523,586.255,711.218,158.590,366.738,"1,339.461",590.253,710.818,761.254,567.296,"1,217.960",536.830,"1,063.610",551.170,699.030,681.220,884.160,"1,252.760","1,977.010","1,147.480",373.320
塵捨場費,,,,,97.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
道路下水掃除費,,,,,770.810,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
区医費,,,,,,,600.000,764.080,644.060,841.750,"1,220.000",971.040,779.833,783.200,-,-,-,-,-,-,-,-,-,-,-,-,-
汚物掃除費,,,,,,,,,,,,,,,"23,862.345","24,620.834","24,159.668","20,312.025","20,177.560","19,740.721","19,979.140","23,889.830","42,724.650","51,930.990","65,779.510","87,873.950","26,711.960"
トラホーム予防費,,,,,,,,,,,,,,,,,,,,,,,,,,"2,479.030",67.500
汚物掃除費,,,,,,"5,569.650","14,439.701","14,778.362","16,799.370","16,702.929",16>625.791,"20,273.720","24,650.882","23,984.381",-,-,-,-,-,-,-,-,-,-,-,-,-
掃除監督費,,,,,,,"2,073.209","2,476.323","1,999.945","2,138.462","2,107.045","2,638.203","2,485.707","1,798.430",-,-,-,-,-,-,-,-,-,-,-,-,-
掃除費,,,,,,"5,569.650","12,366.492","12,302.039","14,799.425","14,564.467","14,518.746","17,635.517","22,165.175","22,185.951",-,-,-,-,-,-,-,-,-,-,-,-,-
病院費,"19,620.445","22,011.948","10,926.985","12,543.585","16,683.105","13,764.929","15,622.476","15,482.492",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,594.100"
俸給,"7,052.532","8,194.245","4,454.248","4,498.268","6,755.463","6,255.857","6,250.161","6,026.661",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,831.430"
雑給,"2,434.982","2,519.753","1,073.443","1,648.189","2,457.065","1,273.530",2.104.817,"2,122.300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.000
需用費,"9,646.574","10,514.339","5,086.119","5,969.742","7,205.142","6,020.417","6,814.563",6.955.880,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,527.650"
修繕費,486.357,783.611,313.175,427.386,265.435,215.125,452.935,377.651,-,一,-,-,-,-,-,-,一,一,-,-,-,-,-,-,-,-,235.020
豊川病院費,,,,,,,,,"15,413.958","16,949.500",-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-
俸給,,,,,,,,,"6,144.792","6,452.868",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
雑給,,,,,,,,,2.365.915,3.819.517,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
需用費,,,,,,,,,"6,560.693","6,361.737",一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
修繕費,,,,,,,,,342.558,315.378,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
函館病院費,,,,,,,,,,"26,661.425","63,441.956","28,300.893",-,"58,115.835","78,330.535","85,683.701",-,-,-,-,-,-,-,-,-,-,-
俸給,,,,,,,,,,"6,582.171","13,571.641","6,759.030",-,"15,983.221","19,648.765","21,061.488",-,-,-,-,-,-,-,-,ー,-,-
雑給,,,,,,,,,,"3,526.799","9,838.150","5,155.110",-,"7,297.474","12,122.860","14,092.100",-,-,-,-,一,-,-,-,-,-,-
需用費,,,,,,,,,,"16,193.251","37,332.035","16,154.319",-,"34,337.118","45,759.629","49,020.026",-,-,-,-,-,-,-,-,-,-,-
修繕費,,,,,,,,,,359.204,"2,700.130",232.434,-,498.022,799.281,"1,510.087",-,-,-,-,-,-,-,-,-,-,-
精神病舎費,,,,,,,,,,,,"5,134.881","5,736.043","7,004.218","6,570.230","6,627.736","6,871.364","5,812.455","6,473.565",6.143.972,"6,528.820","7,975.810","12,082.050","11,790.360","16,899.300",10.784.910,-
諸給,,,,,,,,,,,,"1,039.850","1,405.673","1,729.249","1,913.253","1,984.766","1,915.930","1,720.533","1,806.550","1,875.950","1,837.450","2,214.250","2,529.660","3,575.480","4,961.660",4.664.950,-
需用費,,,,,,,,,,,,"3,114.740","4,078.772","4,987.159","4,382.347","4,414.260","4,539.074","3,955.042",4.408.599,"4,002.862","4,304.230","5,293.170","8,177.390","7,419.250","9,962.960","5,711.040",-
修繕費,,,,,,,,,,,,980.291,251.598,287.810,274.630,228.710,416.360,136.880,258.416,265.160,387.140,468.390,"1,375.000",795.630,"1,974.680",408.920,-
警備費,"6,215.326","6,707.039","3,782.449","3,519.530","13,589.517","12,692.312","12,513.564","14,415.458","13,894.785","17,048.119","16,268.380","18,648.699","20,524.719","20,514.940","22,117.605","20,319.506","22,901.715","23,984.140","24,146.011","27,293.251","33,651.260","46,365.620","54,863.240","80,526.910","91,881.830","94,746.490","29,792.340"
火防費,"5,386.033","5,674.720","3,071.596","2,869.000","11,945.017","12,692.312","12,513.564","14,415.458","13,894.785","17,048.119","16,268.380","18,648.699","20,524.719","20,514.940",22.117.605,"20,319.506","22,901.715","23,984.140","24,146.011","27,293.251","33,651.260","46,365.620","54,863.240","80,526.910","91,881.830","94,746.490","29,792.340"
需用費,733.188,817.035,520.500,588.320,"1,407.180",ー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
修繕費,96.105,215.284,190.353,62.210,237.320,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ー,-,-
公園費,355.000,398.215,600.246,166.285,998.272,"1,149.423","1,574.268","1,426.443",617.180,609.193,"2,158,770","1,706.141","1,432.380","1,408.615","1,750.270","2,522.535","1,210.580","1,612.980","1,906.030","1,630.790","1,672.790","1,936.970","2,217.690","3,234.630","6,069.870","4,294.760","3,512.730"
諸費,225.000,298.320,279.676,125.300,534.172,624.883,594.408,647.045,587.355,579.681,834.498,961.981,"1,007.430",853.945,730.340,781.390,722.395,822.220,"1,038.490",897.010,754.370,788.530,"1,043.700","1,530.450","2,044.240","2,071.110","1,414.180"
修繕費,"130,000",99.895,320.570,40.985,464.100,524.540,979.860,779.398,29.825,29.512,"1,324.272",744.160,424.950,554.670,"1,019.930","1,741.145",488.185,790.760,867.540,733.780,918.420,"1,148.440","1,173.990","1,704.180","4,025.630","2,223.650","2,098.550"
水産陳列場費,878.940,983.406,569.877,465.945,"1,140.541",747.208,828.195,742.415,738.756,682.140,865.292,"1,068.820",917.888,817.928,750.725,"1,014.076",795.140,671.983,685.636,773.520,724.400,976.090,0.000,0.000,ー,-,-
諸費,782.830,831.780,459.678,419.245,918.821,643.538,691.619,668.570,698.660,662.140,731.852,713.250,726.150,704.940,724.005,782.911,759.440,622.543,659.536,711.480,705.050,947.880,-,-,-,-,-
修繕費,96.110,151.626,110.199,46.700,221.720,103.670,136.576,73.845,40.096,20.000,133.440,355.570,191.738,112.988,26.720,231.165,35.700,49.440,26.100,62.040,19.350,28.210,-,-,-,-,-
勧業費,,,,,,,,,,,,,,,,,,,,,,0.000,"1,230.910","1,836.220","2,558.940","2,399.690",858.520
