,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和51,昭和52,昭和53,昭和54,昭和55
衛生費補助金,,"1,650,000",-,-,"40,403","368,934","879,459","550,365","18,119,657","95,013,514","63,098,961","3,625,818","3,090,382","4,741,359","5,385,768","5,945,796"
消防費補助金,"2,380,000","2,310,000","610,000","920,000","1,270,000","5,960,000","1,400,000","2,770,000","650,000","2,060,000","11,860,000","2,290,000","4,120,000","10,305,000","6,434,000","11,598,000"
災害復旧費補助金,,,"6,123,000",-,"3,126,000","1,270,000",-,-,"1,385,000",-,-,-,-,-,-,-
災害対策費補助金,,,,,,,,,"145,666","442,333",-,-,-,-,-,-
委託金,"6,460,308","17,192,318","16,863,726","12,467,996","・22,475,974","23,727,126","29,417,723","30,099,706","38,227,869","39,896,158","79,915,938","103,899,284","116,657,939","104,152,680","139,569,026","237,468,969"
総務費委託金,"1,374,979","9,872,807","8,056,219","1,552,612","9,418,778","10,173,229","12,254,542","9,976,385","14,597,703","7,450,698","26,323,701","31,999,430","32,572,094","17,968,860","48,796,965","134,053,532"
民生費委託金,"5,065,329","7,299,511","8,787,507","10,895,384","12,879,646","13,416.136","16,972,236","19,939,721","23,478,926","32,167,545","53,217,537","71,618,195","83,681,057","85,785,466","90,334,831","102,685,471"
衛生費委託金,,,,,"157,550","117,761","170,945","163,600","131,240","257,915","348,200","238,659","351,788","338,354","371,230","668,966"
土木費委託金,"20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","26,500","43,000","53,000","60,000","66,000","61,000"
道支出金,"59,147,663","88,405,744","106,483,013","150,868,149","188,497,921","203,130,308","251,565,496","290,143,208","452,998,124","573,748,765","892,640,063","1,023,754,959","1,069,241,426","1,265,896,313","1,589,969,885","1,659,396,546"
道負担金,"15,044,789","19,860,972","20,518,650","26,816,316","31,172,339","42,242,467","65,687,909","74,359,240","82,699,366","196,958,348","306,850,326","406,335,735","464,986,260","508,467,754","535,959,394","579,490,820"
民生費負担金,"12,125,646","14,883,334","15,901,154","20,139,818","25,034,459","34,529,454","59,661,995","66,705,185","76,223,423","186,288,864","266,299,324","389,259,149","449,351,021","489,773,556","518,099,491","560,132,389"
衛生費負担金,"1,997,388","4,097,559","3,464,713","4,967.313","2,406,300","3,555,625","1,644,167","2,937,650","1,166,559","2,109,954","2,241,528","1,762,163","1,487,693","2,800,216","2,422,898","2,882,833"
教育費負担金,,,,,"1,951,679","1,955,388","1,672,547","1,547,405","2,000,384","2,669,530","28,763,774","3,207,423","2,621,546","3,066,982","3,302,005","3,491,598"
労働費負担金,"140,000","152,000","171,000","273,000",-,-,-,-,-,-,-,-,-,-,-,-
農林水産費負担金,"781,755","728,079","981,783","1,436,185","1,779,901","2,202,000","2,709,200","3,169,000","3,309,000","5,890,000","9,545,700","12,107,000","11,526,000","12,827,000","12,135,000","12,984,000"
道補助金,"12,554,949","28,922,686","30,330,609","59,522,558","85,254,498","85,315,081","89,525,609","104,119,746","248,271,400","201,328,427","341,126,284","282,198,994","234,152,188","327,852,364","588,126,801","613,840,950"
土木費補助金,"2,043,000","8,234,000","13,030,250","13,389,019","10,480,500","8,518,000","23,080,625","24,881,500","6,757,344","24,874,741","20,355,604","5,478,354","6,630,256","4,844,250","25,272,500","6,897,250"
総務費補助金,"115,000","84,250",一,"1,329,403","3,365,847","11,612,801","5,024,423","5,445,511","4,254,206","6,785,152","6,819,987","5,778,456","5,786,083","5,547,016","6,403,421","5,958,293"
教育費補助金,"2,000,000",-,"160,000","360,000","13,900,000","3,043,942","3,964,260","12,228,233","11,451,950","9,378,860","71,892,250","10,277.610","19,085577","15,644,205","43,152,631","35,422,500"
衛生費補助金,"363,844","326,555","264,161","383,310","842,961","917,180","773,542","797,872","579,130","1,254,413","3,036,306","4,868,404","19,576,306","36,304,866","29,822,500","64,700,437"
労働費補助金,,,,,"415,000","437,000","424,000","5,849.000","6,679,000","1,235,000","1,510,000","1,268,000","1.236,725","1,403,000","32,860,000","826,200"
農林水産費補助金,"5,532,674","8,998,955","11,868,013","27,120,057","43,292,904","51,473,666","45,399,651","30,092,278","32,217,682","50,410,276","69,717,418","69,550,670","14,902,468","39,804,801","127,707,330","137,438,541"
民生費補助金,"2,477,814","11,255,448","4,985,640","16,917,898","12,940,519","9,292,192","8,859,108","24,825,352","174,278,118","74,038,932","163,573,488","150,535,148","166,934,573","222,223,226","311,001,419","360,∠190,729"
消防費補助金,,,,,,,,,,,,,,"2,081,000","11,607,000","2,107,000"
商工費補助金,"22,617","23,478","22,545","22,871","16,767","20,300","2,000,000",-,-,"12,600,000",-,-,-,-,"300,000",-
災害復旧費補助金,,,,,,,,,"11,908,304","20,308,720","4,221,231","34,442,352",-,-,-,-
災害対策費補助金,,,,,,,,,"145,666","442,333",-,-,-,-,-,-
道委託金,"31,547,925","39,622,086","55,633,754","64,529,275","72,071,084","75,572,760","96,351,978","111,664,222","122,027,358","175,461,990","244,663,453","335,220,230","370,102,978","429,576,195","465,883,690","466,064,776"
総務費委託金,"18,863,247","23,747,249","29,644,963","35,934,435","35,830,953","35,668,675","45,481,119","56,163,000","59,093,570","80,676,922","116,128,735","160,366,871","183,906,400","224,325,761","252,855,700","263,276,810"
民生費委託金,"12,344,678","14,146,237","24,567,934","27,482.525","33,958.131","38,006,243","48,943,353","53,465,316","60,885,564","91,296,629","125,109,737","169,954,185","182,179,985","197,545,494","205,580,444","194,673,980"
衛生費委託金,,,"71,857","46,315",-,-,-,一,-,"129,520","61,000","60,000","60,000","60,000","61,000","60,000"
土木費委託金,,"1,199,600","704,000",912.000,"2,274,000","563,000","1,702,000","1,918,160","1,902,360","3,135,100","2,920,208","4,211,300","3.582,262","3,324.867","3,515.412","3,875,800"
商工費委託金,,,,,,,,,,,,,,,,"2,500,000"
農林水産費委託金,"340,000","529,000","645,000","154,000","8,000","1,334,842","225,506","117,746","145,864","223,819","443,773","627,874","374,331","4,320,073","3,871,134","1,678,186"
財産収入,"37,082,924","45,198,441","74,667,273","68,015,317","111,520,062","129,088,718","169,865,381","257,336,753","385,920,567","403,621,727","678,179,143","858,158,374","408,979,237","1,133,787,638","1,315,959,925","1,906,461,512"
財産運用収入,"8,675,951","10,482,486","10,376,386","16,299,296","17,716,226","18,785,599","24,567,665","28,179,523","26,658,233","32,429,318","57,167,089","70,751,977","78,714,278","74,821,756","151,668,713","329,234,148"
財産貸付収入,"6,575,961","6,636,134","8,849,555","9,928,319","9,896,260","10,337,134","12,983,917","16,686,027","20,254,206","25,143,832","29,753,240","35,589,238","38,297,877","50,262,538","72,387,158","78,538,951"
投資及び出資金収入,"2,099,990","3,846,352","1,526,831","2,227,032","1,658,559","1,566.179","4,260,237","2,981,284","4,354,375","3,487,171","5,450,255","4,062,854","4,174,799","5,074,103","2,663,987","2,385,990"
積立金収入　昭和40ｮﾘ積立基金運用,,,,"4,143,945","6,161,407","6,882,286","7.323,511","8,512,212","2,049,652","3,798,315","21,963,594","31,099,885","36,241,602","19,485,115","76,617,568","248,309,207"
財産売払収入,"28,406,973","34,715,955","64,290,887","51,716,021","93,803,836","110,303,119","145.297,716","229,157,230","359,262,334","371,192,409","621,012,054","787,406,397","330,264,959","1,058,965,882","1,164,291,212","1,577,227,364"
不動産売払収入,"28,080,865","33,854,651","62,333,315","50,598,351","92,459,975","108,283,060","142,722,704","228,049,735","337,678,966","353,788,013","598,631,037","778,352,496","318,985,521","1,055,542,408","1,160,534,042","1,565,853,095"
物品売払収入,"326,108","861,304","1,957,572","1,117,670","1,343,861","2,020,059","2,575,012","1,107,495","21,583,368","3,156,645","5,054,361","9,053,901","11,279,438","3,423,474","3,757,170","11,374,269"
債券売払収入,,,,,,,,,,"14,247,751","17,326,656",-,-,-,-,-
繰入金,,,,,"18,947,600","96,363,000","27,882,702","38,000,000","1,500,000","3,000,000","270,000,000","106,674,576","25,600,000","400,308,482","9,446,000","442,184,565"
基本繰入金,,,,,"18,947,600","96,363,000","27,882,702","38,000,000","1,500,000","3,000,000","270,000,000","106,674,576","25,600,000","400,308,482","9,446,000","442,184,565"
市民会館建設基金繰入金,,,,,"17.447,600","96,363,000","5,882,702",-,-,一,-,-,-,-,-,-
財政調整基金繰入金,,,,,,,"20,000,000","38,000,000",-,-,"270,000,000",-,-,"400,000,000",０,０
庁舎建設基金繰入金,,,,,,,,,,,,"54.931,040","11,200,000",-,-,"442,184,565"
亀田支所庁舎建設基金繰入金,,,,,,,,,,,,,"5,100,000","308,482",-,-
大森町有財産繰入金,,,,,,,,,,,,"51,743,536","9,300,000",０,"9,446,000",-
公益質屋基金繰入金,,,,,"1,500,000",-,"2,000,000",-,"1,500,000","3,000,000",-,-,-,一,-,-
寄付金,"10,772,850","3,069,100","12,447,074","4,118,540","39,891,120","37,859,991","71,747,000","17,994,250","59,617,623","126,871.048","253,977,433","112,211,098","144,750,001","174,078,500","126,698,000","190,430,100"
寄付金,"10,772,850","3,069,100","12,447,074","4,118,540","39,891,120","37,859,991","71,747,000","17,994,250","59,617,623","126,871,048","253,977,433","112,211,098","144,750.001","174,078,500","126,698,000","190,430,100"
寄付金（一般及び指定）,"10,772,850","3,069,100","12,447,074","4,118,540","39,891,120","37,859,991","71,747,000","17,994,250","59,617,623","126,871,048","253,977,433","112.211,098","144,750,001","174,078.500","126,698,000","190,430,100"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
