,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54
炭酸製造事業費,"8,027,094","10,862,737","11,402,661","12,385,655","18,603,420","17,156,466","23,116,868","32,820,420","39,309,492",-,-,-,-
営業費用,"8,027,094","10,862,737","11,402,661","12,385,655","18,603,420","17,156,466","20,851,893","29,376,712","35,479,492",-,-,-,-
営業外費用,,,,,,,"2,264,975","3,443,708","3,830,000",-,-,-,-
熱帯植物園事業費,,,,"8,547,562","16,331,924","14,369,978","15,802,357","18,071,978","22,749,214",-,-,-,-
営業費用,,,,"3,455,972","11,932,311","10,675,709","12,806,236","15,775,031","21,148,356",-,-,-,-
営業外費用,,,,"5,091,590","4,399,613","3,694,269","2,996,121","2,296,947","1,600,858",-,-,-,-
合計,"44,964,491","47,366,190","54,590,677","72,513,949","99,291,897","98,545,574","114,873,685","140,158,758","167,399,441","208,892,213","208,915,862","220,289,809","223,460,647"
期間外費用,,,"17,000",０,０,"42,313",０,０,-,０,-,-,-
総　計,"44,964,491","47,366,190","54,607,677","72,513,949","99,291,897","98,587,887","114,873,685","140,158,758","167,399,441","208,892,213","208,915,862","220,289,809","223,460,647"
収支（収益一費用）,"10,473,272","15,847,565","12,170,881","8,181,938","△9,793,285","△3,412,023","△11,210.798","△6,435,266","8,118,608","13,638,342","21,608,583","2,342,161","5,795,595"
期間外収支,,,"△17,000","3,395,621","2,710,978","4,677,916","1,816,504","74,838",０,"63,827",-,-,-
資本的収入,,,,,,,,,,,,,
温泉供給事業収入靹51ｮﾘ資本的収入,,,"70,000,000","575,257","480,002","734,851","1,466,996",-,-,"10,328",-,"58,448",-
固定資産売却代金,,,,"575,257","480,002","734,851","323,496",-,-,"10,328",-,"58,448",-
企業債,,,"70,000,000",-,-,-,-,-,-,-,-,-,-
その他資本的収入,,,,,,,"1,143,500",-,-,-,-,-,-
公衆浴場事業収入,,,,,,"1,000",-,-,-,-,-,-,-
その他資本的収入,,,,,,"1,000",-,-,-,-,-,-,-
計,,,"70,000,000","575,257","480,002","735,851","1,466,996",-,-,"10,328",-,"58,448",-
資本的支出,,,,,,,,,,,,,
温泉供給事業支出聆51ｮﾘ資本的支出,"4,309,017","3,925,277","34,409,507","66,700,352","12,274,383","27.142,234","15,421,159","33,136,381","12,470,868","24,376,182","45,451,546","32,394,877","133,196,237"
建設改良費,"4,309,017","3,925,277","34,409,507","66,700,352","12,274,383","27,142,234",15.421.159,"30,405,231","12,470,868","15,072,612","40,576,546","32,394,877","133,196,237"
企業債償還金,,,,,,,,,,"9,303.570","4,875,000",-,-
試験研究費,,,,,,,,"2,731,150",-,-,-,-,-
公衆浴場事業支出,"4,455,905","10,695,078","335,901","857,500","1,127,000","8,895,126","27,120,960","13,639,343","8,611,942",-,-,-,-
建設改良費,"4,455,905","5,573,376","325,573","857,500","1,127,000","8,895,126","27,120,960","13,639,343","8,611,942",-,-,-,-
投資,,,"10,328",-,-,-,-,-,-,-,-,-,-
退職給与金,,"5,121,702",-,-,-,-,-,一,-,-,-,-,-
炭酸製造事業支出,"1,599,500","4,194,550","8,240,605","3,767,327","46,228,674","2,469,000","1,964,000","1,155,500","1.534,910",-,-,-,-
建設改良費,"1,599,500","4,194,550","8,240,605","3,767,327","46,228,674","2,469,000","1,964,000","1,155,500","1,534,910",-,-,-,-
熱帯植物園事業支出,,,,"17,300,971","29,696,569","11,031,170","12,036,654","9,463,040","9,303,570",-,-,-,-
建設改良費,,,,"7,997,391","20,392,999","1,727,600","2,733,084","159,470",-,-,-,-,-
企業債償還金,,,,"9,303,580","9,303,570","9.303,570","9,303,570","9,303,570","9,303,570",-,-,-,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
