,昭和３,昭和４,昭和５,昭和６,昭和７,昭和８,昭和９,昭和10,昭和11,昭和12,昭和13,昭和14,昭和15,昭和16,昭和17,昭和18,昭和19,昭和20,昭和21,昭和22
公債費,"1,605.690","5,657.140","5,657.140","5,657.140","5,571.160","5,374.700","5,395.340","5,416.980","5,299.650","5,269.74","5,319.62","5,371.93","5,426.77","5,484.28","5,544.59","5,607.75",-,-,借入金利二,"－　　2,034.42"
公債償還,"1,605.690","5,657.140",5.657.140,"5,657.140","5,571.160","5,374.700","5,395.340","5,416.980","5,299.650","5,269.74","5,319.62","5,371.93","5,426.77","5,484.28","5,544.59","5,607.75",-,-,借入金1,"4子　2,034.42"
財産費,0.000,36.000,36.000,27.000,25.200,41.630,0.000,109.720,184.800,184.80,172.20,164.85,163.33,138.19,138.60,176.40,190.05,157.70,99.60,100.80
管理費,"0,000",36.000,36.000,27.000,25.200,41.630,0.000,109.720,184.800,184.80,172.20,164.85,163.33,138.19,138.60,176.40,190.05,157.70,99.60,100.80
建築費,"10,901.840",-,-,-,-,-,"18,729.230","2,708.710",-,-,-,-,-,-,-,-,-,-,-,-
建築費,"10,901.840",-,-,-,-,-,"18,729.230","2,708.710",-,-,-,-,-,-,-,-,-,-,-,-
繰越金,"38,358.700",22.114.770,"11,741.670","6,250.860","10,702.030",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
運転資金繰越金,"38,358.700",22.114.770,"11,741.670","6,250.860","10,702.030",-,一,-,-,-,-,-,-,-,-,-,-,-,-,-
運転資金繰入金,,,,,,,0.000,"30,000.000",-,-,-,-,-,-,-,-,-,-,-,-
運転資金繰入金,,,,,,,0.000,"30,000.000",-,-,-,-,-,-,-,-,一,-,-,-
雑支出,,,,,,,,17.380,-,-,-,-,-,-,-,-,-,-,-,-
雑支出,,,,,,,,17.380,-,-,-,-,-,-,-,-,-,-,-,-
合　計,"73,988.550
　　　　0.000","97,906.770
　　　0.000","95,004.210
　　　0.000","88,794.590
　　　0.000","88,017.970
　　　　0.000","7,488.390
　　　0.000","24,124.570
　　　0.000","40,283.580
　　　0.000","7,785.560
　　　0.000","7,813.59
　　　0.00","8,152.52
　　　0.00","8,606.18
　　0.00","9,133.48
　　　0.00","9,687.75
　　　0.00","10,741.24
　　848.61","11,238.02
　　　0.00","6,095.14
1,179.33","9,751.82
　　0.00","34,131.81
　　493.80","136,823.28
　　　0.00"
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
