,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和51,昭和52,昭和53,昭和54,昭和55
旧亀田市歳計現金受入金,,,,,,,,,,"44,787,303",一,-,-,-,-,-
雑入,"171,056","96,759","126,540","769,255","1,348,343","2,734,690","8,259,997","10,946,340","9,014,792","13,015,033","6,893,205","5,611,305","12,462,012","17,763,562","26,546,179","31,889,690"
歳入合計,"317,041,752","403,930,211","478,932,253","661,273,925","838,709,076","1,021.749,507","1,240,530,471","1,438,795,386","1,815,493,715","2,370,090,285","3,753,735,273","4,986,136,961","5,707,948,995","7,324,470,373","8,415,240,363","9,601,483,857"
歳出の部,,,,,,,,,,,,,,,,
総務費,"33,390,498","37,540,892","43,646,358","60,268,800","62,842,701","69,421,600","78,725,368","87,296,711","95,361,202","115,092,879","177,879,658","233,161,940","66,705,843","76,373,867","79,321,303","90,293,155"
総務管理費,"33,390,498","37,540,892","36,634,879","46,786,829","51.918,995","52,154,312","60,943,343","66,757,623","71,333,069","85,761,048","135,908,179","179,570,983","12,191,981","13,888,677","13,917.555","14,693,491"
一般管理費,"29,393,381","32,974,807","35,646,610","45,637,400","50,637,157","50,922,806","59,668,450","65,077,208","69,698,505","83,523,697","133,198,358","176,214,448","8,442,994","9,863,697","9,892,851","10,177,672"
納税奨励費,"3,985,967","4,535,605",徴税費の中へ,,,,,,,,,,,,,
運営協議会費,"11,150","30,480","84,660","129,315","175,360","133,255","203,088","226,859","97,390","284,306","285,695","228,956","224,060","392,185","350,830","314,150"
連合会負担金,,,"563,078","630,895","813,493","802,718","786,006","1,043,218","1,044,529","1,314,297","1,675,983","2,568,275","2,866,903","3,036,296","3,055,884","3,120,443"
趣旨普及費,,,"340,531","389,219","292,985","295,533","285,799","410,338","492,645","638,748","748,143","559,304","658,024","596,499","617,990","1,081,226"
徴税費,,,"7,011,479","13,481,971","10,923,706","17,267,288","17,782,025","20,539,088","24,028,133","29,331,831","41,971,479","53,590,957","54,513,862","62,485,190","65,403,748","75,599,664"
賦課徴収費,,,"2,169,503","6,093,748","3,152,221","6,150,117","5.476,429","6,645,124","8,266,168","10,790,155","15,986,050","25,081,646","21,694,807","27,482,032","27,406,192","31,073,342"
納税奨励費,,,"4,841,976","7,388,223","7,771,485","11,117,171","12.305,596","13,893,964","15,761,965","18,541,676","25,985,429","28,509,311","32,819,055","35,003,158","37,997,556","44.526,322"
保険給付費,"279,016,997","334,599,358","∠114,045,271","593.536,196","764,830,802","876,722,233","1,003,178.620","1,151,009,724","1,543,319,679","2,048,861,771","3,226,421,260","4,700,974,066","5,664,485,356","6,895,388.360","8,021,568,624","9,019,841,660"
療養諸費,"276,663,997","332,149,358","411,571,271","590,654,196","761,674,802","873,866,233","997,415,620","1,142,354,724","1,531,773,679","2,034,879,771","3,118,181,369","4,371,479,058","5,236,893,764","6,288,926,440","7,264,671,435","8,157,852,501"
療養給付費,"272,607,189","327,593,103","406,412,066","584,846,816","753,377,023","864,694,892","988,228,471","1,131,401,438","1,516,553,146","2,015,751,325","3,087,090,432","4,322,871,762","5,178,984,818","6,228,739,256","7,191,850,876","8,074,734,654"
療養費,"2,230,848","2,643,170","3,126,324","3,422,000","4,787,781","5,535,923","5,567,440","5,861,691","9,791,745","11,183,436","21,281,534","30,064,694","35,644,473","35,957,095","47,454,372","55,937,406"
審査支払委託費,"1,825,960","1,913,085","2,032,881","2,385,380","3,509,998","3,635,418","3,619,709","5,091,595","5,428,788","7,945,010","9,809,403","18,542,602","22,264,473","24,230,089","25,366,187","27,180,441"
高額療養費,,,,,,,,,,,"88,222,596","287,314,474","372,751,048","542,591,359","687,477,332","797,113,572"
高額療養費,,,,,,,,,,,"88,222,596","287,314,474","372,751,048","542,591,359","687,477,332","797,113,572"
助産費,"1,305,000","1,414,000","1,416,000","1,710,000","2,036,000","1,794,000","4,657,000","7,605,000","9,955,000","11,230,000","13,070,000","34,010,000","46,980,000","55,330,000","61,320,000","56,100,000"
助産費,"1,305,000","1,414,000","1,416,000","1,710,000","2,036,000","1,794,000","4,657,000","7,605,000","9,955,000","11,230,000","13,070,000","34,010,000","46,980,000","55,330,000","61,320,000","56,100,000"
葬祭費,"1,048,000","1,036,000","1,058,000","1,172,000","1,120,000","1,062,000","1,106,000","1,050,000","1,591,000","2,752,000","6,641,000","7,770,000","7,370,000","8,110,000","7,600,000","8,110,000"
葬祭費,"1,048,000","1,036,000","1,058,000","1,172,000","1,120,000","1,062,000","1.106,000","1,050,000","1,591,000","2,752,000","6,641,000","7,770,000","7,370,000","8,110,000","7,600,000","8,110,000"
精神病療養費,,,,,,,,,,,"306,295","400,534","490,544","430,561","499,857","665,587"
精神病療養費,,,,,,,,,,,"306,295","400,534","490,544","430,561","499,857","665,587"
保健施設費,"3,641,499","3,993,647","6,128,766","7,233,348","8,413,137","12,038,846","14,127,721","16,995,723","20,409,255","23,922,867","32,982,566","25,836,955","1,723,825",-,-,-
保健施設費,"3,641,499","3,993,647","6,128766","7,233,348","8,413,137","12,038,846","14,127,721","16,995.723","20,409,255","23,922,867","32,982,566","25,836,955","1,723,825",-,-,-
保健婦設置費,"3,232,240","3,733,746","5,041,517","6,703,313","7,596,688","11,214,934","13,255.319","16,117,481","18,717,891","22,693,113","31,585,316","24,335,450",-,-,-,-
保健指導費,"409,259","259,901","1,087,249","530,035","816,449","823,912","872,402","878,242","1,691,364","1,229,754","1,397,250","1,501,505","1,723,825",一,-,-
諸支出金,"992,758","818,794","845,934","235,581","354,390","754,100","1,560,550","1,005,020","839,050","1,869,720","8,122,763","2,187,800","5,347,352","14,975,367","33,501,569","20,600,564"
保険税還付金,"389,190","187,120","56,340","227,570","354,390",-,-,-,-,-,-,-,-,-,-,-
償還金,,"7,857","177,227","8,011",-,-,-,-,-,-,-,-,-,-,-,-
診療報酬支払基金積立金,"603,568",623.817,"612,367",-,-,-,-,-,-,-,-,-,-,-,-,-
過年度支出金,,,,,,"754,100","1,560,550","1,005,020","839,050","1,869,720","8,122,763","2,187,800","5,347,352","14,975,367","33,501,569","20,600,564"
職員費,,,,,,,,,,,,,"213,741,524","200,199,663","216,433,443","228,286,617"
一般部局職員費,,,,,,,,,,,,,"213,741,524","200,199,663","216.433,443","228,286,617"
繰上充用金,,,,,,,,,,,,,,"244,054,905","106,521,789","42,106,365"
繰上充用金,,,,,,,,,,,,,,"244,054,905","106,521,789","42,106,365"
歳出合計,"317,041,752","376,952,691","464,666,329","661,273,925","836,441,030","958,936,779","1,097,592,259","1,256,307,178","1,659,929,186","2,189,747,237","3,445,406,247","4,962,160,761","5,952,003,900","7,430,992,162","8,457,346,728","9,401,128,361"
差引（歳入一歳出）,０,"26,977,520","14,265,924",０,"2,268,046","62,812,728","142,938,212","182,488,208","155,564,529","180,343,048","308,329,026","23,976,200","△244,054,905","△106,521,789","△42,106,365","200.355,496"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
