,明治40,明治41,明治42,明治43,明治44,大正元,大正２,大正３,大正４,大正５,大正６,大正７,大正８,大正９,大正10,大正12,大正13,大正14,昭和元,昭和２,昭和３,昭和４,昭和５,昭和６,昭和７,昭和８,昭和９,昭和10,昭和11,昭和12
一般会計より補充金,,,,,,,,,,,,"36,860.470",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
一般会計より補充金,,,,,,,,,,,,"36,860.470",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本財産支消金,,,,,,,,,,"2,699.000",-,"7,800.000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本財産支消金,,,,,,,,,,"2,699.000",-,"7,800,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
区引継金,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
合　計,"229,524.592","34,063.345","20,876.159","20,186.932","16,315.177",729.085,"2,880.211",577.125,"4,213.555","15,541.930","3,250.120","45,018.310","1,721.510",3.528.320,"1,663.170",210.730,176.490,"1,454.810",140.910,712.680,172.670,100.720,610.840,963.420,434.780,412.780,"1,741.020",611.320,51.050,"1,158.520"
歳出の部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓄積金,"147,547.496","12,253.399","4,595.468","5,403.932","2,518.697",627.000,"2,880.211",577.125,"3,805.000","1,357.930",594.000,-,"1,721.510",450.000,490.000,210.730,176.490,"1,454.810",140.910,712.680,172.670,-,-,-,-,-,-,-,-,-
基本財産蓄積金,"147,547.496","12,253.399","4,595.468","5,403.932","2,518.697",627.000,"2,880.211",577.125,"3,805,000","1,357.930",594.000,-,"1,721.510",450.000,490.000,210.730,176.490,1.454.810,140.910,712.680,172.670,-,-,-,-,-,-,-,-,-
繰入金,81.977.096,"21,809.946","16,280.691","14,783.000",13.796.480,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-
一般会計繰入金,"81,977.096","21,809.946","16,280.691","14,783.000","13,796.480",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
財産造成費,,,,,,,,,,"12,060.890",549.430,"44,659.510",-,-,-,-,-,-,-,-,-,100.720,610.840,963.420,434.780,412.780,"1,741.020",611.320,51.050,"1,158.520"
財産造成費,,,,,,,,,,"12,060.890",549.430,"44,659.510",-,-,-,-,-,-,-,-,-,"100,720",610.840,963.420,434.780,412.780,"1,741.020",611.320,51.050,"1,158.520"
合　計,"229,524.592","34,063.345","20,876.159","20,186.932","16,315.177",627.000,"2,880.211",577.125,"3,805.000","13,418.820","1,143.430","44,659.510",1.721.510,450.000,490.000,210.730,176.490,"1,454.810",140.910,712.680,172.670,100.720,610.840,963.420,434.780,412.780,"1,741.020",611.320,51.050,"1,158.520"
差引（歳入一歳出）,０,０,０,０,０,102.085,０,０,408.555,2123.11,2106.69,358.8,０,3078.32,1173.17,０,０,０,０,０,０,０,０,０,０,０,０,０,０,０
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
