,明治30,明　治　31,明治32.4-32.9,明治32.10-33.3,明　治　33,明　治　34,明治35,明治36,明　治　37,明　治　38,明　治　39,明　治　40,明治43,明　治　44,大　正　元,大　正　２,大　正　３,大　正　４,大　正　５,大　正　６,大　正　７,大　正　８,大　正　９,大　正　10
公債費,,,,"26,966.789","67,833.507","130,879.527","124,158.549","114,986.865","46,116.557","44,563.529","43,010.557","41,457.499","30,274.189","77,114.000","76,362.016","78,388.602","103,560.617","116,120.000","115,045.000","490,367.360","29,880.000","37,681.810","110,058.320","205,083.670"
区債,,,,,,,,,,,,,"11,930.081","77,114.000","74,520.000","71,820.000","69,120.000","116,120.000","115,045.000","490,367.360","29,880.000","37,681.810","110,058.320","205,083.670"
新公債費,,,,,,,,,,,,,"25,707.782",-,-,-,-,-,-,-,-,-,-,-
函館港改良工事費公債費,,,,"16,542.400","40,065.700","104,105.748","98,378.742",90.201.086,"22,324.750","21,765.750","21,206.750",20.647.750,"67,656.782",-,-,-,-,-,-,-,-,-,-,-
水道起業費公借金,,,,"3,664.389","8,868.807","8,483.779","8,098.807","7,713.779",7.328.807,6.943.779,"6,558.807","6,173.749",-,一,-,-,-,-,-,-,ー,-,-,-
水道壥設費公借金,,,,"6,760.000","18,899.000","18,290.000","17,681.000","17,072.000","16,463.000","15,854.000",15.245.000,14.636.000,"63,388.271",-,-,-,-,-,-,-,-,-,-,-
臨時事業費公借金,,,,,,,,,,,,,"61,591.273",-,-,-,-,-,-,-,-,-,-,-
臨時事業費第二回区債,,,,,,,,,,,,,,,"1,842.016","6,568.602","30,817.500",-,-,-,-,-,-,-
臨時事業費第Ｅ回区債,,,,,,,,,,,,,,,,,"3,623.117",-,-,-,-,-,-,-
寄付金,,,,,,,,,,,,,,,"25,000.000","37,480.000",-,-,-,-,-,-,-,-
寄付金,,,,,,,,,,,,,,,"25,000.000","37,480.000",-,-,-,-,-,-,-,-
精神病舎費,,,,,,,,,,,,,"1,255.833",-,199.000,436.500,-,-,-,-,-,一,-,-
増改築費,,,,,,,,,,,,,"1,255.833",-,199.000,436.500,-,-,-,-,-,-,-,-
水道諸費,"1,802.769","1,847.899",750.536,50.800,269.680,719.897,"2,234.060","2,521.900","2,320.490","3,352.226","4,983.834","4,462.978",-,"2,971.943","2,167.650","1,378.000","3,630.761","3,959.330","9,044.260","4,738.600","10,616.860","17,307.160","7,161.950","3,760.500"
水道延長費,,,,,,,,,,,"3,159.360","4,462.978",-,-,-,-,-,-,-,-,-,475.720,-,-
需用費,,,,,,,"1,395.690","1,170.700","1,359.300","2,301.900","1,323.700",-,-,-,-,-,-,-,-,-,-,-,-,-
新営及修繕（工事）費,"1,802.769","1,847.899",750.536,50.800,,719.897,553.000,"1,351.200",961.190,"1,050.326",500.774,-,-,"2,971.943",757.760,832.000,"1,270.161","1,646.295","3,521.010",-,4.749.730,"16,831.440","2,531.600","1,135.500"
水道拡張調査費,,,,,,,,,,,,,,,"1,409.890",546.000,-,696.785,"4,077.750",-,ー,-,-,-
災害復旧費,,,,,,,,,,,,,,,,,,,,,"1,286.230",0.000,-,-
量水器試験室設備費,,,,,,,,,,,,,,,,,,,,"1,048.600",348.750,0.000,-,-
量水器購入費,,,,,,,,,,,,,,,,,"2,360.600","1,616.250","1,445.500","3,690.000",4.232.150,0.000,"4,630.350","2,625.000"
備品費,,,,,98.680,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
電話修繕費,,,,,171.000,-,285.37,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-
水道分水工事品費,,,5.224.025,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
水道分水工事品費,,,5.224.025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
若松町水面埋立補充費,,,"11,973.384",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
若松町水面埋立補充費,,,"11,973.384",-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
土木費,,,,,,,"1,930.235","7,317.359","19,447.701",616.131,"9,488.825",582.420,"12,421.420",-,"13,593.793","80,955.607","89,382.033","12,645.642","8,762.450","9,111.520","50,333.200","15,188.950",45.150.050,"49,520.840"
下水道築造費,,,,,,,,,,,,,"1,239.942",-,"13,294.743","35,929.150","15,014.396",-,-,-,一,-,-,-
道路下水調査費,,,,,,,"1,930.235",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
非常用水道費,,,,,,,,,,,,,,,299.05,18.875.737,"46,725.874",9.348.132,-,-,-,-,-,-
"亀田|日水道改修費
焼跡道路復旧費",,,,,,,,,,,,,,,,,,"2,652.360","3,664.050",-,"3,984.820",0.000,-,-
遊園地費,,,,,,,,,,,,,,,,,,,"5,000.000",-,"1,831.800",0.000,-,-
海底浚渫費,,,,,,,,,,,,,,,,,,,98.400,-,-,-,-,-
道路及側溝改築費,,,,,,,,,,,,,,,,,,,,"5,619.220","10,079.090",0.000,-,-
道路拡張及修繕費,,,,,,,,"7,317.359","19,447.701",616.131,"9,488.825",582.420,,,,,,,,,"26,882.880","15,188.950",9.242.490,"49,520.840"
蒸気輾圧機購入費,,,,,,,,,,,,,"11,181.478",-,-,26.150.720,27.641.763,645.150,-,"3,492.300","7,554.610",0.000,"20,410.610",-
焼跡道路改修費,,,,,"30,045.239","42,505.511","9,079.910","4,781.320",-,-,-,-,,,,,,,,,,,"15,496.950",-
焼跡道路改修費,,,,,"30,045.239","42,505.511","9,079.910","4,781.320",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
借入金返還,,,,,"15,683.991",-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
区費借入金返還,,,,,"15,683.991",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
道路下水改修調査費,,,,,417.290,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
道路下水改修調査費,,,,,417.290,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
水害地臨時清潔法施行費,,"1,790.900",-,-,-,-,-,-,-,一,-,-,-,-,一,-,-,一,-,-,-,-,-,-
水害地臨時清潔法施行費,,"1,790.900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
土地買収費,,672.000,-,-,-,-,-,-,-,-,-,-,-,8715.547,56.586,-,-,-,-,一,-,-,,
水害地排水費,,340.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
水害地排水費,,340.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
仮徴収償還,,,,439.643,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
仮徴収償還,,,,439.643,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
警備費,740.900,84.160,697.230,-,147､050,-,-,-,45.810,-,"1,148.650",499.530,-,787.270,"1,036.920","4,859.320","5,343.890",16.645.710,"14,509.440",38.138.850,65.326.900,34.266.000,,
火防費,740.900,84.160,697.230,-,147.050,-,-,-,45.810,-,"1,148.650",499.530,-,787.270,"1,036.920","4,859.320","5,343.890","16,645.710",14.509.440,38.138.850,65.326.900,34.266.000,,
衛生費,,,,,469.370,-,-,-,"2,541.975","1,462.650",一,-,905.000,-,"4,020.630",-,"24,394.450","3,000.000",-,-,"14,498.390","1,338.800",,
伝染病予防（病院）費,,,,,,,,,"2,541.975","1,462.650",-,-,365.000,-,-,-,-,-,-,一,-,-,,
伝染病研究費,,,,,469.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
汚物掃除費,,,,,,,,,,,,,540.000,-,117.250,-,-,-,-,-,-,-,,
衛生展覧会補助費,,,,,,,,,,,,,,,,,,"3,000.000",-,-,-,-,,
伝染病院移転改築費,,,,,,,,,,,,,,,"3,903.380",一,"24,394.450",-,-,-,"14,498.390","1,338.800",,
区役所費,,,,,,"59,117.132",-,-,一,"2,010.300",430.000,-,-,-,42.500,-,397.970,"3,960.800",510.970,-,899.500,-,,
改築費,,,,,,"59,117.132",-,-,-,"2,010.300",430.000,-,-,-,-,-,-,-,-,-,-,-,,
建築及修繕費,,,,,,,~,-,-,-,-,-,-,-,42.500,-,397.970,"3,960.800",510.970,-,899.500,-,,
港湾調査費,,,,,,,"3,365.025",276.710,-,-,-,-,-,"1,018.970",193.355,-,-,-,-,-,-,-,,
港湾調査費,,,,,,,"3,365.025",276.710,-,-,-,-,-,"1,018.970",193.355,-,-,-,-,-,-,一,,
継続土木費本年度支出額,,,,,,,,,,,"21,592.617",-,-,-,-,-,-,-,-,-,-,-,,
下水道築造費,,,,,,,,,,,"21,592.617",-,-,-,-,-,-,-,-,-,-,-,,
道路改修費及復旧費,,,,,,,,,,,,-,-,-,-,-,-,-,-,一,-,-,,
継続教育費本年度支出額,,,,,,,,,,,"15,235.090",-,-,-,-,-,-,-,-,-,-,-,,
建築費,,,,,,,,,,,"15,235.090",-,-,-,-,-,-,-,-,-,-,-,,
継続病院費本年度支出額,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,,
病院建築費,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,,
継続公会堂建築費本年度支出額,,,,,,,,,,,,"1　22,739.757",-,-,-,-,-,-,-,-,-,-,,
公会堂建築費,,,,,,,,,,,,"22,739.757",-,-,-,-,-,-,-,-,-,-,,
公会堂費,,,,,,,,,,,,,"2,534.550",-,-,-,-,"1,488.170",-,-,882.600,305.800,,
公会堂設備・修繕費,,,,,,,,,,,,,"1,303.760",-,-,-,-,"1,488.170",-,-,882.600,305.800,,
公会堂増築費,,,,,,,,,,,,,"1,230.790",-,-,-,-,-,-,-,-,-,,
火葬場費,,,,,,,,,,,,,620.854,-,-,-,-,250.950,"40,635.640","15,778.040",-,935.000,,
火葬場建築費,,,,,,,,,,,,,620.854,-,-,-,-,250.950,"40,635.640","15,778.040",-,935.000,,
翌年度繰越金,,,,,,,"91,549.220",-,-,-,-,-,-,-,-,"17,153.000",-,-,-,-,-,-,,
翌年度繰越金,,,,,,,"91,549.220",-,-,-,-,-,-,-,-,"17,153.000",-,-,-,ー,-,-,,
特別会計函館病院費補充金,,,,,,,,,,,,,,,"2,000.000",-,-,-,-,-,-,-,,
特別会計函館病院費補充金,,,,,,,,,,,,,,,"2,000.000",-,-,-,-,-,-,-,,
基本財産特別会計繰入金,,,,,,,,,,,,,,,"4,313.000",-,"1,000,000",0.000,"36,860.470",0.000,-,-,,
基本財産特別会計繰入金,,,,,,,,,,,,,,,"4,313.000",-,"1,000.000",-,"36,860.470",-,-,-,,
公共物揚場費,,,,,,,,,,,,,,,,,-,-,-,-,-,-,,
建築費,,,,,,,,,,,,,,,,,-,-,-,-,-,-,,
特別会計水道拡張費へ繰入金,,,,,,,,,,,,,,,,,,"100,000.000",-,"301,320.000",896.698.000,"842,000.000",,
特別会計水道拡張費へ繰入金,,,,,,,,,,,,,,,,,,"100,000.000",-,"301,320.000",896.698.000,"842,000.000",,
日用品供給物費,,,,,,,,,,,,,,,,,,,,"10,078.490",-,-,,
日用品供給物費,,,,,,,,,,,,,,,,,,,,"10,078.490",-,-,,
都市計画調査費本年度支出額,,,,,,,,,,,,,,,,,,,,,"9,919.090","4,681.070",,
都市計画調査費本年度支出額,,,,,,,,,,,,,,,,,,,,,"9,919.090","4,681.070",,
小学校校舎新築費本年度支出額,,,,,,,,,,,,,,,,,,,,,4.800.920,"152,018.580",,
小学校校舎新築費本年度支出額,,,,,,,,,,,,,,,,,,,,,"4,800.920","152,018.580",,
住宅建築費,,,,,,,,,,,,,,,,,,,,,"60,000.000",-,,
住宅建築費,,,,,,,,,,,,,,,,,,,,,"60,000.000",-,,
公園費,,,,,,,,,,,,,,,,946.796,-,一,-,-,"3,421.840",-,,
公園費,,,,,,,,,,,,,,,,946.796,-,-,-,-,"2,547.650",-,,
新川公園設置費,,,,,,,,,,,,,,,,,,,,,350.240,-,,
旧蹟蝦夷館通路開設費,,,,,,,,,,,,,,,,,,,,,523.950,-,,
災害復旧費,,,,,,,,,,,,,,,,,,,,,,"8,912.240",,
災害復旧費,,,,,,,,,,,,,,,,,,,,,,"8,912.240",,
災害費,,,,,,,,,,,,,,,,,,,,,,"225,601.440",,
事務費,,,,,,,,,,,,,,,,,,,,,,"3,355.470",,
事業費,,,,,,,,,,,,,,,,,,,,,,"222,245.970",,
補助費本年度支出額,,,,,,,,,,,,,,,,,,,,,,"79,660.000
79,660.000",,
防災家屋建築費補助本年度叉出額,,,,,,,,,,,,,,,,,,,,,,"65,899.000
65,899.000",,
貸付金本年度支出額,,,,,,,,,,,,,,,,,,,,,,0.000,,
防災家屋建築費貸付金本度支出額,,,,,,,,,,,,,,,,,,,,,,0.000,,
火災救助費,,,,,,,,,,,,,,,,,,,,,,"84,762.330",,
火災罹災者救助費,,,,,,,,,,,,,,,,,,,,,,"84,762.330",,
木材購入費,,,,,,,,,,,,,,,,,,,,,,,,
木材購入費,,,,,,,,,,,,,,,,,,,,,,,,
臨時諸費,,,,,,,,,,,,,,,,,,,,,,,,
土木費,,,,,,,,,,,,,,,,,,,,,,,,
営繕費,,,,,,,,,,,,,,,,,,,,,494.000,-,,
雑支出,,,,,,,,,,,,,,,,,,,,,494.000,-,,
勧業費,,,,,,,,,,,,706 049.232,"110,473.370","153,173.232","285,124.742","292,631.844","206,001.680","678,458.920","331,589.440","577,299.360","1,452,241.880","1,806,360.230",,
水産陳列場費,,,,,,一一一　一一　－,一一一一一一一一,－　　　　－,,一一一,,1 081 803.67S,"501,281.241",431.997.268,"566,755.829","597,658.844","532,541.235","1,045,330.920","841,256.440","1,311,017.750","2,469,839.880","2,823,958.230",,
合　計,"19,626.025","10,980.443","23,117.767","29,316.192","138,163.508","209,126.121","293,787.209","121,655.832",108.622.064,"119,630.386","109,728.464",,,,,,,,,,,,,
歳出の部　通計,"197,349.589","183,316.990","121,425.867",86.434.460,273722.393,"391,740.922","489,672.058",306.631.545,"357,688.192","400,418.132","399,099.786",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
