,昭　和　39,昭　和　40,昭　和　41,昭　和　42,昭　和　43,昭　和　44,昭　和　45,昭　和　46,昭　和　47,昭　和　48,昭　和　49,昭　和　50,昭　和　51,昭　和　52,昭　和　53,昭　和　54
議会事務局職員費,,,,,,,,,,,,,,"92,527,351","103,329,490","103,473,651"
一般部局職員費,,,,,,,,,,,,,,"8,952,538,857","9,382,333,845","10.042,695,173"
教育委員会職員費,,,,,,,,,,,,,,"2,958,653,656","3,247,831,241","3,608,111,902"
選挙管理委員会職員費,,,,,,,,,,,,,,"46,956,149","53,260,915","55,664,547"
監査委員事務局職員費,,,,,,,,,,,,,,"40,913,462","44,531,460","52,052,457"
公平委員会職員費,,,,,,,,,,,,,,"5,807,831","7,183,633","8,041,252"
農業委員会職員費,,,,,,,,,,,,,,"72,704,921","82,224,173","83,906,942"
固定資産評価審査委員会職員費,,,,,,,,,,,,,,"2,180,357",０,０
消防職員費,,,,,,,,,,,,,,"1,654,267,244","1,840,557,167","1,861,090,959"
歳出合計,"4,068,636,807","4,560,175,718","5,516,492,944","6,514,849,852","7.751,909,501","9,216,998,912","10,736,932,826","12,435,291,146","15,115,814,201","20,545,598,353","29,203,729,450","32,708,565,974","37,662,168,281","41,604,310,607","48,687,733,439","54,614,444,403"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
