,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54
柏木分院医業費用聆48ｮﾘ鱒川病院,"73,443,479","89,846,251","100,657,895","113,487,136","128,478,770","138,475,986","154,515,533","175,090,123","195,174,155","258,658,364","388,633,227","420,764,748","483,112,772","489,775,614","544,049,792","647,684,334"
給与費,"38,437,379","47,629,036","55,905,997","61,703,963","71,892,050","79,435,641","97,621,079","119,289,962","133,658,263","180,617,822","282,394,164","302,414,592","354,152,217","356,739,516","399,680,597","473,972,547"
材料費,"27,859,585","33,452,920","32,854,149","40,163,255","44,774,218","46,068,789","43,865,139","43,169,482","48,593,682","51,699,260","56,741,525","65,364,616","66,214,973","70,826,749","80,291,792","95,511,941"
経費,"5,455,848","6,378,388","9,623,938","9,235,749","9,512,793","10,296,707","9,903,670","10,172,279","10,382,855","25,102,634","32,137,253","36,022,317","45,615,338","44,222,426","45,641,040","51,331,938"
減価償却費,"1,582,017","2,236,349","2,057,221","2,001,099","1,997,974","2,250.174","2,439,722","2,005,289","1,791,691","533,058","16,613,981","16,568,163","16,411,899","17,243,702","17,599,632","17,336,202"
資産減耗費,０,０,０,０,"17,490",825,"106,297","6,996","123,894","138,500","163,314",-,"64,410","113,316","27,751","8,643,021"
研究研修費,"108,650","149,558","216,590","383,070","284,245","423,850","579,626","446,115","623,770","567,090","582,990","395,060","653,935","629,905","808,980","888,685"
康生分院医業費用,"9,292,235",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
給与費,"8,295,758",-,-,-,-,-,-,-,-,-,一,-,-,-,-,-
材料費,"150,128",-,-,-,一,-,-,-,-,-,-,-,-,-,-,-
経費,"382,135",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
減価償却費,"464,214",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
資産減耗費,０,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
赤川診療所医業費用,"129,888",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
材料費,"115,410",-,-,-,-,-,-,-,-,-,-,-,-,-,-,一
経費,"14,478",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
看護婦養成費用,"2,336,794","2,513,768","3,020,427","3,953,771","5,655,774","7,284,204","7,910,533","10,814,649","12,795,906","15,202,227","26,390,158","27,748,932","30,440,428","33,167,640","40,335,234","44,202,334"
給与費,"1,483,352","1,703,016","1,911,965","2,561,374","3,861,277","4,684,488","5,666,191","7,581,797","9,830,926","11,325,034","16,040,769","20,069,356","22,645.957","24,506,323","32,061,592","35,098,796"
経費,"599,746","470,101","787,841","987,565","1,336,352","1,912,689","1,478,804","2,201,797","2,163,113","2,854,272","7,829,115","4,830,574","4,777,086","5,615,103","5,210,044","5,799,561"
減価償却費,"224,076","292,241","284,871","384,412","401,725","631,077","672,408","731,545","753,817","722,511","2,335,319","2,370,787","2,354,665","2,343,844","2,370,303","2,317,817"
資産減耗費,,,,,,,,,,,"1,425","4,795","2,910","1,720","2,275",-
研究研修費,"29,620","48,410","35,750","20,420","56,420","55,950","93,130",299.510,"48,050","300,410","183,530","473,420","659,810","700,650","691,020","986,160"
医業外費用,"35,898,698","39,975,774","47,316,494","60,009,308","67,548,698","72,659,635","79,029,308","85,677,488","122,340,743","117,392,837","165,134,776","196,940,677","186,743,924","183,639,573","175,382,553","181,576,564"
支払利息及び企業債取扱諸費,"35,840,058","39,691,715","46,634,575","59,433,032","67,046,248","71.729,572","78,161,449","84,789,883","89,887,852","116,201,830","163,734,322","194,961,070","185,015,433","182,092,494","174,169,723","180,354,851"
調査研究費,,,,,,"99,040",-,-,-,-,-,-,-,-,-,-
職員住宅建設受託工事費,,,,,,,,,"32,000,000",-,-,-,-,-,-,-
雑損失,"58,640","284,059","681,919","576,276","502,450","831,023","867,859","887,605","452,891","1,191,007","1,400,454","1,979,607","1,728,491","1,547,079","1,212,830","1,221,713"
特別損失,,,,,,,,,,,,,,"16,613,783","14,031,038","24,897,426"
修学資金貸付金返還義務消滅額,,,,,,,,,,,,,,"360,000","1,792,000","3,576,000"
過年度損益修正額,,,,,,,,,,,,,,"16,253,783","12,239,038","21,321,426"
費用合計,"535,307,309","657,771,405","767,671,231","853,308,353","1,090,242,761","1,309,362,614","1,594,951,299","1,792,611,445","2,147,617,636","2,589,233,026","3,306,491,022","3,731,483,905","4,038,660,707","4,357,440,699","4,910,548,248","5,615,801,983"
期間外費用,"2,088,238","2,105,518","6,104,976","4,147,104","5,744,501","5,332,360","11,784,234","5,790,111","10,157,380","16,918,923","12,023,643","8,253,019","8,053,770",-,,
費用総計,"537,395,547","659,876,923","773,776,207","857,455,457","1,095,987,262","1,314,694,974","1,606,735,533","1,798,401,556","2,157,775,016","2,606,151,949",-,一,-,,,
Ａ　差引（収益一費用）除期間外,"4,879,533","△10,164,981","△62,563,488","△7,808,958","△88,249,349","△143,723,631","△134,994,138","△173,353,760","△71,076,903","△322,850,574","3,318,514,665","3,739,736,924","4,046,714,477","4,357,440,699","4,910,548,248","5,615,801,983"
Ｂ　期間外収支,"△2,088,238","△362,515","△2,801,935","△2.308,828","△3,318,517","△3,223,117","△9,668,296","17,989,779","△7,201,439","△12,839,441","△154,131,665","△13,273,910","299,457,263","530,745,859","616,389,504","462,823,631"
A十B,2.791.295,"△10,527,496","△65,365,423","△10,117.786","△91.567,866","△146,946,748","△144,662,434","△155,363,981","△78,278,342","△335,690,015","△5,381,957","360,650,964","78,482,078",-,-,-
資本的収入,,,,,,,,,,,"△159,513,622","347,377,054","377,939,341",-,-,-
資本的収入,"28,939,000","31,031,000","128,020,000","200,728,000","74.588,000","30,837,500","20,355,000","16,066,710","183,442,281","608,025,545",,,,,,
固定資産売却代金,,,"1,900,000",-,-,-,"2,050,000","1,663,710",-,-,"1,100,953,320","206,631,197","155,813,279","107,327,550","426,219,000","255,410,000"
企業債,"20,000,000","20,000,000","126,000,000","189,000,000","22,000,000","1,600,000",-,-,"112,000,000","444,000,000",-,"2,529,197","4,618,279",-,-,-
他会計補助金,"8,500,000","10,000,000",-,-,-,-,-,-,-,-,"1,089,000,000","181,000,000","125,200,000","77,500,000","384,900,000","206,600,000"
補助金,"439,000","980,000",-,０,"31,978.000","6,082,000","3,130,000","892,000","18,958,000","87,312,000",-,-,-,-,-,-
貸付返還金,,"1,000",-,"228,000","180,000","550,500","270,000","396,000","150,000","971,500","3,850,000","12,543,000","12,141,000","8,767,000","11,600,000","5,535,000"
他会計負担金,,,,"11,500,000","20,200,000","22,600,000","14,700,000","13,100,000","52,100,000","72,951,000","252,000","605,000","1,340,000","1,052,000","1,332,000","2,244,000"
その他資本的収入,,"50,000","120,000",０,"230,000","5,000","205,000","15,000","234,281","2,791,045","7,446,000","9,954,000","12,514,000","19,204,000","28,387,000","41,031,000"
計,"28,939,000","31,031,000","128,020,000","200,728,000","74,588,000","30,837,500","20,355,000","16,066,710","183,442,281","608.025,545","405,320",０,０,"804,550",-,０
資本的支出,,,,,,,,,,,"1,100,953,320","206,631,197","155,813,279","107,327,550","426,219,000","255,410,000"
資本的支出,"57,810,696","73,702,206","141,602,649","271.649,780","112,168,988","82,208,079","92,780,045","75,655,000","200,392,545","719,679,209",,,,,,
,,,,,,,,,,,"1,180,358,205","327,460,507","296,510,961","595,633,823","860,694,470","640,547.937"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
