,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和51,昭和52,昭和53,昭和54,昭和55
受託検査施設利用収益,"199,302","156,076","308,860","206,556","124,440","149,470","155,510","201,700","244,062","252,120","321,282","324,460","48,600","22,150","236,675","163,500"
その他医業収益,"1,534,855","1,566,692","1,141,356","1,451,672","2,197,638","2,543,256","2,667.348","2,737.066","3,181,154","4,283,483","7,678,310","14,187,280","18,166,500","19,382,770","20,992,170","21,052,060"
柏木分院医業収益聆48ｮﾘ鱒川病院,"78,590,053","94,668,296","97,656,659","113,344,948","119,505,849","116,490,013","135,455,737","132,993,468","171,355,552","172,207,122","289,199,735","418,836,290","431,751,182","500,821.477","519,417,321","539,502,607"
入院収益,"69,312,959","83,969,976","86,169,462","97,882,369","101,920,717","100,249,824","117,231,873","111,165,967","146,897,406","147,377,186","256,347,682","381,436,071","389,853,431","450,478,398","462,871,794","480,214,730"
入院料,"43,095,294","53,671,428","56,162,473","61,699,889","66,575,970","66,883,506","81,563,024","77,464,109","105,208,236","105,231,306","193,816,104","280,959,987","286,203,856","331,769,083","341,096,874","348,148,819"
薬価料,"17,826,110","21,120,087","20,862,648","25.282,352","22,098,916","20,394,040","19,402,944","18,816,343","19,218,516","17,507,537","20,820,823","23,114,956","23,870,154","29,006,450","29,251,562","35,851,467"
処置料,"427,656","592,098","649,767","1,347,329","2,193,749","1,822,803","2,739,836","2,195,885","2,203,394","2,137,773","4,665,240","8,230,931","9,729,284","10,223,361","11,699,685","13,552,586"
診察料,"14,416","20,771","26,264","14,752","20,329","14,294","20,992","15,420","12,360","19,810","69,981","76,690","81,975","100,292","81,040","85,750"
暖房料,"3,029,140","3,107,232","3,014,295","3,263,302","3,157,882","3,090,700","2,988,254","2,725,476","2,713,082","2,623,722","3,062,715","3,725,965","3,681,010","3,687,805","3,823,875","3,803,840"
看護料,"4,917,661","5,455,200","5,441,667","6,270,145","7,871,251","8,042,341","10,515,263","9,947,774","17,540,918","19,856,778","33,912,219","65,326,492","66,287,152","75,691,407","76,918,758","78,772,268"
文書料,"2,682","3,160","12,348","4,600","2,620","2,140","1,560",960,900,260,600,"1,050",-,-,-,-
外来収益,"9,247,214","10,668,664","11,444,237","15,406,099","17,499,034","16,166,229","18,157,334","21,769,251","24,406,076","24,762,036","32,712,203","37,071,799","41,593,701","49,994,219","56,159,997","58,888,857"
薬価料,"8,090,443","9,322,918","9,683,866","12,740,656","13,588,409","12,411,991","13,900,740","16,727,453","18,716,560","19,344,376","22,367,225","26,014,371","28,923,403","34,055,793","38,677,138","42,192,624"
処置料,"649,331","656,687","1,003,731","1,591,617","2,136,447","1,921,229","1,847,051","1,835,660","1,458,742","1,238,515","2,744,196","1,371,188","1,844,519","2,569,733","4,040,342","3,889,440"
診察料,"434,945","602,563","666,019","952,332","1,642,754","1,705,376","2,275,036","3,038,119","4,062,364","4,026,583","7,402,454","9,451,798","10,564,785","13,104,727","13,178,469","12,532,954"
暖房料,"72,337","85,956","90,541","119,694","129,764","127,633","133,107","168,019","168,410","152,562","198,328","234,442","257,994","261,966","263,248","270,839"
文書料,158,540,80,"1,800","1,660",-,"1,400",-,-,-,-,-,"3,000","2,000",800,"3,000"
その他医業収益,"29,880","29,656","42,960","56,480","86,098","73,960","66,530","58,250","52,070","67,900","139,850","328,420","304,050","348,860","385,530","399,020"
その他医業収益,"29,880","29,656","42,960","56,480","86,098","73,960","66,530","58,250","52,070","67,900","139,850","328,420","304,050","348,860","385,530","399,020"
康生分院医業収益,"515,345",-,-,一,-,-,-,-,-,-,-,-,-,-,-,-
入院収益,"515,225",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
入院料,"339,412",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
薬価料,"82,788",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
処置料,"46,878",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
診察料,"14,387",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
暖房料,"31,760",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他医業収益,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他医業収益,120,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-
赤川診療所医業収益,"742,722",-,-,-,-,-,-,-,-,一,-,-,-,-,-,-
外来収益,"740,522",-,-,-,-,-,-,-,-,-,-,一,-,-,-,-
薬価料,"259,134",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
処置料,766,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-
診察料,"461,976",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
暖房料,"18,646",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他医業収益,"2,200",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他医業収益,"2,200",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
医業外収益,"7,418,448","3,910,851","4,888,464","34,272,525","30,805,161","41,572,851","45,753,534","55,206,798","90,149,604","54,721,918","112,085,647","197,254,621","226,243,533","245,132,272","298,139,775","320,252,413"
受取利息配当金,"325,232","341,212","426,680","530,350","739,600","999,024","1,175,209","2,566,581","2,342,216","3,711,262","5,418,011","23,785.012","34,351,912","38,203,579","56,791,609","39,872,187"
預金利息,"304,477","325,147","411,915","515,585","724,835","997,259","1,156,017","2,490,309","2,191,069","3,608,565","5,333,462","13,928.586","26,112,903","15,115,829","30,479,050","34,387,5∠16"
有価証券利息,"20,755","16,065","14,765","14,765","14,765","1,765",19.192,"76,272","139,750","102,697","16,741","25,677","393,947","399,534","402,933","428,182"
他会計貸付金利息,,,,,,,,,IL 397,-,"67,808","9,830,749","7,845,062","22,688,216","25,909,626","5,056,459"
他会計負担金,"5,000,000",-,-,"28,500,000","20,800,000","31,400,000","35,300,000","41,900,000","42,900,000","37,049,000","85,797,000","92,296,000","135,548,000","153,422,000","182.588,000","209.865,000"
康生分院運営負担金,"5,000,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
他会計負担金,,,,"28,500,000","20,800,000","31,400,000","35,300,000","41,900,000","42,900,000","37,049,000","85,797,000","92,296.000","135,548,000","153,422,000","182.588,000","209,865,000"
他会計補助金,,,,,,,,,,,,"25,416,000",-,-,-,-
特例債利子補助金,,,,,,,,,,,,"25,416,000",-,-,-,-
補助金,"n0,000",-,-,"216,000","2,981,500","1,262,000","339,000","847,500","1,620,000","1,081,000","3,714,000","26,851,000","17,663,000","18,127,000","17,926,000","17,665,000"
看護婦養成費補助金,"110,000",-,-,"216,000","264,000","228,000","320,000","847,500",-,-,-,-,-,-,-,-
看護婦養成所設備整備費道補助金,,,,,"154,500",-,"19,000",-,-,"208,000",-,-,-,-,-,-
看護婦等養成施設運営費補助金,,,,,,,,,"1,620,000","873,000","1,710,000","6,797,000","7,299,000","8,254,000","8,599,000","8,876,000"
特例債利子助成金,,,,,,,,,,,"276,000","8,294,000","7,644,000","6,993,000","6,343,000","5,693,000"
院内保育事業運営費補助金,,,,,,,,,,,"1,728,000","2,560,000","2,720,000","2,880,000","2,984,000","3,096,000"
救急医療施設運営費補助金,,,,,,,,,,,,"9,200,000",-,-,-,-
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
