,昭　和　39,昭　和　40,昭　和　41,昭　和　42,昭　和　43,昭　和　44,昭　和　45,昭　和　46,昭　和　47,昭　和　48,昭　和　49,昭　和　51,昭　和　52,昭　和　53,昭　和　54,昭　和　55
働く婦人の家建設費,,,,,,,,"63,998,076",-,-,-,-,-,-,-,-
働く婦人の家費,,,,,,,,,"13,256,266","14,280,201","22,242,684","26,938,076","6,040,993","4,305,982","6,091,347","6,942,409"
農林水産費,"50,257,991","58,230,537","69,648,293","129.100,821","186,625,795","181,241,442","188,886,095","180,532,187","226,502,112","269,362,419","438,089,614","425,621,990","265,163,983","368,876,237","615,124,200","538,504,722"
農林費,"27,276,642","32,756,196","39,858,546","73,270,052","121,188,137","119,853,719","119,135,614","92,914,249","134,080,121","136.070,716","216,860,147","238,074,302","82,622,462","132,462,366","221,025,748","252,872,545"
農業委員会費(函館),"6,748,792","7,123,197","9,593,311","10,485,938","13,091,058","4,116,552","20,270,549","24,482,047","28,694,372","36,132,238","47,915,280","84,376,926","15,675,403","14,889,767","14,222,650","15,818,926"
農業委員会費(銭亀沢),,,,"3,948,885","4,513,485","1,406,312",-,-,-,-,-,-,-,-,-,-
農業委員会費(函館市),,,,,,"13,363,533",-,-,-,-,-,-,-,-,-,-
農業委員会費(亀田),,,,,,,,,,"6,130,580","22,170,977",-,-,-,-,-
農林総務費,"7,787,149","9,686,897","12,103,797","15,515,143",14.034.759,"13,677,814","17,527,943","20,322,277","23,119,577","29,046,118","38,422,830","57,708,671","2,012,900","2,009.248","2,036,712","2,054,822"
農林振興費,"7,486,189","9,121,737","8,849,857","20,426,025","54,985,856","58,850,010","54,584,417","34,011,045","41,345,802","55,830,707","95,360,652","86,337,379","55,752,630","103,847,877","192,640,373","224,729,758"
畜産振興費,"5,254,512","1,704,867","1,699,864","10,335,145","12,138,967","15,038.002","11,397,429","9,393,395","37,068,670","5,389,381","9,223,221","5,605,832","5,110,943","7,342,845","7,182,527","5,582,003"
牧場造成費,,"5,119,498","7,611,717","10,687,269","20,620,552","11,438.360","13,398,861",-,-,-,-,-,-,-,-,-
牧楊管理費,,,,"1,871,647","1,803,460","1,963,136","1,956,415","4,705,485","3,851,700","3,541,692","3,767,187","4,045,494","4,070,586","4,372,629","4,943,486","4,687,036"
水産費,"22,655,143","23,046,608","25,813,937","52,592,606","63,137,658","58,837,723","66,450,481","82,888,938","81,416,991","105,914,703","174,466,467","141,345,641","130,018,521","167,339,871","316,158,452","229,837,161"
水産総務費,"9,514,937","9,873,156","11,163,494","10,982,158","19,051,082","15,021,341","17,060,742","20,828,104","22,234,182","27,539,334","38,347,454","46,263,878","1,129,678","1,017,598","1,170,835","4,915,657"
水産振興費,"10,868,066","11,093,737","14,650,443","41,610,448","44,086,576","36,838,841","47,274,422","59,856,811","58,337,541","73,324,375","132,410,698","90,371,981","121,876,332","164,593,880","308,730,277","216,276,465"
魚揚揚費,"2,272,140","2,079,715",-,-,-,-,-,-,-,-,-,-,-,-,-,-
漁港管理費,,,,,,"556,029","675,521","619,623","845,268","766,564","931,812","1,057,782","662,511","1,728,393","1,257,340","1,020,506"
漁港整備費,,,,,,"6,421,512","1,439,796","1,584,400",-,"4,284,430","2,776,503","3,652,000","6,350,000",-,"5,000,000","7,624,533"
魚卸売市場費,,"2,427,733","1,138,167","2,504,094","1,000,000",０,-,一,-,-,-,-,-,-,-,-
魚卸売市場事業繰出金,,"2,427,733","1,138,167","2,504,094","1,000,000",-,-,-,-,-,-,-,-,-,-,-
と畜費,"326,206",-,"2,837,643","734,069","1,300,000","2,550.000","3,300,000","4,729,000",-,-,-,-,-,-,-,-
と畜事業繰出金,"326,206",-,"2,837,643","734,069","1,300,000",2.550.000,"3,300,000","4,729,000",-,-,-,-,-,-,-,-
食肉センター費,,,,,,,,,"11,005,000","27,377,000","46,763,000","46,202,047","52,523,000","69,074,000","77,940,000","55,795,016"
食肉センター繰出金,,,,,,,,,"11,005,000","27,377,000","46,763,000","46,202,047","52,523,000","69,074,000","77,940,000","55,795,016"
商工費,"170,492,452","183,101,050","206,845,361","219,444,359","240,022,424","250,291,322","312,807,794","311,515,494","371,357,795","556,354,396","831,086,728","907,405,704","975,059,799","1,024,186,888","1,124,367,851","1,176,431,431"
商工費,"170,492,452","183,101,050","206,845,361","219,444,359","240,022,424","250,291,322","312,807,794","311,515,494","356,743,795","510,002,396","661,846,728","907,405,704","975,059,799","1,024,186,888","1,124,367,851","1,176,431,431"
商工総務費,"27,254,782","31,353,979","37,173,960","38,175,834","56,967,165","51,314,464","59,851,208","72,504,500","68,902,788","81,047,209","121,684,524","171,825,605","1,955,026","2,139,939","2,400,892","3,128,977"
消費流通対策費,,,,,"736,407","986,134","4.216,550","970,451","1,332,572","3,027,435","7,391,314","11,097,708","7,450,993","12,185,573","10,490,259","12,071,500"
商業振興費　昭和43ｮﾘ商工業振興費,"73,977,704","84,830,392","101,640,052","101,919,395","158,456,802","165,614,283","215,359,905","196,236,953","225,818,340","353,910.019","460,885,066","657,142,997","926,917,978","958,208,357","1,035,014,899","1,065,595,982"
工業振興費,"52,029,193","45,294,649","45,130,434","54,851,220",-,-,-,-,-,-,-,-,-,-,-,-
流通センター建設準備費,,,,,,,,"1,482.117","15,691,051","16,893,629","5,208,700","889,078","900,517","742,021",-,-
貿易振興費,"1,169,361","1,829,050","2,525,892","1,563,356","1,302,225","2,050,606","2,022,666","1,443,202","1,358,892","1,465,176","2,658,202","1,359,526","1,502,413","1,182,960","1,127,970","2,089,040"
工業指導所費,"6,223,591","6,168,261","7,176,764","9,723,120","7,525,953","11,256,101","11,114,021","14,261,725","19,790,068","15.938,016","24,884,708","26,435,541","3,902,048","4,224,390","5,539,406","6,514,980"
計量検査所費,"1,364,162","1,583,602","1,699,039","2,891,586","2,648,237","3,725,392","4,280,213","5,044,543","5,722,261","7,087,977","10,689,108","13,278,319","2,214,472","2,313,747","2,863,344","3,762,058"
観光費,"6,675,972","9,510,654","8,228,728","9,422,325","11,499,176","12,528,986","14,892,458","18,392,258","16,990,989","29,250,296","27,930,535","24,817,678","29,503,142","42,424,079","66,066,904","83,268,894"
観光案内所費,"337,515","821,670","770,492","897,523","886,459","2,815,356","1,070,773","1,179,745","1,136,834","1,382,639","514,571","559,252","713,210","765,822","864,177",-
空港待合所管理費,"1,192,471","1,482,212",-,-,-,-,-,-,-,-,-,-,-,-,-,-
空港整備費負担金,"226,581","226,581","2,500,000",-,-,-,-,-,-,-,-,-,-,-,-,-
空港整備調査費,"41,120",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央卸売市場費,,,,,,,,,"14,614,000","46,352,000","169,240,000",-,-,-,-,-
中央卸売市場事業繰出金,,,,,,,,,"14,614,000","46,352,000","169,240,000",-,-,-,-,-
土木費,"548,045,020","623,622,839","929,425,378","1,211,230,183","1,341,811,771","1,792,320,026","2,117,062,247","2,629,997,957","3,284,387,730","3,843,920,372","5,094,516,146","5,743,423,571","5,608,677,794","6,509,815,168","7,641,710,200","8,910,423,364"
土木管理費,"27,276,101","27,442,815","26,647,355","32,100,550","37,014,925","40,301,449","39,084,960","45,526,038","54,353,055","62,761,328","84,636,827","55,123,555","1,463,437","1,491,499","85,300,348","41,041,180"
土木総務費,"9,709,579","9,585,806","10,084,227","10,956,975","14,330,163","19,656,926","23,505,496","29,340,038","34,928,055","39,180,328","52,249,373","55,123,555","1,463,437","1,491,499","85,300,348","41,041,180"
銭亀沢土木事務所費,,,,,,,"15,579,464","16,186,000","19,425,000","23,581,000","32,387,454",-,-,-,-,-
車輛運営費,"17,566,522","17,857,009","16,563,128","21,143,575","22,684,762","20,644,523",-,-,-,-,-,-,-,-,-,-
道路橋梁費,"81,380,251","70,886,630","168,663,142","192,545,906","308,768,466","324.239,238","367.123,557","486,380.260","724,762,377","804.157,952","1,160.105.651","1,096,433,149","1,027,145,111","1,416,660,098","1,553,117,374","1,983,604,362"
道路橋梁総務費,"17,375,283","19,637,363","21,559,413","24,308,054","27,769,083","47,475,301","51,569,236","57,063,610","77,483,965","95,566,041","146,914,739","198,904,202","35,787,034","46,813,867","62,854,381","77.337,366"
道路橋梁維持費,"16,372,662","17,719,042","33,543,706","35,757,940","41,818,308","39,242,231","58,712,327","71,506,984","96,084,416","110,706,555","187,279,396","221,405,637","237,627,242","285,761,490","318,847,587","339,887,000"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
