,明治30,明治31,明治32.4-32.9,明治32.10-33.3,明治33,明治34,明治35,明治36,明治37,明治38,明治39,明治41,明治42,明治43,明治44,大正元,大正２,大正３,大正４,大正５,大正６,大正７,大正９,大正10,大正11.4-7
水産陳列場入場料,354.465,271.185,233. C〕70,56.625,334.245,317.445,339.810,320.655,227.145,301.320,387.450,433.900,309.440,347.840,287.400,288.140,308.960,251.800,251.160,356.120,399.720,402.380,790.850,618.350,307.950
公園地収入,,,144.610,99.129,243.610,-,ー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工業補習学校授業料,,,,,,,,,,,,,,,237.000,246.250,266.810,258.750,308.500,352.500,375.500,380.750,"2,084.000","1,922.500",532.000
工業学校授業料,,,,,,,,,,,,,,,,,,,,,,,,"2,940.000",-
町会所収入,658.110,678.536,288.794,144.086,523.656,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
墓地料,76.029,39.551,23.501,14.289,32.999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
火葬料,417.474,333.069,261.666,234.200,521.360,-,-,-,-,-,一,-,-,-,-,一,-,-,-,-,-,-,-,-,-
区費処分費収入,179.936,248.106,161.564,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
公借金増募入,600.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
火災保険金,"1,550.000",-,"1,500.000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
繰替金戻入,,,,,"2,353.335","2,067.310","4,245.011","2,684.993","2,060.880","5,307.675","4,082.465","7,233.799","10,443.936","7,132.020","16,072.203","14,107.319","16,318.995","16,076.626","17,609.290","25,152.830","17,707.280","13,228.540","19,600.080","25,235.880","2,862.700"
滞納処分戻入,,,,,,1.250,0.000,0.710,26.640,34.250,41.800,91.130,279.300,326.350,516.450,566.750,375.150,577.250,618.100,650.350,414.100,288.850,231.600,320.300,55.200
雑入,9.650,-,-,-,"74,001.299","12,265.319","7,412.348","6,601.339","6,603.784","42,784.682","6,474.391",951.940,560.970,"2,251.525","1,254.215","1,260.320","27,291.650","27,268.615",605.695,"1,662.720",724.400,"2,305.250","6,995.760","4,711.960","2,272.250"
過年度収入,,,,,,,"7,133.777","1,986.963","4,401.520","2,316.600","1,884.078","5,431.250","21,234.684","41,834.794","7,251.122","2,729.820","2,976.560","4,137.670",11.097.425,"4,069.320",1.202.555,"3,371.350","2,670.230","34,888.890","36,945.910"
寄付金,167.300,-,"1,510.000",-,-,500.000,"3,011.185",301.000,"1,000.000",-,580.000,-,-,-,-,-,-,-,"2,600.000","39,750.000",-,"32,050.000","137,633.100","3,326.400",-
報償金,,,,,,,,,,,,,,,,,,5.589.239,7.952.647,"7,174.960",10.268.950,"12,680.470","15,630.090","20,096.990",-
不用品売却代,16.600,0.510,123.345,-,-,295.795,432.990,"3,947.417",98.210,364.878,413.622,一,-,-,-,-,-,-,-,-,-,-,-,-,-
建物売却代,,,534.055,-,-,-,-,-,~,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
水道増設費残金,,,"17,197.409",-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-
過誤納払戻入,,,,,,17.500,0.600,一,30.590,-,-,-,2.350,431.380,-,-,-,一,-,-,-,-,-,-,-
精神病舎収入,,,,,,,,,,,,"6,591.335","7,719.300","7,076.100","8,061.000","7,379.900","6,339.000",7.930.650,7.866.100,"7,991.000","9,040.700","11,586.500","11,691.300","7,818.000","2,025.900"
給水工事費（水道）収入,"15,102.239","14,924.211","8,899.231","8,414.223","18,558.083",-,-,-,-,-,一,-,"12,476.100","13,268.270","10,013.940","10,797.060","11,366.356","12,667.581","10,547.660","17,125.400","15,348.770","20,694.550","37,829.520","49,304.370","14,082.030"
過怠金,,,,,,,,,,,,-,23.023,-,-,-,-,-,-,-,-,-,-,一,ー
函館港改良工事費残金,,,,,"6,795.206",-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,一
旧区村費残余金繰越,,,,,"12,775.271",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
補助金,"48,889.000","24,444.000",-,-,-,114.954,857.717,"2,896.058",612.270,"1,943.421","9,061.066","13,075.835","4,649.904","8,639.795",17.927.054,"3,383.000","11,899.000","9,100.602",560.000,"4,107.390",635.000,"3,833.240","34,228.900","189,104.400",-
伝染病予防費補助,,,,,,114.954,857.717,"2,896.058",612.270,"1,943.421","9,061.066","4,597.835","4,649.904",-,-,-,-,0.000,-,"3,547.390",-,"3,133.240","2,863.900","5,164.400",-
下水道築造費補助,,,,,,,,,,,,"8,478.000",-,-,-,-,-,-,-,-,-,-,-,ー,-
工業補習学校補助,,,,,,,,,,,,,,,400.000,550.000,620.000,560.000,560.000,560.000,635.000,700.000,"1,365.000",-,-
上水道拡張費補助,"48,889.000","24,444.000",-,-,-,-,-,一,-,-,-,-,-,-,-,-,一,-,-,-,-,-,"30,000.000","180,000.000",-
実業学校補助,,,,,,,,,,,,,,,,,,,,,,,一,"2,740.000",-
社会事業費補助,,,,,,,,,,,,,,,,,,,,,,,-,"1,200.000",-
土木費補助,,,,,,,,,,,,,,"8,639.795","17,527.054","2,833.000",11.279.000,"8,540.602",-,-,-,-,-,-,-
交付金,,,,,"2,447.232","3,712.160","4,365.947","4,297.959","7,987.693","11,647.027","12,205.163","12,549.533","13,562.573","12,881.003","15,657.978","20,380.661","17,176.957","15,400.458","14,069.545","14,596.371","24,567.580",26.219.820,"25,490.900","25,401.530",-
国庫交付金,,,,,"2,447.232","2,586.989","2,867.319","3,435.345","5,913.184","10,582.567","10,826.671","9,390.980","10,356.100",10.074.840,"12,125.160","11,904.290",13.306.470,12.268.030,10.650.440,"10,769.400",18.969.140,21.506.520,"15,685.810","15,189.900",-
地方費交付金,,,,,,"1,125.171","1,498.628",862.614,"2,074.509","1,064.460","1,378.492","3,158.553","3,206.473","2,806.163","3,532.818","8,476.371","3,870.487",3.132.428,3.419.105,3.826.971,5.598.440,4.713.300,"9,805.090",10.211.630,-
区税,"96,577.169","102,945.345","56,205.710","39,288.527","145,032.006","147,206.525","148,822.040","175,972.120","130,961.210","135,020.345","194,212.310","134,366.530","152,283.945","176,224.855","184,237.400","209,100.005","219,482.255","219,338.810","240,621.545","267,245.210","372,149.410","297,812.890","846,392.140","957,069.430","237,696.670"
地価割,"1,614.964",1.614.200,807.310,-,"5,805.791","5,769.508",5.804.620,"5,792.170","5,796.050","3,474.680","3,488.680","6,741.435","6,720.195","10,268.315","9,613.855","12,029.030","14,171.515","14,853.945","17,250.895","17,547.570","17,569.290",12.738.900,"51,510.710","60,888.890","1,252.720"
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
