歳　　出　　臨　　時　　部,人正11.8-12.3,大正12,大正13,大正14,昭和元,昭和２,昭和３,昭和４,昭和５,昭和６,昭和７,昭和８,昭和９,昭和10,昭和11,昭和12
特別会計函館病院費補充金,,"50,000.000",-,"44,000.000","3,800.000",-,-,-,-,-,-,-,-,-,-,-
伝染病院新築費,,,,,,,,,,,,,,"5,765.810","74,188.010",-
伝染病院新築費,,,,,,,,,,,,,,"5,765.810","74,188.010",-
青年会館建設費,,,,,,,,,,0.000,"17,401.290","33,630.030","6,653.000",-,-,-
青年会館建設費　昭和9ｮﾘ設備費,,,,,,,,,,0.000,"17,401.290","33,630.030","6,653.000",-,-,-
警備費,,,,,"33,560.170","14,887.000","28,222.110","12,448.170","8,353.360","9,025.670","3,434.620","2,601.960","39,208.500","1,851.000",-,-
警備費　昭和9ｮﾘ火防費,,,,,33.560.170,"14,887.000","28,222.110","12,448.170","8,353.360","9,025.670","3,434.620",-,"39,208.500","1,851.000",-,-
建築費,,,,,,,,,,,,"2,601.960",-,-,-,-
雑支出,,,,,"1,003.470","2,200.000",371.790,100.000,87.970,689.180,0.130,"180,801.415",688.576.405,"3,612.790","6,005.010","86,249.960"
雑支出,,,,,,,,,,,,"20,516.570","6,110.290","3,612.790","6,005.010",271.920
過年度支出,,,,,"1,003.470","2,200.000",371.790,100.000,87.970,689.180,0.130,-,-,-,-,-
前年度歳入繰上金,,,,,,,,,,,,"160,284.845","682,466.115",一,-,"85,978.040"
行幸並陸軍特別大演習諸費,,,,,,,,,,,,,,,"103,799.560",-
行幸並陸軍特別大演習諸費,,,,,,,,,,,,,,,103.799.560,-
土地交換費,,,,,"7,173.670",-,-,-,-,-,-,-,-,-,-,-
土地交換費,,,,,"7,173.670",-,-,-,-,-,-,-,-,-,-,-
函館飛行場建設費本年度支出額,,,,,,,,,,,,,,,,
函館飛行場建設費本年度支出額,,,,,,,,,,,,,,,,
花柳病診療所建設費,,,,,,,,,,,,,,,,
花柳病診療所建設費,,,,,,,,,,,,,,,,
事変諸費,,,,,,,,,,,,,,,,
応召物補充員給,,,,,,,,,,,,,,,,
諸費,,,,,,,,,,,,,,,,
表彰費,,,,,,,,,,,,,,,,
表彰費,,,,,,,,,,,,,,,,
特別会計社会事業資金戻入金,,,,,,"1,565.080","12,207.000",-,-,-,-,-,-,-,-,-
特別会計社会事業資金戻入金,,,,,,"1,565.080","12,207.000",-,一,-,-,-,-,-,-,-
区未払金,"15,928.500",-,-,-,-,-,-,-,ー,-,-,-,-,-,-,-
区未払金,"15,928.500",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
恩賜就学奨励交付金,,,,"2,000.000",-,-,-,-,-,-,-,-,-,-,-,-
恩賜就学奨励交付金,,,,"2,000.000",-,-,-,-,-,-,-,-,-,-,-,-
寄付金,"19,136.000","19,136.000",-,"10,000.000","5,000.000","5,000.000","5,000.000","5,000.000",-,"3,488.000","3,235.000","3,235.000","3,903.000","3,851.000","3,930.000","2,999.000"
寄付金,"19,136.000","19,136.000",-,"10,000.000","5,000.000","5,000.000","5,000.000","5,000.000",-,"3,488.000","3,235.000","3,235.000","3,903.000","3,851.000","3,930.000","2,999.000"
合　計,",883,294.210","2,324,438.580","1,200,207.630","932,747.300","1,351,593.450","1,982,702.730","2,514,846.940","1,374,879.950","1,820,483.120","1,577,504.590","1,948,810.120","5,962,086.065","2,238,381.115","4,613,116.590","1,830,605.600","1,256,954.340"
歳出の部通計,"2,621,739.590","3,543,704.540","2,337,1〔32.445","2,172,052.475","2,655,336.930","3,351,003.630","3,351,003.630","2,782,759.930","3,237,550.940","2,944,685.770","3,343,357.980","7,322,013.205","3,638,491.225","6,061,155.770","3,350,092.520","2,826,695.190"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
