,昭和37,昭和38,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54,昭和55
工事受託収入,"19,681,713","28,605,997","33,409,841","37,137,440","40,016,670","39,675,350","21,117,740","13,603,085","13,025,334","7,042,470","8,005,400","9,003,725",-,-,-,-,-,-,-
過年度収入,"3,378,197","2,896,938",一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
雑入,"1,762,176","2,000,000",-,"1,446,161","55,290","34,976","63,382","61,327","24,608","18,054","218,090","5,115,367","776,396","211,389","26,542,466","446,199,230","279,541,238","362,320,582","359,060,680"
市債,"64,000,000","61,000,000","63,000,000","70,000,000","84,000,000","105,900,000","113,100,000","128,000,000","151,200,000","255,000,000","374,200,000","524,100,000","690,000,000","644,300,000","775,100,000","1,045,600,000","1,415,500,000","1,962,200,000","2,726,700,000"
下水道事業債,"64,000,000","61,000,000","63,000,000","70,000,000","84,000,000","105,900,000","113,100,000","128,000,000","151,200,000","255,000,000","366,600,000","524,100,000","690,000,000","644,300,000","775,100,000","1,045,600,000","1,415,500,000","1,962,200,000","2,726,700,000"
下水道施設災害復旧債,,,,,,,,,,,"7,600,000",-,-,-,-,-,-,-,-
繰越金,"2,387,000",-,-,-,"1,750,000",-,-,"1,661,515","2,957,750","3,386,024","7,966,502","14,799,357","∠10,736,032","776,570",０,０,"9,163,197","18,513,299","9,564,245"
歳入合計,"242,547,353","252,338,666","282,738,559","332,262,280","378,890,174","433,561,336","∠169,033,803","511,922,684","600,392,662","827,383,775","1,150,010,134","1,430,198,466","2,023,462,094","2,140,127,769","2,500,523,038","3,290,252,764","3,992,301,838","5,162,244,345","5,977,080,905"
歳出の部,,,,,,,,,,,,,,,,,,,
公共下水道費,"221,233,373","225,834,019","218,636,005","256.772,481","295,791,328","345,302,317","388,571,110","429,073,116","506,483,748","718,391,208","1,014,841,465","1,236,224,611","1,826,138,470","1,909,619,736","2,206,007,903","2,456,916,489","3,047,670,187","4,064,713,049","4,683,927,269"
下水道事業費昭和39ｮﾘ管理費,"221,233,373","225,834,019","27,836,705","37,327,186","39,660,744","52,678,861","59,773,414","66,905,961","82,460,608","96,514,075","115,111,155","163,238,474","488.823,466","660,493,359","631,213,844","322,671,180","404,827,237","391,69〔3,627","722,644,553"
管理費昭和39ｮﾘｰ般管理費,"21,519,476","18,555,158","23,569,697","26,411,017","31,111,215","38,679,748","50,023,974","57,405,980","66,913,399","79,031,165","93,336,150","120,450,445","163,396,264","204,287,443","210,666,922","23,787,880","48,678,848","41,165,958","45,084,647"
水洗化等促進費,,,,,,,,,,,,,"158,497,225","203,898,766","117,250,958","151,371,000","178,828,171","146,565,358","362,850,000"
維持管理費,,,"4,267,008","10,916,169","8,549,529","13,999,113","9,749,440","9,499,981","14,822,745","16,539,000","20,830,005","27,919,067","23,215,975","28,814,754","31,093,670","37,782,000","44,982,900","43,935,000","51,842,000"
終末処理場管理費,,,,,,,,,"724,464","943,910","945,000","14,073,032","142,322,574","219,898,800","269,868,400","106,194,000","121,217,849","146,027,966","240,812,198"
ポンプ場管理費,,,,,,,,,,,,"795,930","1,391,428","3,593,596","2,333,894","3,536,300","11,119,469","13,996,345","22,055,708"
施設整備事業費,,,"190,799,300","219,445,295","256,130,584","292,623,456","310,079,809","362,167,155","424,023,140","621,877,133","890,664,992","1,067,301,137","1,333,815,004","1,249,126,377","1,574,794,059","2,134,245,309","2,642,842,950","3,673,022,422","3,961,282,716"
管渠整備事業費,"179,910,891","178,505,439","190,799,300","219,445,295","233,263,838","253,394,868","207,734,174","239,201,976","290,445,439","373,032,616","476,056,117","434,664,372","812,604,812","1,013,275,391","1,316,338,181","1,539,587,347","1,897,630,458","2,382,022,422","2,243,885,354"
終末処理施設整備費,,,,,"22,866,746","34,308,081","94,600,000","119,981,215","130,877,701","233,873,467","401,621,000","593,314,000","361,363,599","235,850,986","258,455,878","594,657,962","745,212,492","1,291,000,000","1,712,000,000"
流域下水道整備事業費,,,,,,,,,,,,,,,,,,,"5,397,362"
排水路整備費,,,,,,"4,920,507","7,745,635","2,983,964","2,700,000","14,971,050","12,987,875","39,322,765","131,728,303",-,-,-,-,-,-
浸水対策事業費,,,,,,,,,,,,,"28,118,290",-,-,-,-,-,-
下水道災害復旧費,,,,,,,"18,717,887",-,ー,-,"9,065,318","5,685,000","3,500,000",-,-,-,-,一,-
応急復旧費,,,,,,,"1,731,548",-,-,-,-,-,-,-,-,-,-,-,-
下水道施設災害復旧費,,,,,,,"16,986,339",-,-,-,"9,065,318","5,685,000","3,500,000",-,-,-,-,-,-
排水設備受託工事費,,,"33,497,894","36,874,227","40,299,958","39,271,469","20,963,053","13,518,588","12,975,700","6,999,800","8,000,000","9,000,000",-,-,-,-,-,-,-
受託工事費,"19,737,556","28,770,922","33,497,894","36,874,227","40,299,958","39,271,469","20,963,053","13,518,588","12,975,700","6,999,800","8,000,000","9,000,000",一,-,-,-,-,-,-
諸支出金,,,"4,494","26,157","44,148","13,230","10,972","1,165","9,625","479,019","1,535","3,150","6,548",31>374,"2,555","31,780","12,585",０,25.262
過年度支出金,"65,450","2,500","4,494","26,157","44,148","13,230","10,972","1,165","9,625","479,019","1,535","3,150","6,548","31,374","2,555","31,780","12,585",０,"25,262"
職員費,,,,,,,,,,,,,,,,"457,918,686","478,540,069","504,287,613","561,455,191"
一般部局職員費,,,,,,,,,,,,,,,,"457,918,686","478,540,069","504,287,613","561,455,191"
公債費,"21,313,980","26,504,647","30,600,166","36,839,415","42,754,740","48,974,320","57,827,153","66,372,065","77,537,565","93,547,246","112,367,777","144,234,673","196,540,506","230,476,659","294,512,580","366,222,612","447,565,698","583,679,438","730,260,837"
元金,"19,845,507","25,176,407","9,509,539","11,889,681","13,594,772","15,604,591","18,230,330","21,386,587","25,117,290","31,473,698","35,001,743","41,700,212","54,614,198","50,435,434","67,736,943","82,822,769","106,564,773","155,499,958","169,066,233"
利子,"1,468,473","1,328,240","21,090,627","24,949,734","29,159,968","33,369,729","39,596,823","44,985,478","52,420,275","62,073,548","77,366,034","102,532,969","141,923,599","180,041,225","226,692,076","282,320,358","340,953,865","428,086,650","561,107,655"
公債諸費,,,,,,,,,,,,"1,492","2,709",-,"83,561","1,079,485","47,060","92,830","86,949"
歳出合計,"242,547,353","252,338,666","282,738,559","330,512,280","378,890,174","433,561,336","467,372,288","508,964,934","597,006,638","819,417,273","1,135,210,777","1,389,462,434","2,022,685,524","2,140,127,769","2,500,523,038","3,281,089,567","3,973,788,539","5,152,680,100","5,975,668,559"
差引（歳入一歳出）,０,０,０,"1,750,000",０,０,"1,661,515","2,957,750","3,386,024","7,966,502","14,799,357","40,736,032","776,570",０,０,"9,163,197","18,513,299","9,564,245","1,412,346"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
