歳　入　　の　　部,昭　和　15,昭　和　16,昭　和　17,昭　和　18,昭　和　19,昭　和　20,昭　和　21
生活保護費補助,,,,,,,"3,229,003.57"
道路特別整備費補助,,,,,,,"723,332.00"
失業応急救済事業費補助,,,,,,,"4,564.80"
越冬資金補助,,,,,,,"1,099,293.00"
国勢調査費補助,"4,524.00",-,-,-,-,-,-
利子補給金,"78,582.78","130,366.33","123,263.12",115.750.00,"107,507.48","18,128.60","12,412.39"
花柳病診療費補助,"1,045.00",964.00,485.00,513.00,1.707.00,0.00,-
農地関係調整処理補助,30.00,0.00,-,-,一,-,一
産業費補助(農地調整),,,30.00,50.00,-,-,-
戦時勤勉手当費補助,,,31.981.00,"7,972.00","29,058.76","19,141.00",-
体力向上費補助,,,280.00,-,-,-,-
振興費補助,,,,925.00,-,-,-
妊産婦保護費補助,,,,1.874.00,-,-,-
企業整備実施費補助,,,,800.00,-,-,-
町内会整備助成費補助,,,,,,"65,600.00","57,580.00"
商業学校転換費補助,,,,,"5,100.00",-,-
疎開事業費補助昭和21ｮﾘ疎開復地費,,,,,,"167,923.50","104,586.00"
疎開跡地費補助,,,,,,,
特別賞与費補助,,,,,,"58,980.00",-
勤続手当費補助,,,,,,"14,218.00",-
臨時物価手当費補助,,,,,,"84,800.00",-
貯蓄奨励事務従事職員設置補助,,,,,"4,500.00","4,500.00","2,980.00"
職員給与改善費補助昭和21ｮﾘ待遇改善費,,,,,"27,359.00",-,"2,756,751.00"
盲唖院費補助,,,,,,,
新制中学校設備費補助,,,,,,,
下水道復旧費補助,,,,,,,
庶民住宅建設費補助,,,,,,,
連絡街路整備費補助,,,,,,,
生産都市再建整備費補助,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
