,昭和23,昭和24,昭和25,昭和26,昭和27,昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35
諸使用料,"377,632","733,536","2,770,354","949,865","1,175,032","123,790","84,200","41,100",-,-,-,-,-
産業経済使用料,,,,,,,,,,,,,
手数料,"12,340,507","23,480,992","32,072,630","37,918,027","58,262,876","62,443,073","61,007,376","64,775,674","76,714,705","80,481,808","81,026,569","84,018,320","85.773,631"
汚水処理手数料,"10,571,381","16,168,832","22,389,865","27,197,247","43,022,019","45,352,416","45,029,877","47,787,733","57,757,525","58,426,600","58,438,165","61,138,665","62,602,870"
戸籍手数料,"272,948","704,893","817,285","1,464,866","3,937,179","4,336,905","4,755,950","4,881,080","5,633,000","7.615,950","8.313,390","8,497,520","9,358.570"
保健衛生手数料,,,,,,,,,"5.924,134","6,565,216","6,187,634","6,801,924","6,020,939"
保健所手数料,"151,814","1,276,700","3,152,200","4,127,022","3,594,772","4,560,366","3,977,377","5,495,207",-,-,-,-,-
建築手数料,,,,"68,600","397,800","537,450","476,660","719,400","938,300","960,300","962,200","1,150,000","1,488,600"
諸手数料,"1,344,363","5,330,567","5,713,280","5,060,292","7,311.106","7,655,936","6,767,512","5,892,254","6,461,746","6,913,742","7,125,180","6,430,211","6,302,652"
国庫支出金,"62,235,146","133,117,322","178,827,310","205,158,337","161,076,523","206,054,374","266,591,834","325,141,370","333.562,221","384,122,201","439,444,687","488,617,585","545,480,890"
国庫負担金,,"502,727","1,632,118","106,798","94,235,163","118,313,396","155,548,240","168,465,719","164,018,795","165,646,460","167,246,122","186,855,269","232,830,622"
土木費負担金,,,,,,"861,771",-,-,-,-,一,-,-
社会及び労働施設費負担金,,,,,"92,406,400","110,700,225","150,943,934","158,943,219","159,793,393","163,327,060","162,620,123","182,068,586","225,494,942"
統計費負担金,,,,,"81,310","254,110","175,600","1,213,830",167.720,"266,926","324,611","448,128","2,420,070"
産業経済費負担金,,,,,,"566,500","64,200","334,400","240,800","171,700","83,900","63,400","54,200"
教育費負担金,,,,,,"3,163,590","1,924,706","7,974,270","1,842,882","1,873,036","2,341,180","2,681,397","2,695,872"
人口動態調査費負担金,,"14,526","14,526","14,726","15,290","15,400",-,-,-,7.738,"7,488","10,758","11,277"
税関負担金,,"5,000","5,000",-,-,-,-,-,-,-,-,-,-
政治資金負担金,,"93,600",-,-,-,-,-,一,-,-,-,-,-
民生委員費負担金,,"73,601",-,-,-,-,-,-,-,-,-,-,-
選挙人名簿負担金,,"265,000",-,-,-,-,-,-,ー,-,-,-,-
選挙費負担金,,"51,000",-,-,"1,732,163","2,751,800","2,439,800",-,"1,974,000",-,"1,868,820","1,583,000","2,154,261"
参議院議員選挙費負担金,,,"1,515,101",-,-,-,-,-,-,-,-,-,一
農地委員会委員選挙費負担金,,,,"92,072",-,-,-,-,-,-,-,-,-
函館湾海区漁業調整委員会委員選挙負担金,,,"97,491",-,-,-,-,-,-,-,-,-,-
交付金,"1,186,252",-,-,-,-,-,-,-,-,-,-,-,-
海運局交付金,"6,000",-,-,-,-,-,-,-,一,-,-,-,-
選挙費交付金,"859,823",-,-,-,-,-,-,-,-,-,-,-,-
最高裁判所裁判官国民審査費交付金,"320,429",一,-,-,-,-,-,-,-,-,-,-,-
国庫補助金,"61,048,894","132,614,595","177,195,192","205,051,539","66,670,070","87,598,178","110,841,889","156,560,671","169,358,016","218,266.449","271,780.855","301,470.556","312,271,888"
渉外費補助,"80,000",０,０,-,-,-,-,-,-,-,-,-,-
利子補給金,０,"3,419",-,-,-,-,ー,-,-,-,-,-,-
戸籍費補助,,,,,"726,808",-,-,-,-,-,-,ー,-
統計費補助,"601,381","939,583","1,285,120","142,502",-,-,-,-,-,-,-,-,-
港湾調査費補助,,０,"60,000",-,-,-,-,-,-,-,-,-,-
生活保護費補助,"23,590,827","42,792,937","77,884,427","90,239,000",-,-,-,-,-,-,-,-,-
母子寮買収費補助,,,"2,912,804",-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
