,大正11.8-12.3,大正12,大正13,大正14,昭和元,昭和２,昭和３,昭和４,昭和５,昭和６,昭和７,昭和10,昭和11,昭和12,昭和13,昭和14
害虫駆除費,,,,,,,,,,,,,,,,30.00
農地委員会費,,,,,,,,,,,,,,,,128.80
経済更生実施費,,,,,,,,,,,,,,,,120.00
史蹟保存費　昭和４ｮﾘ史蹟名勝記念物保存費,,,,,445.000,164.650,66.200,91.600,81.400,73.500,0.000,44.200,0.000,0.000,0.00,28.60
史蹟保存費,,,,,445.000,164.650,66.200,91.600,81.400,73.500,0.000,44.200,0.000,0.000,0.00,28.60
公会堂費,"1,508.550","3,262.130","3,353.850","3,071.870","2,954.620","2,646.840","2,893.240","2,097.400","4,811.690","4,614.930",962.730,-,ー,-,-,一
公会堂費,"1,508.550","3,262.130","3,353.850","3,071.870","2,954.620","2,646.840",2.893.240,-,-,-,-,-,-,ー,-,-
給料,,,,,,,,660.000,660.000,609.000,456.000,-,-,-,-,-
雑給,,,,,,,,532.110,541.830,872.100,142.200,-,-,ー,-,-
需用費,,,,,,,,487.830,395.600,318.780,308.850,-,-,-,-,-
修繕費,,,,,,,,417.460,"3,214.260","2,815.050",55.680,-,-,-,-,-
青年会館費,,,,,,,,,,,,,,"4,701.750","4,894.83","2,742.64"
給料,,,,,,,,,,,,,,186.660,492.00,536.00
雑給,,,,,,,,,,,,,,14.000,52.00,59.00
需用費,,,,,,,,,,,,,,"2,307.990","3,851.38","1,744.47"
修繕費,,,,,,,,,,,,,,"2,193.100",499.45,403.17
慰霊堂費,,,,,,,,,,,,,,,489.06,"1,673.88"
慰霊堂費,,,,,,,,,,,,,,,489.06,"1,673.88"
公金取扱費,"1,780.000","2,260.000","2,260.000","2,260.000","2,260.000","2,260.000","2,260.000","3,394.500","3,338.100","2,863.450","2,817.780","2,828.660",3.237.740,"2,872.910","2,715.85","2,060.00"
公金取扱費,"1,780.000","2,260.000","2,260.000","2,260.000","2,260.000","2,260.000","2,260.000","2,260.000","2,260.000","2,260.000","2,260.000","2,260.000","2,260.000","2,060.000","2,060.00","2,060.00"
徴収金,,,,,,,,"1,134.500","1,078,100",603.450,557.780,568.600,977.740,812.910,655.85,-
雑支出,"20,249.960","35,729.740",48720.530,"46,918.350","48,121.930","46,552.620","45,424.890","37,725.100","42,971.670","53,626.520","44,688.870","65,246.390","49,790.640","40,424.810","37,587.29","39,552.18"
物揚場諸費,"2,262.030","4,130.430","4,099.710","4,100.050","4,171.280","4,553.100","5,202.280","4,236.620","4,312.560","3,568.360",-,-,-,-,-,-
午報及点灯費,490.550,"1,026.540",976.830,607.420,703.800,478.560,525.400,416.710,424.270,423.790,-,31.550,27.000,36.000,312.00,30.90
滞納処分費,74.600,106.800,48.700,146.000,19.900,21.200,0.000,8.000,13.500,14.500,0.700,0.000,0.000,0.000,0.00,0.00
過誤納払戻,429.180,"1,869.720","6,385.250",733.030,"2,287.630","4,628.610","7,143.190","3,019.320","1,154.040",-,-,-,-,-,-,-
過年度支出,,,,,,,,,,"4,994.040","4,271.470","15,911.970","8,503.470","1,967.210",999.58,"1,440.66"
繰替金,"16,338.330","28,059.010","31,170.350","35,982.000","36,510.080","33,133.630","29,675.280","30,044.450","29,120.710","30,092.740","25,657.100","32,528.850","34,453.080","36,708.600","36,275.71","38,080.62"
一時借入金利子,0.000,0.000,"4,133.670","3,775.870","2,793.690","2,394.670","1,737.400",0.000,"7,946.590","14,533.090","14,759.600","16,774.020","6,807.090","1,713.000",-,-
交付金,655.270,537.240,"1,806.020","1,573.980","1,635.550","1,342.850","1,141.340",-,-,-,-,-,-,-,-,-
訴訟費,,,100.000,0.000,0.000,0.000,0.000,-,-,-,-,-,-,-,-,-
表彰賈　昭和4ｮﾘ地方改良賈,,,,,,,"3,054.800",421.220,386.900,239.500,249.900,297.000,328.320,289.380,262.50,257.04
市報費,,,,,,,,421.220,386.900,239.500,249.900,297.000,328.320,289.380,262.50,257.04
表彰費,,,,,,,"3,054.800",-,-,-,-,-,-,-,-,-
防空費,,,,,,,,,,,,,,921.960,"7,503.06","24,921.93"
防空委員会費,,,,,,,,,,,,,,48.550,67.55,199.00
防空諸費,,,,,,,,,,,,,,873.410,"7,435.510","24,722.93"
花柳病診療所費,,,,,,,,,,,,,,,"2,497.10","7,666.34"
給料,,,,,,,,,,,,,,,520.80,"3,234.00"
雑給,,,,,,,,,,,,,,,449.98,"2,283.91"
需用費,,,,,,,,,,,,,,,"1,506.14",2.139.68
修繕費,,,,,,,,,,,,,,,20.18,8.75
合　計,738.445.380,"1,219,265.960","1,136,894.815","1,239,305.175","1,303,743.480","1,368.300.900","1,440,962.860","1,407,879.980","1,417,067.820","1,367,181.180","1.394,547.860","1,448,039.180","1,519,486.920","1,569,740.850","1,722,422.21","2.034,971.61"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
