,昭和23,昭和24,昭和25,昭和26,昭和27,昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35
寄付金(一般及び指定),"2,286,748","2,523,440","1,147,773","2,792,842","363,275","499,900","1,574,620","572,747","2,040,000","4,705,965","13,321,439","1,605,055","2,942,000"
繰越金,"905,381","742,959","9,075",０,０,-,"757,641","52,267,316","122,009,651","143,311,070","133,500,940","125,031,273","106,131,760"
繰越金,"905,381","742,959","9,075",０,０,-,"757,641","52.267,316","122,009,651","143,311,070","133,500,940","125,031,273","106,131,760"
前年度繰越金,"905,381","742,959","9,075",０,０,一,"757,641","52,267.316","122,009,651","143,311,070","133,500,940","125,031,273","106,131,760"
雑収入,"20,436,237","51,455,724","53,353,851","46,511,581","77,239,707","112,964,021","127,944,942","101,534,700","99,571.967","119,966,729","133,901,428","154,937,052","173,996,541"
受託収入,,"2,500,000",-,-,-,-,-,-,-,-,-,一,-
受託工事収入,,"2,500,000",-,-,-,-,-,-,-,-,-,-,-
納付金,,,"497,132","631,095","1,734,756","2,220,361","2,732,667","4,180,666","4,438,039","4,931,632","4,987,996","5,307,283","6,338,889"
恩給納付金,,,"497,132","631,095","1,734,756","2,220,361","2,732,667","4,180,666","4.438,039","4,931,632","4,987,996","5,307,283","6,338,889"
弁償金及び報償金,"164,334","86,675","123,354","154,442","226,952","2,226,980","1,980,415","2,324,931","2.451,283","2,630,473","2,822,096","3,083,670","3,178,299"
電気報償金　昭和28ｮﾘ報償金,"164,334","70,000","70,000","70,000","70,000","2,226,980","1,980,415","2,324,931","2,451,283","2,630,473","2.822,096","3,083,670","3,178,299"
ガス報償金,,"16,675","53,354","84,442","156,952",-,-,-,-,-,-,-,-
物品売払収入,,"258,268","1,351,478","4,547,111","4,890,031","5,833,062","4,819,417","7,034,185","5.376,404","5,993.657","5.890,329","8,642,085","6,128,208"
不用品売払代金　昭和27ｮﾘ物品売払収入,,"130,648","299,978","738,907","4,890,031","5,833,062","4,819,417","7,034,185","5,376,404","5,993,657","5,890,329","8,642,085","6,128,208"
屎尿売払代金,,"127,620","1,051,500","3,129,855",-,-,-,-,-,-,-,一,-
葬具売払代金,,,,"678,349",-,-,-,-,-,-,-,-,-
繰替金戻入,"8,834,202","17,595,519","1,456,772","7,302","2,916",０,"11,381.772",０,"95,022","9,265","34,156",雑入へ,
繰替金戻入,"8,834,202","17,595,519","1,456,772","7,302","2,916",０,"11,381,772",０,"95,022",9.265,"34,156",,
製薪炭事業収入,"88,399",-,-,-,-,-,-,-,-,-,-,-,-
製薪炭事業収入,"88,399",-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
