,R1.4-23.3,明治23,明治24,明治25,明治26,明治27,明治28,明治29,明治30,明治31,32.4-32.9,32.10-33.3,明治33,明治34,明治35,明治38,明治39,明治40,明治41,明治42,明治43
豊川町元常備倉払下代,"7,000.000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,一,-
通常共有金へ補給,483.155,-,-,-,-,-,"5,327.171",-,-,一,-,-,-,-,-,-,-,-,-,-,-
皇太子慶事献納品諸費,,,,,,,,,,,,,"1,126.650",-,-,-,-,-,-,-,一
当該年度歳入雑収入へ組替額,,,,,,,,,,,,,"62,011.313","12,263.913",-,"35,400.000",-,-,-,-,-
消支金,,,,,,,,,,,,,,,,,,,"131,812.930","31,247.460",-
台町路線改築費の内棄損分,,,,211.085,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
計,"64,737.760",-,-,211.085,-,-,"5,327.171",-,"5,640.329","5,167.890",-,-,"63,137.963","12,263.913",-,"35,400.000",-,-,"131,812.930","31,247.460",-
現在基本金,"11,838.948","12,435.855","12,699.095","17,110.668","21,320.578","24,272.079","18,944.908","20,025.500","21,082.548","21,627.530","26,968.798","28,464.644","13,663.913","1,596.200","1,610.310","13,819.801","15,863.027","180,004.190","62,109.659","35,457.667","40,861.599"
内,,,,,,,,,,,,,,,,,,,,,
水道用品代繰替,,,,"4,236.348","3,686.150","3,185.099","3,185.099","2,197.257","1,419.242",-,-,-,-,-,-,-,-,-,-,-,-
防火機械購入費繰替,"10,699.831","10,699.831","10,099.831","3,307.500","2,707.500","2,107.500","2,107.500","1,507.500","1,507.500",-,-,-,-,-,-,-,-,-,-,-,-
台町路線改築費外二廉へ繰替,419.734,411.085,411.085,50.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
各ぐ｣ヽ学校火災保険料繰替,,141.810,289.580,147.770,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
旧貸付金整理分編入,,,,219.371,23.000,11.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
点鐘場建築費へ繰替,,,,,50.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
水道増築費へ繰替,,,,,500.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
増設水道公借金利子繰替,,,,,,,"6,414.166",-,-,-,-,-,-,-,-,-,-,-,-,-,-
港湾工事公借募集経費繰替,,,,,,,,2.069.120,"2,069.120","2,069.120","2,069.120","2,069.120",-,-,-,一,-,-,-,-,-
港湾工事用費用繰替,,,,,,,,101.930,-,-,一,-,-,-,-,-,-,-,-,-,-
改良工事費繰替,,,,,,,,,,,"14,030.348","14,030.348",-,-,-,-,-,-,-,-,-
翳29区費建物割不足額繰替,,,,,,,,"2,241.148","2,241.148",-,-,-,-,-,-,-,-,一,-,-,-
翳32区費へ繰替,,,,,,,,,,,,"5,528.062",-,-,-,-,-,-,-,-,-
軍事公債証書,,,,,,,,,,,,"1,400.000","1,400.000","1,400.000","1,400.000","1,400.000","1,400.000","1,400.000","1,400.000","1,400.000",-
国債,,,,,,,,,,,,,,,,,,"10,000.000",-,-,-
特別政府公債,,,,,,,,,,,,,,,,,,"3,800.000","3,800.000","3,800.000","3,800.000"
政府公債,,,,,,,,,,,,,,,,,,,"11,650.000","11,650.000","11,650.000"
水道起業費公借証書,,,,,,,,,,,,,,,,,,175.000,-,-,-
整理公債,,,,,,,,,,,,,,,,,,900.000,900.000,900.000,-
港湾工事公借金利子繰替,,,,,,,,"2,767.945",-,-,-,-,-,-,-,-,-,-,-,-,-
定期預ヶ金(113銀行）,,,,"8,118.201","12,478.740",-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-
当座預ヶ金(113銀行）,,,,"1,031.478","1,875.188","18,968.480","7,233.968","9,140.600","13,845.538","19,558.410","10,869.330","5,437.114","12,263.913",196.200,210.310,"12,419.801","14,463.027","163,729.190","44,359.659","17,707.667","25,411.599"
現金,719.383,"1,183.129","1,898.599",-,-,-,4.175,-,-,-,~,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
