,昭和25,昭和26,昭和27,昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35,昭和37,昭和38
諸費,,"442,184",事業費へ,,,,,,,,,,
交際費,,"442,184",,,,,,,,,,,
諸支出金,"46,464","11,667,717.7","25,000,000","15,130,565","15,108,430","15,084.295","31,625,495","53,187,840","53,121,810","78,153,920","78,160,840","115,172,885","131,185,310"
繰出金,,"7,000,000","25,000,000","15,000,000","15,000,000","15,000,000","31,500,000","53,000,000","53,000,000","78,000,000","78,000,000","115,000,000","131,000,000"
他会計へ繰出,,"7,000,000","25,000,000","15,000,000","15,000,000","15,000,000","31,500,000","53,000,000","53,000,000","78,000,000","78,000,000","115,000,000","131,000,000"
繰上充用金,,"3,755,715.7",-,-,-,-,-,-,-,-,-,-,-
繰上充用金,,"3,755,715.7",-,一,-,ー,-,-,-,-,-,-,-
職員厚生費,"46,464","44,859",０,"45,415","108,∠130","84,295","125,495","187,840","121,810","153,920","160,840","172,885","185,310"
職員厚生費,"46,464","44,859",０,"45,415","108,430","84,295","125,495","187,840","121,810","153,920","160,840","172,885","185,310"
過年度支出金,,"867,143",-,"85,150",-,-,-,一,-,-,-,-,-
過年度支出金,,"867,143",-,"85,150",-,-,-,-,-,-,-,-,-
歳出合計,"166,467,784","329,428,635","437,921,203","513,108,623","556,856,270","547,120,911","651.415,317","759,726,055","796,940,906","851,272,013","822,624,871","1,207,536,816","1,343,461,936"
差引（歳入一歳出）,０,０,０,０,０,０,０,０,０,０,０,０,０
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
