,昭和27(28.1-3),昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35,昭和36,昭和37,昭和38,昭和39,昭和40,昭和41,昭和42,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54
不足額補填資金,,,,,"69,251,503","68,347,911","53,037,863","75,243,227","67,279,658","81,271,297","70,438,890","71,996,003","74,792,358","82,454,045","111,583,300","87,585,011","109,705,829","87,760,109","115,007,282","111,449,303","170,066,099","262,978,734","298,592,541","278,586,231","278,038,600","208,527,789","184,637,836"
損益勘定保留資金,,,,,"52,657,660","48,101,087","48,751,454","45,551,276","40,983,942","63,188,980","67,981,077","46,861,655","6,989,962","21,475,581","11,677,328",-,-,-,-,-,-,"262,978,734",-,-,"89,017,172","19,506,361",-
繰越資金,,,,,,"19,282,047",-,"21,579,728","15,390,136","11,025,876",一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
繰越工事資金,,,,,"11,573,701",-,-,-,-,-,"2,457,813",-,". 1,475,701","1,722,089","21,559,840","3,170,000",-,-,"9,459,111",-,-,-,-,-,-,-,一
減債積立金,,,,,,,,"426,000",-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-
一時借入金,,,,,,,,,,,,"20,614,488","63,038,305","59,256,375","78,346,132","84,415,011","109,705,829","87,760,109","105,548,171","111,449,303","170,066,099",-,"298,592,541","89,564,803",-,-,-
繰越棚卸し資産,,,,,"5,020,142","964,777","4,286,409","7,686,223","10,905,580","7,056,441",-,"4,519,860","3,288,390",-,-,-,-,-,-,-,-,-,-,-,-,-,-
再建債償還元金の補助金,,,,,,,,,,,,,,,,,,,,,,,,"189,021,428","189.021,428","189.021,428","184,637,836"
貸借対照表,,,,,,,,,,,,,,,,,,,,,,,,,,,
資産の部,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定資産,"368.514,380","398,993,158","536,393,425","540,797,249","572,550,834","572,001,405","613,404,149","671,097,580","706,802,256","726,906,530","781,628,460","800,988,763","824,417,381","808,864,073","817,246,768","799,094,990","830,116,911","858,436,231","839,577,897","771,318,664","1,576,511,260","814.891,734","828,201,907","793,814,986","783,912,347","1,066,682,264","824,407,903"
流動資産,"25,157,003","36,238,420","38,791.060","64,183,207","77,504,772","57,126,600","66,765,032","62,531,763","53,084,645","55,262,172","65,118,714","33,195,798","36,757,903","32,395,233","28,959,090","35,161,197","51,375,625","43,781,551","38,710,018","58,512,518","187,144.255","195,049,457","192,791,129","175,948,449","170,658,021","190,865,598","189,394,340"
繰延勘定,,,,,,,,,,,,,,,,,,,,,,,,,,"387,818,258","290,863,693"
資産合計,"393,671,383","435,231,578","575,184,485","604,980,456","650,055,606","629,128,005","680,169,181","733,629,343","759,886,901","782,168,702","846,747,174","834,184,561","861,175,284","841,259,306","846,205,858","834,256,187","881,492,536","902,217,782","878,287,915","829,831,182","1,763,655,515","1,009,941,191","1,020,993,036","969,763,435","954,570,368","1,645,366,120","1,304,665,936"
負債の部,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定負債,,,,,,,,,,,,,,,,,"8,610,000","4,990,003","3,230,266","1,566,579","3,439,100,009","2,459,978,564","2,270,957,136","2,081,935,708","2,552,914,280","3,351,411,619","2,838,591,424"
流動負債,"10,739,173","13,286,095","10,611,553","13,514,098","22,363,961","11,422,677","13,737,565","18,255,218","15,821,273","22,348,451","38,368,902","30,934,502","103,937,658","139,131,319","238,232,945","348,655,774","884,834,321","1,179,474,617","1,812.105,979","2,707,650,933","833,917,415","778,127,567","1,461,993,116","2,127,852,317","1,555,099,653","1,014,657,552","589,368,668"
負債合計,"10,739,173","13,286,095","10,611.553","13,514,098","22,363,961","11,422,677","13,737,565","18,255,218","15,821,273","22,348,451","38,368.902","30,934,502","103,937,658","139,131,319","238,232,945","348,655,774","893,444,321","1.184,464,620","1,815,336,245","2,709,217,512","4,273,017,424","3,238,106,131","3,732,950,252","4,209,788,025","4,108,013,933","4,366,069,171","3,427,960,092"
資本の部,,,,,,,,,,,,,,,,,,,,,,,,,,,
資本金,"396,018,364","422,213,394","450,566,921","509,109,224","536,834,153","536,270,533","589,969,833","648,447,653","762,306,961","780,232,752","859,752,090","915,810,591","971,326,817","1,011,021,361","1,020,302,408","1,025,420,471","1,074,170,386","1,141,642,393","1,156,425,827","1,111,538,102","1,057,642,497","1,105,986,511","1,059,947,866","1,011,929,736","937,937.280","963,300,529","970,772,564"
自己資本金,"286,580,702","286,580.702","286.580,702","315,304,432","315,304,432","315,304,432","315,304,432","315,730,432","382,656,904","382,656,904","382,656,904","382,656,904","382,656,904","382,656,904","382,656,904","382,656,904","382,656,904","382,656,904","382,656,904","382.656,904","382,656,904","382,656,904","382,656,904","382,656,904","382,656,904","382,656,904","382,656,904"
借入資本金,"109,437,662","135,632.692","163,986,219","193,804,792","221,529,721","220,966,101","274,665,401","332,717,221","379,650,057","397,575,848","477,095,186","533,153,687","588,669,913","628,364,457","637,645,504","642,763,567","691,513,482","758,985,489","773,768,923","728,881,198","674,985,593","723,329,607","677,290,962","629,272,832","555,280,376","580,643,625","588,115,660"
剰余金,"△13,086,154","△267,911","114,006,011","82,356,934","90,857,492","81,434,795","76,461,783","66,926,472","△18,241,333","△20,412,501","△51,373,818","△112,560,532","△214,089,191","△308,893,374","△412,329,495","△539,820,058","△1,086,122,171","△1,423,889,231","△2,093,474,157","△2,990,924,432","△3,567,004,406","へ3,334,151,451","△3,771,905,082","△4,251,954,326","△4,091,380,845","△3,684,003,580","△3,094,066,720"
資本剰余金,,,"85.282,281","85,282,281","82,356,934","82,356,934","81,008,795","76,187,253",-,"5,695,239","8,618,730","2,661,046","2,500,000","5,623,000","18,734,540","7,871,000","13,020,000","6,075,000","6,896,319","5.980,000","23,772,000","22,908,000","83,542,691","34,730,328","77,552,771","192,156,751","278,678,965"
再評価積立金,,,"85,282,281","85,282,281",82.356.934,"82,356,934","81,008,795","76,035,783",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
他会計補助金,,,,,,,,,,,,,,,,,,,,,,,"25,311,330",-,-,"136,836,751","211,007,965"
国庫補助金,,,,,,,,,,,,,,,,,,,,,"17,100,000","22,230,000","23,400,000","23,625,000","10,611,000","54,180,000","64,800,000"
道補助金,,,,,,,,,,,,,,,,,,,,,,,,"3,121,598","3,252,735","1,140,000","2,400,000"
受贈財産評価額,,,,,,,,,,"5,667,525","6,858,230","2,500.000","2,500,000","5,623,000","14,094,000","7,871,000","13,020,000","6,075,000","6,896,319","5,980,000","6,672,000","678,000","7,491,361","7,983,730","63,689,036",-,"471,000"
固定資産評価益,,,,,,,,,,,,,,,"4,640,540",-,-,-,-,-,-,-,-,-,-,-,-
工事負担金,,,,,,,,,,,,,,,,,,,,,,,"27,340,000",-,-,-,-
その他資本剰余金,,,,,,,,"151,470",-,"27,714","1,760,500","161,046",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
利益剰余金又は欠損金,"△13,086,154","△267,911","28,723,730","△2,925,347","8,500,558","△922,139","△4,547,012","△9,260,781","△18,241,333","△26,107,740","△59,992,548","△115,221,578","△216,589,191","△314,516,374","△431,064,035","△547,691,058","△1,099,142,171","△1,429,964,231","△2,100,370,476","△2,996,904,432","△3,590,776,406","13,357,059,451","△3,855,447,773","△4,286,684,654","△4,168,933,616","△3,876,160,331","△3,372,745,685"
当年度純利益,,"12.806,107","28,991,604",一,"8,500,558",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"83,020,710","215,220,514","311.257,895"
繰越利益剰余金,,,,,,"13,336,147",-,-,"576,136",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
減債積立金,,,,,,"426,000","426,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
繰越欠損金年度末残高,,"△13,074,017","△267,874","△602,599",-,-,-,"△21,100",-,"△18,241,333","△20,412,501","△52,048,096","△116,578,673","△214,089,191","△309,813,211","△412,216,833","△759,350,517","△994,493,330","△1,424,143,418","△2,093,362,157","△2,910,594,610","へ2,595,645,632","△2,918,315,879","△3,765,392,474","△4,251,954,326","△4,091,380,845","△3,684,003,580"
当年度純欠損,"△13,086,154",-,-,"△2,322,748",-,"△14,684,286","△4,973,012","△9,239,681","△18,817,469","△7,866,407","△39,580,047","△63,173,482","△100,010,518","△100,427,183","△121,250,824","△135,474,225","△339,791,654","△435,470,901","△676,227,058","△903,542,275","△680,181,796","△761,413,819","△937,131,894","△521,292,180",,,
資本合計,"382,932,210","421,945,483","564,572,932","591,466.158","627,691,645","617,705,328","666,431,616","715,374,125","744,065,628","759,820,251","808,378,272","803.250,059","757,237,626","702,127,987","607,972,913","485,600,413","△11,951,785","△282,246,838","△937,048,330","△1,879,386,330","△2,509,361,909","^2,228,164,940","△2,711,957,216","△3,240,024,590","△3,153,443,565","△2,720,703,051","△2,123,294,156"
負債資本合計,"393,671,383","435,231,578","575,184,485","604,980,256","650,055,606","629,128,005","680,169,181","733,629,343","759,886,901","782,168,702","846,747,174","834,184,561","861,175,284","841,259,306","846,205,858","834,256,187","881,492,536","902,217,782","878,287,915","829,831,182","1,763,655,515","1,009,941,191","1,020,993,036","969,763,435","954,570,368","1,645,366,120","1,304,665,936"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
