,昭和23,昭和24,昭和25,昭和26,昭和27,昭和28,昭和29,昭和30,昭和31,昭和35,昭和36,昭和37,昭和38
市債,"35,510,000","60,100,000","64,900,000","90,200,000","95,500,000","83,700,000","99,300,000","116,360,000","125,300,000","117,700,000","120,100,000","94,300,000","119,000,000"
市債,"35,510,000","60,100,000","64,900,000","90,200,000","95,500,000","83,700,000","99,300,000","116.360,000","125,300,000","117,700,000","120,100,000","94,300,000","119,000,000"
教育債,,"12,000,000","25,000,000","45,700,000","53,500,000","38,000,000","31,700,000","8,000,000","29,000,000","35,000,000","48,500,000","25,000,000","73,500,000"
警察消防債　　昭和27ｮﾘ消防債,,,"7,000,000","9,000,000","4,000,000","2,000,000","3,000,000","5,360,000","1,800,000","5,700,000","15,100,000",16.600.000,"15,000,000"
普通土木債,,"7,000,000","14,900,000","7,500,000","4,000,000","10,000,000","12,000,000","5,000,000","24,000,000","47,000,000","8,000,000","14,000,000","10,000,000"
公共事業債,,,,,,,,"68,000,000","38,000,000",-,-,-,-
保健衛生債,,,０,-,"18,000,000","14,000,000","17,000,000","20,000,000","5,000,000","20,000,000","31,000,000","13,000,000","5,000,000"
冷害対策事業債,,,,,,,,,"2,000,000",一,-,-,-
災害復旧債,,"33,600,000","3,000,000","2,000,000",-,"2.700,000",-,-,"15,500,000",-,-,-,-
庁舎復旧費,,,,,,,,"10,000,000",-,-,-,-,-
社会及び労働施設債,,"7,500,000","15,000,000","26,000,000","16,000,000","17,000,000","19,000,000",-,-,"10,000,(〕00","14,000,000","10,700,000","12,000,000"
産業経済債,,,０,-,-,-,"5,600,000",-,-,０,"3,500,000",-,-
財産造成債,,,,,,,,,,,,"6,000,000","3,500,000"
転貸債,,,,,,,"5,500,000",-,-,-,０,"9,000,000",-
特例債,,,,,,,"5,500,000",-,-,-,-,-,-
借替債,,,,,,,,,"10,000,000",-,-,-,-
翌年度歳入繰上金,,,"62,973,198","145,580,459","63,125,391",-,-,-,-,-,-,-,-
歳入合計,"446,128,845","712,013,827","940,737,708","1,188,634,911","1,381,586,937","1,482,673,098","1,596,755,498","1,684,034,747","1,861,501,771","2,419,637,704","2,748,684,656","3,123,151,474","3,516,360,234"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
