,昭　　和　　23,昭　　和　　24,昭　　和　　25,昭　　和　　26,昭　和　27,昭　和　28,昭　和　29,昭　和　30,昭　和　31,昭　　和　　35,昭　　和　　36,昭　　和　　37,昭　　和　　38
林業費,"71,569.50","13,000.00",-,-,-,-,-,-,-,-,-,-,-
水産費,"534,020､50","1,260,139.30","2,619.038.00","5,096,677.00","7,996,524","28,269,855","21,953,870","8,603,817","9,768,211","15,638,166","24,812,603","34,121,979","41,482,731"
畜産費,"394,021.50","1,158,695.40","1,744,470.00","3,181,634.00","2,404,170",農林費へ,,,,,,,
開拓費,"180,479.22","219,371.00",-,-,-,-,-,-,-,-,-,-,-
馬込農場費,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-
物資需給費昭和25ｮﾘ食糧霄給費,"561,843.01","n6,555.00","19,833.00","900,390.00",-,-,-,-,-,-,-,-,-
食糧調整委員会費,"231,714.96",-,-,-,-,-,-,-,-,-,-,-,-
製薪炭事業費,"300,000.00",-,-,-,-,-,-,-,-,-,-,-,-
商工費,,,,"10,420,583.00","10,971,728","26,482,123","41,773,907","50,792,056","32,833,683","86,911,976","111,942,490","133,695,922","147,335,038"
商業費,"527,289.42","592,474.36","2,664,204.00",-,-,-,-,-,-,-,-,-,-
鉱工業費,"317,205.20","178,347.00","403,645.37",-,-,-,-,-,-,-,-,-,-
取引振興費,"1,025,639.35","244,729.10","90,972.00",-,-,-,-,-,-,-,-,-,-
観光費,"267,972.00","144,801.00","1,896,297.00","1,141,153.00","2,613,443",商工費へ,,,,,,,
家内工業振興費,,,,,,"1,137,961","647,565",-,-,-,-,-,-
計量行政費,,,,,,,,,,,,,"1,657,072"
眼鏡レンズ時計硝子工業振興費,,,,"5,286,697.00","1,029,191",-,-,-,-,-,-,-,-
開港記念行事費昭和33開港百年記念事業費,,"457,967.50","603,800.00","583,630.00","204,912",-,商工費へ,,,,,,
北洋博開催準備費昭和29北洋博交付金,,,,,"2,000,000","29,000,000","65,000,000",-,-,-,-,-,-
財産費,"52,989,134.69","88,458,436.34","9,342,883.30","9,315,786.00","13,739,029","19,058,632","13.496,963","22,495,766","42,835,723","55,493,495","92,180,488","70,659,232","57,890,635"
基本財産造成費,"65,226.10","262,657.40","1,184,495.00","286,110.00","112,964","734,621","1,074,837","1,333,949","2,275,400","14,527,129","24,584,065","6,726,125","6,240,574"
財産管理費,"5,595,886.68","14,233,589.23","5,497,629.30","5,892,895.00","9,025,469","10,024,920","10,222,126","13,349,118","12,272,933",-,-,"14,995,247","17,965,305"
財産買入費,"2,550,114.15","5,093,618.50","2,610,759.00","3,136,781.00","4,098,896","5,973.531",０,"153,999","1,060,252","2,548,404","47,656,823","33,037,860","15,784,756"
積立金,"5,363.24","6,004.46",-,-,-,-,-,"3,000,000","7,250,000","15,900,C〕00","15,900,000","15,900,000","17,900,000"
出資金,,,,,"501,700","2,325,560","2,200,000",-,-,"89,000","4,039,600",-,-
市有建物改修費昭和24建物建築費,"1,716,774.85","594,000.00",-,-,-,-,-,-,-,"7,586,424",-,-,-
市営住宅建築費,"10,772,278.94","28,572,604.21",-,-,-,-,-,-,-,-,-,-,-
新制中学校建築費昭和24整備費,"32,283,490.73","22,903,219.57",-,-,-,-,-,-,-,-,-,-,-
小学校建築費,,"3,801,522.97",-,-,-,-,-,-,-,-,-,-,-
小学校改造費,,"12,570,720.00",-,-,-,-,-,-,-,-,-,-,-
小学校復旧費,,"420,500.00",-,-,-,-,-,-,-,-,-,-,-
分室庁舎建築費,,,"50,000.00",-,-,-,-,-,-,-,-,-,-
市庁舎復旧費,,,,,,,,"4,658.700","19,977,138",-,-,-,-
市庁舎増築費,,,,,,,,,,"14,842,538",-,-,-
統計調査費,"365,110.28","277,136.00","1,686,371.00","2,166,686.00","1,716,829","3,047,750","2,871,212","4,351,336","2,552,929","5,042,717","2,934,788","3,895,529","5,575,292"
統計調査費,"365,110.28","277,136.00","1,686,371.00","2,166,686.00","1,716,829","3,047,750","2,871,212","4,351.336","2,552,929","5,042,717","2,934,788","3,895,529","5,575,292"
選挙費,"3,818,695.92","1,609,971.58","4,498,198.00","6,232,075.00","6,257,096","6,174,326","6,298,107","8,257,714","6,045,364","8,390,184","4,923,090","8,847,012","14,031,003"
選挙管理委員会費,,"984,423.85","1,811,635.00","2,357,192.00","2,908,287","3,238,950","3,783,989","3,804,978","3,775,000","4,501,108","4,609,021","5,596,371","7,276,586"
（昭和23-26農地）農業委員会委員選挙費,"44,550.00","116,962.50",-,86.567.00,-,-,"79,872",-,-,"140,000",-,-,"117,000"
農地調整委員会委員選挙費,"53,209.60",-,-,-,-,-,-,-,-,-,-,-,-
常時啓発委託事業費,,,,,,,,,,"170,000","283,000","356,091","378,054"
政治資金管理費,,"16,896.04",-,-,-,-,-,-,-,-,-,-,-
選挙人名簿調整費,,"483,595.19",-,-,-,-,-,一,-,-,-,-,-
検察審査名簿調整費,,"8,094.00",-,-,-,-,-,一,-,-,-,-,-
参議院議員選挙費,,,"1,515,101.00",-,-,"1,389,444",-,-,"2,191,027",-,-,"2,436,189",-
衆議院議員及び最高裁裁判官国民審査費,"2,858.658.33",-,-,-,"1,862,350","1.545,932","2,336,246",-,-,"2,106,127",-,-,"3,458.090"
北海道知事及び道議会議員選挙費,,,,"2,003,180.00",-,-,-,"1,863,858",-,"1,367,548",-,-,"1,416,820"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
