,昭　和　39,昭　和　40,昭　和　41,昭　和　42,昭　和　43,昭　和　44,昭　和　45,昭　和　46,昭　和　47,昭　和　48,昭　和　49,昭　和　50,昭　和　51,昭　和　52,昭　和　53,昭　和　54
青少年対策費,"7,235,482","15,126,746","20,143,652","6,609,614",総務費へ,,,,,,,,,,,
母子家庭等医療助成費,,,,,,,,,,"3,015,268","11,052,378","12.791,612","14,795,259","16,802,626","22,808,045","47,398,774"
母子福祉費,"1,606,000","2,353,120","2,257,784","2,108,550","2,757,140","2,786,867","2,552,938","2,694,020","4,224,486","3,726,780","5,987,250","3,694.233","5,350,706","4,874,560","7,886,897","11,548,920"
人見母子寮費（昭和47.4.1鉄道共済会より移管）,,,,,,,,,"7,973,631","9,156,356","14,405,458","16,885,237","16,506,753","1,903,910","1,607,887","1,528,208"
保育所費,"15,642,276","31,071,360","28,467,022","32,926,682","37,682,502","43,600,050","73,849,271","84,963,055","124,783,858","276,294,665","402.009,734","473,737,849","496,304,786","128,376,469","142,730,730","161,592,053"
ゆのかわ学園費,"4,886,207","6,126,298","9,637,078","7,656,847","8,796,667","10,573,860","13,174,097","16,096,961","16,854,906","23,621,708","30,396,119","34,210.101","33,622,806","7,192,291","4,462,630","3,966,807"
ふたば学園費,"11,181,973","13,759,747","15,444,129","18,525,541","21,104,625","21,921,122","25,943,862","33,593,456","33,944,455","41,214,518","64,042,066","81,374.366","94,311,545","21,047,902","24,390,459","35,904,175"
児童館費,"12,193,471","9,096,212","13,106,159","28,056,228","32,946,171","36,658,537","45,651,357","66,865,241","65,971,427","94,941,045","103,055,569","167,505,486","115,504,348","14,244,159","28,402,347","93,387,465"
毋と子の家費,,,"174,727","862,900","1,131,851","864,835","902,606","740,409","751,844","1,409,601","2,440,648","3,170,899","4,945,438","1,189,252","2,245,843","2,160,254"
青少年センター費,"1,119,536","3,063,455","3,626,985","3,991,113",教育費へ,,,,,,,,,,,
青柳学園費,,,,,,,,,,"78,571,558","108,072,870","123,354,617","134,626,900","29,335,294","40,578,286","39,243,940"
整肢学院費,,"47,265,675","34,676,898","80,928,002","43,181,290","52,529,190","60,609,409","71,435,448","84,619,366",-,-,-,-,-,-,-
生活保護費,"425,087,302","495,259,050","588,435,230","746,764.103","865,974,867","1,118,469,747","1,417,391,967","1,592,485,108","2,048,410,373","2,314,248,827","3,044,976,991","3,441,170,320","4,189,352,411","4,445,067,108","5,237,820,137","5,941,453,786"
生活保護総務費,"26,192,877","30,402,347","36,665,216","40,579,006","46,138,036","50,384,941","70,215,769","82,215,913","96,900,416","123,098,719","171,784,250","200,724,081","230,809,774","31,808,185","36,283,126","40,379,469"
扶助費,"398,894,425","464,856,703","551,770,014","706,185,097","819,836,831","1,068,084,806","1,347,176,198","1,510,269,195","1,951,509,957","2,191,150,108","2,873,192.741","3,240,446,239","3,958,542,637","4,413,258,923","5,201,537,011","5,901,074,317"
災害救助費,,"2,780",-,-,-,-,-,-,"48,571,110","31,051,118","1,125,000","500,000",０,"1,500,000",-,-
災害救助費,,"2,780",-,-,-,-,-,-,"48,571,110","31,051,118","1,125,000","500,000",０,"1,500,000",-,-
社会福祉施設整備費,,,,,,,,,,,"30,000,000",-,-,-,"50,000,000",-
社会福祉施設整備基金積立金,,,,,,,,,,,"30,000,000",-,-,-,"50,000,000",-
国民健康保険費,"26,843,967",-,-,"50,970,603","56,000,000","70,450,000","68,555,000","75,245,000","78,806,000","107,748,000","158,617,000","183,650,000","191,360,000","226,520,000","265,373,000","292,228,000"
国民健康保険事業繰出金,"26.843,967",-,-,"50,970,603","56,000,000","70,450,000","68,555,000","75,245,000","78,806,000","107,748,000","158,617,000","183,650,000","191,360,000","226,520,000","265,373,000","292,228,000"
衛生費,"547,691,843","672,848,876","822,244,677","851,898,123","950,197,686","932,554,296","1,059,030,855","1,176,353,583","1,480,870,216","2,257,887,643","3,041,854,438","2,964,568,764","3,028,963,521","1,179,486,860","1,375,278,992","1,679,352,581"
保健衛生費,"234,705,250","51,586,901","328,741,881","338,131,506","364,378,875","402,849,349","452,601,335","472,720,196","592,538,760","832,438,700","884,573,447","1,003,346,603","1,011,694,026","497,510,023","500,744,599","461,026,312"
保健衛生総務費,"12,210,844","12,148,634","14,228,261","18,043,187","23,137,454","27,342,091","32,624,944","37,928,629","42,638,511","80,893,740","104,885,416","128,174,137","140,027,525","53,834,842","45,918,345","46,815,891"
公衆衛生費,,"5,610,505","14,090,837","7,507,055","9,258.451","n,000,513","15,079,368","16,451,806","15,062,078","9,856,026","15,206,544","18,422,407","15,395,213","15,317,705","17,825,553","14,493,190"
公害対策費,,,,,,,,,,"8,038,979","11,423,471","11,851,784","8,803,568","9,377,447","10,728,865","13,851,553"
伝染病予防費,"305,120","6.215,680","3,200,824","3,199,606","1,751,396","1,678,419","5,695,861","1,205,036","1,447,368","2,010,163","1,119,202","1,385,643","884,059","894,789","890,046","1,273,070"
予防接種費,"6,147,193","5,063,836","5,138,643","5,401,765","5,869,936","6,634,834","6,165,600","6,741,736","8,815,252","14,439,291","21,686,061","21,472,316","25,001,722","37,912,861","44,746,834","51,566,577"
衛生試験所費,"9,701,024","11,096,641","13,044,101","16,499,427","18,894,772","22,662,710","27,444,555","34,047,513","38,184,053","45,431,286","60.401,869","67,018,237","66,141,893","8,261,518","11,644,813","12,856,228"
火葬場費,"4,405,948","5,323,602","5,587,730","6,251,769","7,233,601","8,995,909","10,779,280","13,466,274","13,494,718","15,238,575","19,709,277","23,122,570","24,929,577","8,526,714","10,900,046","9,614,093"
墓地費,"79,500","114,651","138,204","158,431","189,625","179,124","191,995","209,881","221,998","304,000","395,285","533,768","594,619","294,219","352,391","358,878"
亀田母子健康センター費,,,,,,,,,,"3,057,495","9,812,607","11,293,306","11,629,964","1,449,132","1,466,748","1,482,379"
消毒所費,"3,739,472","6,013,352","6,307,206","5,500,489","4,742,954","3,507,466","3,781,012","4,342,755","4,800,170","5,225,914","6,934,164","7,869,089","8,280,993",-,-,-
夜間急病センター建設費,,,,,,,,,,,,,,,,
保健所費,,"238,837,703",-,-,-,-,-,-,-,-,-,-,-,-,-,-
保健所費,"62,899,966","77,571,410","89,466,329","102,890,100","104,708,630","121,080,092","138,935,856","161,849,326","177,546,832","216,399,563","302,582,348","370,551,948","397,237.126","50,187,798","57,390,004","64,742,505"
保健所衛生試験所庁舎建設費,,,,,,,,,"60,027,880","201,244,780",-,-,-,-,-,-
健康対策費,"2,149,802","1,553,313",一,-,-,-,-,-,-,-,-,-,-,-,-,-
結核対策費,"125,865,401","158,112,882","175,894,472","170,596,297","186,062,933","197,301,099","208,833,183","193,778,830","227,276,802","227,029,615","325,440,205","335,614,971","307,255,042","304,781,631","292,657,741","238,391,727"
環境衛生費,"7,200,980","1,600,098","1,645,274","2,083,380","2,529,123","2,467,092","3,069,681","2,698,410","3,023,098","3,269,273","4,976,998","6,036.427","5,512,725","6,671,367","6,223,213","5,580,221"
清掃費,"223,884,642","273,200,069","385,961,336","387,221,632","429,818,811","529,704,947","606,429,520","703,633,387","888,331,456","1,425,448,943","2,157,280,991","1,961,222,161","2,017,269,495","681,976,837","874,534.393","1,218,326,269"
清掃総務費,"140,898,552","213,754,283","255,150,871","288,687,956","343,553,271","389,234,538","450,512,167","546,081,231","615,943,833","766,759,831","1,163,064,784","1,367,062,076","1,466,406,415","36,169,794","45,865,813","50,432,822"
塵芥処理費,"46,300,878","25,051,297","23,448,331","32,528,286","27,772,467","57,246,064","85,957,790","78,892,095","89,720,130","132,851,744","267,578,938","236,907,624","236,084,899","289,208,908","352.226,706","597,731,646"
ごみ焼却工場建設費,,,,,,,,,"94,000,000","400,000,000","416,767,761",-,一,-,-,-
余熱利用施設建設費,,,,,,,,,,,,"60,134,375",-,-,-,-
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
