,昭和23,昭和24,昭和25,昭和26,昭和27,昭和28,昭和29,昭和30,昭和31,昭和35,昭和36,昭和37,昭和38
教育費補助,,,,,"6,552,200","8,980,500","8,164,400","n,742,800","12,691,051","19,117,229","37,472,660","25,443,320","29,842,601"
六三制整備費補助,,,,"38,509,900",-,-,-,-,-,-,-,-,-
教科書交付費補助,,,,"421,758",-,-,-,-,-,-,-,-,-
中学校建築費補助,,,"8,129,500",-,-,-,-,-,-,-,-,-,-
引揚者児童生徒収容学校建築補助,,,"1,512,000",-,-,-,-,-,-,-,-,-,-
社会及び労働施設費補助,,,-,-,"37,098,095","56,114.005","67,022,245","99,027,424","111,747,560","195,153,875","226,521,633","233,390,834","248,150,380"
疎開跡地僭上費補助,"237,962",-,-,-,-,-,-,-,-,-,-,-,-
警察費補助,"1,968,381",-,-,-,-,-,-,-,-,-,-,-,-
失業応急事業費補助,,"13,099.791","29,210,832","30,435,650",-,-,-,-,-,-,-,-,-
保健衛生贄補助,,,,,"7,034,339","10,171,170","11,932,899","7,244,011","9,338,876","13,156,502","40,229,177","76,451,874","104,401,395"
保健所費補助,"139,199","783,528","1,586,692","2,430,600",-,-,-,-,-,-,-,-,-
保健所施設費補助,,,"2,000,000",-,-,-,-,-,-,-,-,-,-
結核予防費補助,,,,"1,301,000",-,-,-,-,-,-,-,-,-
建築行政費補助,,,,,"459,881","77,600",-,０,"165,000",０,０,-,-
消防費補助,,,,,"525,390",-,"75,000","40,000","240,000","900,000","560,000","520,000","960,000"
災害復1日費補助,"16,500,000",-,-,-,-,-,-,-,-,-,-,-,-
災害防除費補助,"250,000",-,-,-,-,-,-,-,-,-,-,-,-
委託金,,,,０,"171,290","142,800","201,705","114,980","185,410","378,380","401,775",663.180,"524,054"
委託金,,,,,"171,290","142,800","201,705","114,980","185,410","378,380","401,775","663,180","524,054"
道支出金,"25,940,812","34,682,915","51,702,217","29,539,469","21,716,398","20,730,219","62,178,086","22,201,121","19,751,460","25,111,082","37,071479","57,537,209","71,021,099"
道負担金,,"112,500","1,354,075","1,721,508","5,043,179","4,740,729","5,733,744","10,649,170","5,934,795","8,277,084","7,262,179","10,491,878","12,424,556"
社会及び労働施設費負担金,,,,,"4,043.337","4,382,959","5,488,584","8,928,457","5,628,368","6,916,716","7,206,609","10,021,677","10,911,436"
民生委員費負担金,,"37,500","112,166",-,-,-,-,-,-,-,-,-,-
母子保護費負担金,,,,"42,000",-,-,-,-,-,-,-,-,-
児童委員費負担金,,"75,000","78,960",-,-,-,-,-,-,-,-,-,-
衛生費負担金,,,,,"42,000","54,500",-,-,-,-,-,-,-
統計費負担金,,,,,"304,905","303,270","245,160","237,713","306,427","44,060","55,570","67,440","96,300"
選挙費負担金,,,,,"652,937",-,０,"1,483,000",-,"1,316,308",-,"402,761","1,416,820"
北海道知事選挙費負担金,,,,"697,927",-,-,-,-,-,-,-,-,-
北海道議会議員選挙費負担金,,,,"981,581",-,-,-,-,-,-,-,-,-
北海道教育委員会委員選挙費負担金,,,"1,162,949",-,-,-,-,-,-,-,-,-,-
道補助金,"11,798,863","31,479,559","49,908,897","27,817,961","16,327,119","15,038,916","52,786,276","6,181,364","9,446,541","11,433,619","12.529,196","14,915,356","10,678,218"
土木費補助,,,,,０,-,-,-,-,"1,500,000",-,"3,000,000","1,000,000"
下水道事業費補助,,"3,000,000","3,000,000","3,000,000",-,-,-,-,-,-,-,ー,-
統計費補助,"75,344","228,200","213,685","415,440",-,-,-,-,-,-,-,-,-
教育費補助,,,,,"1,402,237","1,990,120","1,412,805","714,800","634,400",747.200,"800,700",-,-
ユニセフ学校給食費補助,,,"369,408",-,-,-,-,-,-,-,-,-,-
給食費補助,,,"90,594","608,950",-,-,-,一,-,-,-,-,-
保健衛生贄補助,,,,,"3,376,170","5,395,026","2,267,292","3,310,415","4,390,957","2,213,373","3,118,516","2,722,604","1,648,259"
伝染病予防費補助,"3,331,772","4,764,027","15,917,308","2,073,383",-,-,-,-,-,-,-,-,-
結核予防費補助,,,,"805,537",-,-,-,-,-,-,-,-,-
港湾調査費補助,,,,"65,000",-,-,-,-,-,-,-,-,-
乳幼児体力検査費補助,"11,345",０,"40,000",-,-,-,-,-,-,-,-,ー,-
社会及び労働施設費補助,,,,,"8,360,286","4,017,000","457,000","387,640","773,000","1.351,100","4,669,100","1,747,490","1,823,310"
労働会館建築費補助,,０,"3,000,000",-,-,-,-,-,，　-,-,-,-,-
失業応急事業費補助,,"2,917,250","3,498,550",-,-,-,-,-,-,-,-,-,-
失業対策支部事務費補助,,"199,000",-,-,-,-,-,-,-,-,-,-,-
産業経済費補助,,,,,"3,188,426","3,636,770","48,649,179","1,768,509","3,648,184","5,621,946","3,940,880","7,4∠15,262","5,310,576"
農業調整委員費補助,,"140,000","139,330","204,200",-,-,-,-,-,-,-,-,-
農地委員会費補助,"1,016.250","1,330,980","882,500","494,800",-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
