,昭　和　15,昭　和　16,昭　和　17,昭　和　18,昭　和　19,昭　和　20,昭　和　21
精神病院費(柏木病院),"46,566.27","28,863.12","31,243.62","39,885.34","44,601.34","51,889.17","185,486.22"
給料,"3,923.28","4,754.66","5,004.05","6,037.60","8,996.64","11,395.25","49,475.59"
雑給昭和19ｮﾘ諸給,"6,591.41","6,969.35","6,989.41","8,026.33","15,217.87","16,516.63","51,731.30"
需用費,"17,237.18","16,576.06","17,278.50","19,392.11","19,031.03","19,586.52","80,698.13"
修繕費,"18,814.40",563.05,"1,971.66","6,429.30","1,355.80","4,390.77","3,581.20"
伝染病院費(康生病院),"25,260.19","25,335.13","30,490.85","53,429.21","98,931.09","92,820.76","275,161.40"
給料,"2,875.40","4,021.97","7,448.05","10,536.48","17,143.12","21,344.C〕9","90,589.41"
雑給昭和19ｮﾘ諸給,"5,826.51","6,741.31","6,105.27","8,467.18","18,594.09","21,592.00","38,496.13"
需用費,"14,330.92","12,309.96","14,522.26","29,234.41","55,582.06","47,789.86","108,497.41"
修繕費,"1,797.36","1,832.95","1,997.85","3,470.00","7,121.54","1,871.00","28,823.12"
赤川診療所費,430.00,428.94,417.42,"1,721.14",490.28,223.81,"8,755.33"
療養所費(柏野療養所),"45,850.71","51,042.98","54,196.64",0.00,-,-,-
給料,"9,940.88","10,079.80","11,218.51",-,-,-,-
雑給昭和19ｮﾘ諸給,"8,409.88","10,090.33","10,423.51",-,-,-,-
需用費,"25,605.46","29,008.40","30,978.43",-,-,-,-
修繕費,"1,894.49","1,864.45","1,576.19",-,-,-,-
診療所費,"8,401.82","12,388.25","8,535.13","11,227.04","16,203.40","6,580.96",1.573.40
給料,"3,399.50","3,237.33","2,410.49","3,800.00","4,225.00","2,836.06",857.00
雑給昭和19ｮﾘ諸給,"2,625.25","3,130.95","3,252.88","2,185.80","3,651.60","1,529.08",284.70
需用費,"2,341.98","5,539.05","2,608.31","4,481.24","7,071.18","2,215.82",431.70
修繕費,35.09,480.92,263.45,760.00,"1,255.62",0.00,-
汚物掃除費,,,,,"500,911.63","713,573.58","1,876,835.72"
給料,,,,,"8,150.12","10,194.24","66,398.22"
諸給,,,,,"5,166.60","5,586.80","5,034.60"
需用費,,,,,"3,046.97","1,302.27",2.648.51
塵芥処理費,,,,,"256,633.92","471,201.96","1,656,288.51"
屎尿処理費,,,,,"227,914.02","224,738.51","146,465.88"
修繕費,,,,,0.00,549.80,-
屠場費,"4,522.39","4,791.87","5,007.68","3,023.41","4,093.45","4,478.01","29,704.05"
給料,760.00,840.00,899.16,75.00,840.00,960.00,"6,457.50"
雑給昭和19ｮﾘ諸給,"2,348.25","2,717.80","2,750.50","1,910.06","1,768.60","2,583.15","7,147.11"
需用費,953.34,965.57,865.83,973.15,"1,484.85",804.86,"6,249.44"
修繕費,460.80,268.50,492.19,65.20,0.00,130.00,"9,850.00"
墓地費,618.21,290.61,373.90,373.96,478.38,407.00,528.00
雑給,267.00,274.00,302.90,353.70,-,-,-
需用費昭和19ｮﾘ墓地管理費,51.25,16.61,16.10,20.26,478.38,407.00,528.00
修繕費,299.96,0.00,54.90,0.00,-,-,-
火葬場費,"21,786.57","21,718.46","22,112.85","26,639.42","41,522.46","89,098.54","393,498.01"
給料,"1,460.00","1,596.00","1,656.00","1,860.00","2,136.00","2,354.00","19,101.00"
雑給昭和19ｮﾘ諸給,"2,703.67","3,327.90","3,373.30","4,222.30","7,264.10","7,775.82","28,870.74"
需用費,"15,629.04","14,530.41","15,084.34","17,226.47","22,777.72","72,686.40","316,829.97"
修繕費,"1,993.86","2,264.15","1,999.21","3,330.65","9,344.64","6,282.32","28,696.30"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
