,昭　和　23,昭　和　24,昭　和　25,昭　和　26,昭　和　27,昭　和　28,昭　和　29,昭　和　30,昭　和　35,昭　和　36,昭　和　37
生産都市再建整備事業費,"1,689,390.89","1,187,883.20",-,-,-,-,-,-,-,-,-
区画整理清算費,,,,,,,,,,"5,832,796","5,147,277"
公共施設整備費,,,,"7,174,657.00","891,900","2,302,497","13,847,092","1,209,565","9,629,720","6,756,585","18,278,440"
公共空地整備事業費,"458,745.21","927,194.85","9,596,973.38",-,-,-,-,-,-,-,-
下水道施設費昭和26ｮﾘ下水道事業費,,"252,317.83",-,"2,392,735.80",-,"29,479,337","26,400,657","40,031,536","84,715,569","383,934",-
下水道五ヶ年計画本年度支出額,"6,774,884.70","20,704,822.06","17,774,313.80","21,076,068.00","24,378,294",-,一,-,-,-,-
排水施設事業費,,"4,829,166.79","2,097,450.00",-,一,-,-,-,-,-,-
街路整備事業費,,,,,-,-,"31,243,226","21,109,518","61,500,000","59,175,000","66,807,260"
重要幹線街路整備事業費,,,"2,720,651.00","8,515,438.00","3,412,720","6,404,731",-,-,-,-,-
連絡街路整備事業費,"1,131,330.88","1,045,786.85",0.00,-,-,-,-,-,-,-,-
街路築造費昭和25ｮﾘ街路整備費,"2,887,157.71",-,"629,500.00","555,000.00",一,-,-,-,-,-,-
土地区画整理助成費,,"400,000.00",0.00,-,-,-,-,-,-,-,-
緑地整備費,,,"7,076,340.00",-,-,-,-,-,-,-,-
都市水利施設整備事業費,"1,192,297.30","1,377,503.81","1,353,490.00","986,538.00","1,982,000","1,656,990","2,788,610",-,"6,000,000",-,-
街路事業費,,"5,432,323.43","3,157,116.50","1,565,730.00","2,008,255","13,630,028","4,072,427","6,388,287","837,240","1,000,000","16,791,497"
防火貯水槽施設整備費,,,,"133,400.00",-,-,-,-,-,-,-
空港整備費,,,,,,,,,,"722,571","4,467,432"
空港待合所管理費,,,,,,,,,,,"272,487"
飛行場建設費,,,,,,,,"5,218,800","10,770,631","1,770,000",-
特別失業対策街路事業費,,,,,,,,"19,769,000",-,-,-
港湾費,"6,802,317.88","12,489,417.25","9,509,613.20","17,507,953.00","35,317,177","18,483,829","45,272,752","46,726,121",-,-,-
教育費,"44,674,802.51","60,074,733.14","141,102,148.73","169,913,387.10","278,813,503","233,628,254","227,048,192","242,373,884","382,435,716","439,887,672","501,992,548"
教育委員会費,,,,"11,234,098.00","15,393,193","20,018,488","21,876,734","27,458,440","40,891,434","64,990,093","63,053,338"
小学校費,"17,260,084.91","25,829,755.35","37,343.162.06","48,220,044.00","49,971,203","57,039,366","60,572,445","69,188,963","102,838,417","114,168,257","136,596,501"
中学校費,"10,563,695.61","17,133,992.42","21,106,386.75","26,903,318.00","25,944,576","30,955,042","34,723,118","36,631,776","54,176,895","66,933,743","77,226,266"
高等学校費,"4,395,688.43","7,117,138.90","8,708,142.80","13,607,353.00","17,440,168","21,410,081","23,730,095","24.329,931","37,282,788","42,703,012","53,753,770"
実業高等学校費,"3,959,868.29",-,-,-,-,-,-,-,-,-,-
女子実業高等学校費昭和24女子高等学校費,"2,951,906.45","4,973,333.27",-,-,-,-,-,-,-,-,-
幼稚園費,"428,668.82","723,928.67","828,585.40","1,369,469.00","1,627,938","1,927,599","2,016,032","2,527,929","3,051,399","3,583,612","4,975,537"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
